cod_ibge,nome,cultura,ano,area_plantada_ha,area_colhida_ha,quantidade_ton,valor_mil_reais
1700251,Abreulândia,soja,2024,...,...,...,...
1700301,Aguiarnópolis,soja,2024,...,...,...,...
1700350,Aliança do Tocantins,soja,2024,...,...,...,...
1700400,Almas,soja,2024,...,...,...,...
1700707,Alvorada,soja,2024,...,...,...,...
1701002,Ananás,soja,2024,...,...,...,...
1701051,Angico,soja,2024,...,...,...,...
1701101,Aparecida do Rio Negro,soja,2024,...,...,...,...
1701309,Aragominas,soja,2024,...,...,...,...
1701903,Araguacema,soja,2024,...,...,...,...
1702000,Araguaçu,soja,2024,...,...,...,...
1702109,Araguaína,soja,2024,...,...,...,...
1702158,Araguanã,soja,2024,...,...,...,...
1702208,Araguatins,soja,2024,...,...,...,...
1702307,Arapoema,soja,2024,...,...,...,...
1702406,Arraias,soja,2024,...,...,...,...
1702554,Augustinópolis,soja,2024,...,...,...,...
1702703,Aurora do Tocantins,soja,2024,...,...,...,...
1702901,Axixá do Tocantins,soja,2024,...,...,...,...
1703008,Babaçulândia,soja,2024,...,...,...,...
1703057,Bandeirantes do Tocantins,soja,2024,...,...,...,...
1703073,Barra do Ouro,soja,2024,...,...,...,...
1703107,Barrolândia,soja,2024,...,...,...,...
1703206,Bernardo Sayão,soja,2024,...,...,...,...
1703305,Bom Jesus do Tocantins,soja,2024,...,...,...,...
1703602,Brasilândia do Tocantins,soja,2024,...,...,...,...
1703701,Brejinho de Nazaré,soja,2024,...,...,...,...
1703800,Buriti do Tocantins,soja,2024,...,...,...,...
1703826,Cachoeirinha,soja,2024,...,...,...,...
1703842,Campos Lindos,soja,2024,...,...,...,...
1703867,Cariri do Tocantins,soja,2024,...,...,...,...
1703883,Carmolândia,soja,2024,...,...,...,...
1703891,Carrasco Bonito,soja,2024,...,...,...,...
1703909,Caseara,soja,2024,...,...,...,...
1704105,Centenário,soja,2024,...,...,...,...
1704600,Chapada de Areia,soja,2024,...,...,...,...
1705102,Chapada da Natividade,soja,2024,...,...,...,...
1705508,Colinas do Tocantins,soja,2024,...,...,...,...
1705557,Combinado,soja,2024,...,...,...,...
1705607,Conceição do Tocantins,soja,2024,...,...,...,...
1706001,Couto Magalhães,soja,2024,...,...,...,...
1706100,Cristalândia,soja,2024,...,...,...,...
1706258,Crixás do Tocantins,soja,2024,...,...,...,...
1706506,Darcinópolis,soja,2024,...,...,...,...
1707009,Dianópolis,soja,2024,...,...,...,...
1707108,Divinópolis do Tocantins,soja,2024,...,...,...,...
1707207,Dois Irmãos do Tocantins,soja,2024,...,...,...,...
1707306,Dueré,soja,2024,...,...,...,...
1707405,Esperantina,soja,2024,...,...,...,...
1707553,Fátima,soja,2024,...,...,...,...
1707652,Figueirópolis,soja,2024,...,...,...,...
1707702,Filadélfia,soja,2024,...,...,...,...
1708205,Formoso do Araguaia,soja,2024,...,...,...,...
1708254,Tabocão,soja,2024,...,...,...,...
1708304,Goianorte,soja,2024,...,...,...,...
1709005,Goiatins,soja,2024,...,...,...,...
1709302,Guaraí,soja,2024,...,...,...,...
1709500,Gurupi,soja,2024,...,...,...,...
1709807,Ipueiras,soja,2024,...,...,...,...
1710508,Itacajá,soja,2024,...,...,...,...
1710706,Itaguatins,soja,2024,...,...,...,...
1710904,Itapiratins,soja,2024,...,...,...,...
1711100,Itaporã do Tocantins,soja,2024,...,...,...,...
1711506,Jaú do Tocantins,soja,2024,...,...,...,...
1711803,Juarina,soja,2024,...,...,...,...
1711902,Lagoa da Confusão,soja,2024,...,...,...,...
1711951,Lagoa do Tocantins,soja,2024,...,...,...,...
1712009,Lajeado,soja,2024,...,...,...,...
1712157,Lavandeira,soja,2024,...,...,...,...
1712405,Lizarda,soja,2024,...,...,...,...
1712454,Luzinópolis,soja,2024,...,...,...,...
1712504,Marianópolis do Tocantins,soja,2024,...,...,...,...
1712702,Mateiros,soja,2024,...,...,...,...
1712801,Maurilândia do Tocantins,soja,2024,...,...,...,...
1713205,Miracema do Tocantins,soja,2024,...,...,...,...
1713304,Miranorte,soja,2024,...,...,...,...
1713601,Monte do Carmo,soja,2024,...,...,...,...
1713700,Monte Santo do Tocantins,soja,2024,...,...,...,...
1713809,Palmeiras do Tocantins,soja,2024,...,...,...,...
1713957,Muricilândia,soja,2024,...,...,...,...
1714203,Natividade,soja,2024,...,...,...,...
1714302,Nazaré,soja,2024,...,...,...,...
1714880,Nova Olinda,soja,2024,...,...,...,...
1715002,Nova Rosalândia,soja,2024,...,...,...,...
1715101,Novo Acordo,soja,2024,...,...,...,...
1715150,Novo Alegre,soja,2024,...,...,...,...
1715259,Novo Jardim,soja,2024,...,...,...,...
1715507,Oliveira de Fátima,soja,2024,...,...,...,...
1715705,Palmeirante,soja,2024,...,...,...,...
1715754,Palmeirópolis,soja,2024,...,...,...,...
1716109,Paraíso do Tocantins,soja,2024,...,...,...,...
1716208,Paranã,soja,2024,...,...,...,...
1716307,Pau D'Arco,soja,2024,...,...,...,...
1716505,Pedro Afonso,soja,2024,...,...,...,...
1716604,Peixe,soja,2024,...,...,...,...
1716653,Pequizeiro,soja,2024,...,...,...,...
1716703,Colméia,soja,2024,...,...,...,...
1717008,Pindorama do Tocantins,soja,2024,...,...,...,...
1717206,Piraquê,soja,2024,...,...,...,...
1717503,Pium,soja,2024,...,...,...,...
1717800,Ponte Alta do Bom Jesus,soja,2024,...,...,...,...
1717909,Ponte Alta do Tocantins,soja,2024,...,...,...,...
1718006,Porto Alegre do Tocantins,soja,2024,...,...,...,...
1718204,Porto Nacional,soja,2024,...,...,...,...
1718303,Praia Norte,soja,2024,...,...,...,...
1718402,Presidente Kennedy,soja,2024,...,...,...,...
1718451,Pugmil,soja,2024,...,...,...,...
1718501,Recursolândia,soja,2024,...,...,...,...
1718550,Riachinho,soja,2024,...,...,...,...
1718659,Rio da Conceição,soja,2024,...,...,...,...
1718709,Rio dos Bois,soja,2024,...,...,...,...
1718758,Rio Sono,soja,2024,...,...,...,...
1718808,Sampaio,soja,2024,...,...,...,...
1718840,Sandolândia,soja,2024,...,...,...,...
1718865,Santa Fé do Araguaia,soja,2024,...,...,...,...
1718881,Santa Maria do Tocantins,soja,2024,...,...,...,...
1718899,Santa Rita do Tocantins,soja,2024,...,...,...,...
1718907,Santa Rosa do Tocantins,soja,2024,...,...,...,...
1719004,Santa Tereza do Tocantins,soja,2024,...,...,...,...
1720002,Santa Terezinha do Tocantins,soja,2024,...,...,...,...
1720101,São Bento do Tocantins,soja,2024,...,...,...,...
1720150,São Félix do Tocantins,soja,2024,...,...,...,...
1720200,São Miguel do Tocantins,soja,2024,...,...,...,...
1720259,São Salvador do Tocantins,soja,2024,...,...,...,...
1720309,São Sebastião do Tocantins,soja,2024,...,...,...,...
1720499,São Valério,soja,2024,...,...,...,...
1720655,Silvanópolis,soja,2024,...,...,...,...
1720804,Sítio Novo do Tocantins,soja,2024,...,...,...,...
1720853,Sucupira,soja,2024,...,...,...,...
1720903,Taguatinga,soja,2024,...,...,...,...
1720937,Taipas do Tocantins,soja,2024,...,...,...,...
1720978,Talismã,soja,2024,...,...,...,...
1721000,Palmas,soja,2024,...,...,...,...
1721109,Tocantínia,soja,2024,...,...,...,...
1721208,Tocantinópolis,soja,2024,...,...,...,...
1721257,Tupirama,soja,2024,...,...,...,...
1721307,Tupiratins,soja,2024,...,...,...,...
1722081,Wanderlândia,soja,2024,...,...,...,...
1722107,Xambioá,soja,2024,...,...,...,...
1700251,Abreulândia,milho,2024,...,...,...,...
1700301,Aguiarnópolis,milho,2024,...,...,...,...
1700350,Aliança do Tocantins,milho,2024,...,...,...,...
1700400,Almas,milho,2024,...,...,...,...
1700707,Alvorada,milho,2024,...,...,...,...
1701002,Ananás,milho,2024,...,...,...,...
1701051,Angico,milho,2024,...,...,...,...
1701101,Aparecida do Rio Negro,milho,2024,...,...,...,...
1701309,Aragominas,milho,2024,...,...,...,...
1701903,Araguacema,milho,2024,...,...,...,...
1702000,Araguaçu,milho,2024,...,...,...,...
1702109,Araguaína,milho,2024,...,...,...,...
1702158,Araguanã,milho,2024,...,...,...,...
1702208,Araguatins,milho,2024,...,...,...,...
1702307,Arapoema,milho,2024,...,...,...,...
1702406,Arraias,milho,2024,...,...,...,...
1702554,Augustinópolis,milho,2024,...,...,...,...
1702703,Aurora do Tocantins,milho,2024,...,...,...,...
1702901,Axixá do Tocantins,milho,2024,...,...,...,...
1703008,Babaçulândia,milho,2024,...,...,...,...
1703057,Bandeirantes do Tocantins,milho,2024,...,...,...,...
1703073,Barra do Ouro,milho,2024,...,...,...,...
1703107,Barrolândia,milho,2024,...,...,...,...
1703206,Bernardo Sayão,milho,2024,...,...,...,...
1703305,Bom Jesus do Tocantins,milho,2024,...,...,...,...
1703602,Brasilândia do Tocantins,milho,2024,...,...,...,...
1703701,Brejinho de Nazaré,milho,2024,...,...,...,...
1703800,Buriti do Tocantins,milho,2024,...,...,...,...
1703826,Cachoeirinha,milho,2024,...,...,...,...
1703842,Campos Lindos,milho,2024,...,...,...,...
1703867,Cariri do Tocantins,milho,2024,...,...,...,...
1703883,Carmolândia,milho,2024,...,...,...,...
1703891,Carrasco Bonito,milho,2024,...,...,...,...
1703909,Caseara,milho,2024,...,...,...,...
1704105,Centenário,milho,2024,...,...,...,...
1704600,Chapada de Areia,milho,2024,...,...,...,...
1705102,Chapada da Natividade,milho,2024,...,...,...,...
1705508,Colinas do Tocantins,milho,2024,...,...,...,...
1705557,Combinado,milho,2024,...,...,...,...
1705607,Conceição do Tocantins,milho,2024,...,...,...,...
1706001,Couto Magalhães,milho,2024,...,...,...,...
1706100,Cristalândia,milho,2024,...,...,...,...
1706258,Crixás do Tocantins,milho,2024,...,...,...,...
1706506,Darcinópolis,milho,2024,...,...,...,...
1707009,Dianópolis,milho,2024,...,...,...,...
1707108,Divinópolis do Tocantins,milho,2024,...,...,...,...
1707207,Dois Irmãos do Tocantins,milho,2024,...,...,...,...
1707306,Dueré,milho,2024,...,...,...,...
1707405,Esperantina,milho,2024,...,...,...,...
1707553,Fátima,milho,2024,...,...,...,...
1707652,Figueirópolis,milho,2024,...,...,...,...
1707702,Filadélfia,milho,2024,...,...,...,...
1708205,Formoso do Araguaia,milho,2024,...,...,...,...
1708254,Tabocão,milho,2024,...,...,...,...
1708304,Goianorte,milho,2024,...,...,...,...
1709005,Goiatins,milho,2024,...,...,...,...
1709302,Guaraí,milho,2024,...,...,...,...
1709500,Gurupi,milho,2024,...,...,...,...
1709807,Ipueiras,milho,2024,...,...,...,...
1710508,Itacajá,milho,2024,...,...,...,...
1710706,Itaguatins,milho,2024,...,...,...,...
1710904,Itapiratins,milho,2024,...,...,...,...
1711100,Itaporã do Tocantins,milho,2024,...,...,...,...
1711506,Jaú do Tocantins,milho,2024,...,...,...,...
1711803,Juarina,milho,2024,...,...,...,...
1711902,Lagoa da Confusão,milho,2024,...,...,...,...
1711951,Lagoa do Tocantins,milho,2024,...,...,...,...
1712009,Lajeado,milho,2024,...,...,...,...
1712157,Lavandeira,milho,2024,...,...,...,...
1712405,Lizarda,milho,2024,...,...,...,...
1712454,Luzinópolis,milho,2024,...,...,...,...
1712504,Marianópolis do Tocantins,milho,2024,...,...,...,...
1712702,Mateiros,milho,2024,...,...,...,...
1712801,Maurilândia do Tocantins,milho,2024,...,...,...,...
1713205,Miracema do Tocantins,milho,2024,...,...,...,...
1713304,Miranorte,milho,2024,...,...,...,...
1713601,Monte do Carmo,milho,2024,...,...,...,...
1713700,Monte Santo do Tocantins,milho,2024,...,...,...,...
1713809,Palmeiras do Tocantins,milho,2024,...,...,...,...
1713957,Muricilândia,milho,2024,...,...,...,...
1714203,Natividade,milho,2024,...,...,...,...
1714302,Nazaré,milho,2024,...,...,...,...
1714880,Nova Olinda,milho,2024,...,...,...,...
1715002,Nova Rosalândia,milho,2024,...,...,...,...
1715101,Novo Acordo,milho,2024,...,...,...,...
1715150,Novo Alegre,milho,2024,...,...,...,...
1715259,Novo Jardim,milho,2024,...,...,...,...
1715507,Oliveira de Fátima,milho,2024,...,...,...,...
1715705,Palmeirante,milho,2024,...,...,...,...
1715754,Palmeirópolis,milho,2024,...,...,...,...
1716109,Paraíso do Tocantins,milho,2024,...,...,...,...
1716208,Paranã,milho,2024,...,...,...,...
1716307,Pau D'Arco,milho,2024,...,...,...,...
1716505,Pedro Afonso,milho,2024,...,...,...,...
1716604,Peixe,milho,2024,...,...,...,...
1716653,Pequizeiro,milho,2024,...,...,...,...
1716703,Colméia,milho,2024,...,...,...,...
1717008,Pindorama do Tocantins,milho,2024,...,...,...,...
1717206,Piraquê,milho,2024,...,...,...,...
1717503,Pium,milho,2024,...,...,...,...
1717800,Ponte Alta do Bom Jesus,milho,2024,...,...,...,...
1717909,Ponte Alta do Tocantins,milho,2024,...,...,...,...
1718006,Porto Alegre do Tocantins,milho,2024,...,...,...,...
1718204,Porto Nacional,milho,2024,...,...,...,...
1718303,Praia Norte,milho,2024,...,...,...,...
1718402,Presidente Kennedy,milho,2024,...,...,...,...
1718451,Pugmil,milho,2024,...,...,...,...
1718501,Recursolândia,milho,2024,...,...,...,...
1718550,Riachinho,milho,2024,...,...,...,...
1718659,Rio da Conceição,milho,2024,...,...,...,...
1718709,Rio dos Bois,milho,2024,...,...,...,...
1718758,Rio Sono,milho,2024,...,...,...,...
1718808,Sampaio,milho,2024,...,...,...,...
1718840,Sandolândia,milho,2024,...,...,...,...
1718865,Santa Fé do Araguaia,milho,2024,...,...,...,...
1718881,Santa Maria do Tocantins,milho,2024,...,...,...,...
1718899,Santa Rita do Tocantins,milho,2024,...,...,...,...
1718907,Santa Rosa do Tocantins,milho,2024,...,...,...,...
1719004,Santa Tereza do Tocantins,milho,2024,...,...,...,...
1720002,Santa Terezinha do Tocantins,milho,2024,...,...,...,...
1720101,São Bento do Tocantins,milho,2024,...,...,...,...
1720150,São Félix do Tocantins,milho,2024,...,...,...,...
1720200,São Miguel do Tocantins,milho,2024,...,...,...,...
1720259,São Salvador do Tocantins,milho,2024,...,...,...,...
1720309,São Sebastião do Tocantins,milho,2024,...,...,...,...
1720499,São Valério,milho,2024,...,...,...,...
1720655,Silvanópolis,milho,2024,...,...,...,...
1720804,Sítio Novo do Tocantins,milho,2024,...,...,...,...
1720853,Sucupira,milho,2024,...,...,...,...
1720903,Taguatinga,milho,2024,...,...,...,...
1720937,Taipas do Tocantins,milho,2024,...,...,...,...
1720978,Talismã,milho,2024,...,...,...,...
1721000,Palmas,milho,2024,...,...,...,...
1721109,Tocantínia,milho,2024,...,...,...,...
1721208,Tocantinópolis,milho,2024,...,...,...,...
1721257,Tupirama,milho,2024,...,...,...,...
1721307,Tupiratins,milho,2024,...,...,...,...
1722081,Wanderlândia,milho,2024,...,...,...,...
1722107,Xambioá,milho,2024,...,...,...,...
1700251,Abreulândia,arroz,2024,...,...,...,...
1700301,Aguiarnópolis,arroz,2024,...,...,...,...
1700350,Aliança do Tocantins,arroz,2024,...,...,...,...
1700400,Almas,arroz,2024,...,...,...,...
1700707,Alvorada,arroz,2024,...,...,...,...
1701002,Ananás,arroz,2024,...,...,...,...
1701051,Angico,arroz,2024,...,...,...,...
1701101,Aparecida do Rio Negro,arroz,2024,...,...,...,...
1701309,Aragominas,arroz,2024,...,...,...,...
1701903,Araguacema,arroz,2024,...,...,...,...
1702000,Araguaçu,arroz,2024,...,...,...,...
1702109,Araguaína,arroz,2024,...,...,...,...
1702158,Araguanã,arroz,2024,...,...,...,...
1702208,Araguatins,arroz,2024,...,...,...,...
1702307,Arapoema,arroz,2024,...,...,...,...
1702406,Arraias,arroz,2024,...,...,...,...
1702554,Augustinópolis,arroz,2024,...,...,...,...
1702703,Aurora do Tocantins,arroz,2024,...,...,...,...
1702901,Axixá do Tocantins,arroz,2024,...,...,...,...
1703008,Babaçulândia,arroz,2024,...,...,...,...
1703057,Bandeirantes do Tocantins,arroz,2024,...,...,...,...
1703073,Barra do Ouro,arroz,2024,...,...,...,...
1703107,Barrolândia,arroz,2024,...,...,...,...
1703206,Bernardo Sayão,arroz,2024,...,...,...,...
1703305,Bom Jesus do Tocantins,arroz,2024,...,...,...,...
1703602,Brasilândia do Tocantins,arroz,2024,...,...,...,...
1703701,Brejinho de Nazaré,arroz,2024,...,...,...,...
1703800,Buriti do Tocantins,arroz,2024,...,...,...,...
1703826,Cachoeirinha,arroz,2024,...,...,...,...
1703842,Campos Lindos,arroz,2024,...,...,...,...
1703867,Cariri do Tocantins,arroz,2024,...,...,...,...
1703883,Carmolândia,arroz,2024,...,...,...,...
1703891,Carrasco Bonito,arroz,2024,...,...,...,...
1703909,Caseara,arroz,2024,...,...,...,...
1704105,Centenário,arroz,2024,...,...,...,...
1704600,Chapada de Areia,arroz,2024,...,...,...,...
1705102,Chapada da Natividade,arroz,2024,...,...,...,...
1705508,Colinas do Tocantins,arroz,2024,...,...,...,...
1705557,Combinado,arroz,2024,...,...,...,...
1705607,Conceição do Tocantins,arroz,2024,...,...,...,...
1706001,Couto Magalhães,arroz,2024,...,...,...,...
1706100,Cristalândia,arroz,2024,...,...,...,...
1706258,Crixás do Tocantins,arroz,2024,...,...,...,...
1706506,Darcinópolis,arroz,2024,...,...,...,...
1707009,Dianópolis,arroz,2024,...,...,...,...
1707108,Divinópolis do Tocantins,arroz,2024,...,...,...,...
1707207,Dois Irmãos do Tocantins,arroz,2024,...,...,...,...
1707306,Dueré,arroz,2024,...,...,...,...
1707405,Esperantina,arroz,2024,...,...,...,...
1707553,Fátima,arroz,2024,...,...,...,...
1707652,Figueirópolis,arroz,2024,...,...,...,...
1707702,Filadélfia,arroz,2024,...,...,...,...
1708205,Formoso do Araguaia,arroz,2024,...,...,...,...
1708254,Tabocão,arroz,2024,...,...,...,...
1708304,Goianorte,arroz,2024,...,...,...,...
1709005,Goiatins,arroz,2024,...,...,...,...
1709302,Guaraí,arroz,2024,...,...,...,...
1709500,Gurupi,arroz,2024,...,...,...,...
1709807,Ipueiras,arroz,2024,...,...,...,...
1710508,Itacajá,arroz,2024,...,...,...,...
1710706,Itaguatins,arroz,2024,...,...,...,...
1710904,Itapiratins,arroz,2024,...,...,...,...
1711100,Itaporã do Tocantins,arroz,2024,...,...,...,...
1711506,Jaú do Tocantins,arroz,2024,...,...,...,...
1711803,Juarina,arroz,2024,...,...,...,...
1711902,Lagoa da Confusão,arroz,2024,...,...,...,...
1711951,Lagoa do Tocantins,arroz,2024,...,...,...,...
1712009,Lajeado,arroz,2024,...,...,...,...
1712157,Lavandeira,arroz,2024,...,...,...,...
1712405,Lizarda,arroz,2024,...,...,...,...
1712454,Luzinópolis,arroz,2024,...,...,...,...
1712504,Marianópolis do Tocantins,arroz,2024,...,...,...,...
1712702,Mateiros,arroz,2024,...,...,...,...
1712801,Maurilândia do Tocantins,arroz,2024,...,...,...,...
1713205,Miracema do Tocantins,arroz,2024,...,...,...,...
1713304,Miranorte,arroz,2024,...,...,...,...
1713601,Monte do Carmo,arroz,2024,...,...,...,...
1713700,Monte Santo do Tocantins,arroz,2024,...,...,...,...
1713809,Palmeiras do Tocantins,arroz,2024,...,...,...,...
1713957,Muricilândia,arroz,2024,...,...,...,...
1714203,Natividade,arroz,2024,...,...,...,...
1714302,Nazaré,arroz,2024,...,...,...,...
1714880,Nova Olinda,arroz,2024,...,...,...,...
1715002,Nova Rosalândia,arroz,2024,...,...,...,...
1715101,Novo Acordo,arroz,2024,...,...,...,...
1715150,Novo Alegre,arroz,2024,...,...,...,...
1715259,Novo Jardim,arroz,2024,...,...,...,...
1715507,Oliveira de Fátima,arroz,2024,...,...,...,...
1715705,Palmeirante,arroz,2024,...,...,...,...
1715754,Palmeirópolis,arroz,2024,...,...,...,...
1716109,Paraíso do Tocantins,arroz,2024,...,...,...,...
1716208,Paranã,arroz,2024,...,...,...,...
1716307,Pau D'Arco,arroz,2024,...,...,...,...
1716505,Pedro Afonso,arroz,2024,...,...,...,...
1716604,Peixe,arroz,2024,...,...,...,...
1716653,Pequizeiro,arroz,2024,...,...,...,...
1716703,Colméia,arroz,2024,...,...,...,...
1717008,Pindorama do Tocantins,arroz,2024,...,...,...,...
1717206,Piraquê,arroz,2024,...,...,...,...
1717503,Pium,arroz,2024,...,...,...,...
1717800,Ponte Alta do Bom Jesus,arroz,2024,...,...,...,...
1717909,Ponte Alta do Tocantins,arroz,2024,...,...,...,...
1718006,Porto Alegre do Tocantins,arroz,2024,...,...,...,...
1718204,Porto Nacional,arroz,2024,...,...,...,...
1718303,Praia Norte,arroz,2024,...,...,...,...
1718402,Presidente Kennedy,arroz,2024,...,...,...,...
1718451,Pugmil,arroz,2024,...,...,...,...
1718501,Recursolândia,arroz,2024,...,...,...,...
1718550,Riachinho,arroz,2024,...,...,...,...
1718659,Rio da Conceição,arroz,2024,...,...,...,...
1718709,Rio dos Bois,arroz,2024,...,...,...,...
1718758,Rio Sono,arroz,2024,...,...,...,...
1718808,Sampaio,arroz,2024,...,...,...,...
1718840,Sandolândia,arroz,2024,...,...,...,...
1718865,Santa Fé do Araguaia,arroz,2024,...,...,...,...
1718881,Santa Maria do Tocantins,arroz,2024,...,...,...,...
1718899,Santa Rita do Tocantins,arroz,2024,...,...,...,...
1718907,Santa Rosa do Tocantins,arroz,2024,...,...,...,...
1719004,Santa Tereza do Tocantins,arroz,2024,...,...,...,...
1720002,Santa Terezinha do Tocantins,arroz,2024,...,...,...,...
1720101,São Bento do Tocantins,arroz,2024,...,...,...,...
1720150,São Félix do Tocantins,arroz,2024,...,...,...,...
1720200,São Miguel do Tocantins,arroz,2024,...,...,...,...
1720259,São Salvador do Tocantins,arroz,2024,...,...,...,...
1720309,São Sebastião do Tocantins,arroz,2024,...,...,...,...
1720499,São Valério,arroz,2024,...,...,...,...
1720655,Silvanópolis,arroz,2024,...,...,...,...
1720804,Sítio Novo do Tocantins,arroz,2024,...,...,...,...
1720853,Sucupira,arroz,2024,...,...,...,...
1720903,Taguatinga,arroz,2024,...,...,...,...
1720937,Taipas do Tocantins,arroz,2024,...,...,...,...
1720978,Talismã,arroz,2024,...,...,...,...
1721000,Palmas,arroz,2024,...,...,...,...
1721109,Tocantínia,arroz,2024,...,...,...,...
1721208,Tocantinópolis,arroz,2024,...,...,...,...
1721257,Tupirama,arroz,2024,...,...,...,...
1721307,Tupiratins,arroz,2024,...,...,...,...
1722081,Wanderlândia,arroz,2024,...,...,...,...
1722107,Xambioá,arroz,2024,...,...,...,...
1700251,Abreulândia,feijao,2024,...,...,...,...
1700301,Aguiarnópolis,feijao,2024,...,...,...,...
1700350,Aliança do Tocantins,feijao,2024,...,...,...,...
1700400,Almas,feijao,2024,...,...,...,...
1700707,Alvorada,feijao,2024,...,...,...,...
1701002,Ananás,feijao,2024,...,...,...,...
1701051,Angico,feijao,2024,...,...,...,...
1701101,Aparecida do Rio Negro,feijao,2024,...,...,...,...
1701309,Aragominas,feijao,2024,...,...,...,...
1701903,Araguacema,feijao,2024,...,...,...,...
1702000,Araguaçu,feijao,2024,...,...,...,...
1702109,Araguaína,feijao,2024,...,...,...,...
1702158,Araguanã,feijao,2024,...,...,...,...
1702208,Araguatins,feijao,2024,...,...,...,...
1702307,Arapoema,feijao,2024,...,...,...,...
1702406,Arraias,feijao,2024,...,...,...,...
1702554,Augustinópolis,feijao,2024,...,...,...,...
1702703,Aurora do Tocantins,feijao,2024,...,...,...,...
1702901,Axixá do Tocantins,feijao,2024,...,...,...,...
1703008,Babaçulândia,feijao,2024,...,...,...,...
1703057,Bandeirantes do Tocantins,feijao,2024,...,...,...,...
1703073,Barra do Ouro,feijao,2024,...,...,...,...
1703107,Barrolândia,feijao,2024,...,...,...,...
1703206,Bernardo Sayão,feijao,2024,...,...,...,...
1703305,Bom Jesus do Tocantins,feijao,2024,...,...,...,...
