cod_ibge,nome,bovinos_2022,bovinos_2023,bovinos_2024
1700251,Abreulândia,5080,2120,2754
1700301,Aguiarnópolis,3356,3657,3429
1700350,Aliança do Tocantins,5803,3402,4933
1700400,Almas,5900,5800,6030
1700707,Alvorada,2374,1828,1848
1701002,Ananás,4132,5372,5132
1701051,Angico,4254,4632,4432
1701101,Aparecida do Rio Negro,4228,3920,4210
1701309,Aragominas,5779,5135,4817
1701903,Araguacema,4210,3692,3584
1702000,Araguaçu,11884,6700,6093
1702109,Araguaína,16168,16074,14428
1702158,Araguanã,1504,1541,1043
1702208,Araguatins,21211,19253,19575
1702307,Arapoema,3146,2443,2937
1702406,Arraias,9670,9230,9300
1702554,Augustinópolis,8511,5902,5421
1702703,Aurora do Tocantins,4795,4110,3980
1702901,Axixá do Tocantins,3033,1994,2619
1703008,Babaçulândia,230378,149396,173517
1703057,Bandeirantes do Tocantins,4500,4278,4200
1703073,Barra do Ouro,5975,6464,6412
1703107,Barrolândia,3880,3360,5180
1703206,Bernardo Sayão,9000,10544,8430
1703305,Bom Jesus do Tocantins,4625,4600,5301
1703602,Brasilândia do Tocantins,2000,2200,1429
1703701,Brejinho de Nazaré,3943,3212,2875
1703800,Buriti do Tocantins,1566,1125,1338
1703826,Cachoeirinha,3846,3938,3728
1703842,Campos Lindos,4984,5033,2737
1703867,Cariri do Tocantins,6286,4894,4553
1703883,Carmolândia,2271,2298,3270
1703891,Carrasco Bonito,2413,1736,2540
1703909,Caseara,5167,3168,2976
1704105,Centenário,7100,5600,6229
1704600,Chapada de Areia,2760,3010,2740
1705102,Chapada da Natividade,5025,4870,5000
1705508,Colinas do Tocantins,3650,2043,2169
1705557,Combinado,6100,6000,6145
1705607,Conceição do Tocantins,3720,3560,3500
1706001,Couto Magalhães,9800,9780,10259
1706100,Cristalândia,4670,5640,4680
1706258,Crixás do Tocantins,4708,2446,2770
1706506,Darcinópolis,1555231,1694233,1740138
1707009,Dianópolis,9765,9560,9480
1707108,Divinópolis do Tocantins,8428,8113,7866
1707207,Dois Irmãos do Tocantins,11930,13160,12640
1707306,Dueré,10976,7221,7502
1707405,Esperantina,3680,3166,3108
1707553,Fátima,109560,118324,124500
1707652,Figueirópolis,5350,3500,3560
1707702,Filadélfia,9939,8339,9741
1708205,Formoso do Araguaia,27997,7429,6686
1708254,Tabocão,3010,2200,2300
1708304,Goianorte,16500,19067,12802
1709005,Goiatins,9173,7867,6816
1709302,Guaraí,15000,14665,11424
1709500,Gurupi,13275,9325,9799
1709807,Ipueiras,2051,1536,1298
1710508,Itacajá,7141,10500,9500
1710706,Itaguatins,8191,5265,5543
1710904,Itapiratins,12536,10772,8770
1711100,Itaporã do Tocantins,3325,3325,3325
1711506,Jaú do Tocantins,6795,5105,3885
1711803,Juarina,8523,6000,7468
1711902,Lagoa da Confusão,5570,5550,5880
1711951,Lagoa do Tocantins,3222,2781,2600
1712009,Lajeado,1782,1452,1682
1712157,Lavandeira,4340,4280,4310
1712405,Lizarda,4098,3821,3501
1712454,Luzinópolis,6123,7282,6839
1712504,Marianópolis do Tocantins,5940,4580,4420
1712702,Mateiros,2807,2250,1900
1712801,Maurilândia do Tocantins,3846,4324,4984
1713205,Miracema do Tocantins,10563,8250,7530
1713304,Miranorte,4870,4296,4053
1713601,Monte do Carmo,16486,15295,14900
1713700,Monte Santo do Tocantins,5140,4640,4660
1713809,Palmeiras do Tocantins,5644,9382,8787
1713957,Muricilândia,2819,1804,2420
1714203,Natividade,7043,6800,6835
1714302,Nazaré,9546,9845,9642
1714880,Nova Olinda,8155,5753,5246
1715002,Nova Rosalândia,3810,2890,1330
1715101,Novo Acordo,4906,3843,3900
1715150,Novo Alegre,1615,1590,1600
1715259,Novo Jardim,2735,2300,2185
1715507,Oliveira de Fátima,1230,950,800
1715705,Palmeirante,7860,8272,3858
1715754,Palmeirópolis,7096,5400,4905
1716109,Paraíso do Tocantins,6950,5700,5840
1716208,Paranã,16810,12945,14254
1716307,Pau D'Arco,3828,2951,2961
1716505,Pedro Afonso,3000,3255,2640
1716604,Peixe,15570,12101,11118
1716653,Pequizeiro,16500,16000,13969
1716703,Colméia,10500,12000,7948
1717008,Pindorama do Tocantins,4902,4850,5200
1717206,Piraquê,9826,8026,7657
1717503,Pium,6930,7440,7280
1717800,Ponte Alta do Bom Jesus,9234,8960,8997
1717909,Ponte Alta do Tocantins,10042,9870,9279
1718006,Porto Alegre do Tocantins,3490,3370,3120
1718204,Porto Nacional,24130,25800,24300
1718303,Praia Norte,3767,2601,2790
1718402,Presidente Kennedy,1500,5165,4200
1718451,Pugmil,1780,1510,1760
1718501,Recursolândia,3000,8000,7340
1718550,Riachinho,7546,12343,12213
1718659,Rio da Conceição,450,380,365
1718709,Rio dos Bois,1429,1491,1502
1718758,Rio Sono,10154,8251,8036
1718808,Sampaio,4730,3513,4100
1718840,Sandolândia,5304,4397,4197
1718865,Santa Fé do Araguaia,5785,5605,2474
1718881,Santa Maria do Tocantins,9100,6579,6620
1718899,Santa Rita do Tocantins,8266,7300,7150
1718907,Santa Rosa do Tocantins,5230,5807,5900
1719004,Santa Tereza do Tocantins,3935,3499,3560
1720002,Santa Terezinha do Tocantins,2765,3301,3201
1720101,São Bento do Tocantins,6494,10232,9738
1720150,São Félix do Tocantins,1688,1677,1500
1720200,São Miguel do Tocantins,1249,691,462
1720259,São Salvador do Tocantins,3592,3602,3209
1720309,São Sebastião do Tocantins,1424,1160,1267
1720499,São Valério,5927,5148,4854
1720655,Silvanópolis,3830,2494,2400
1720804,Sítio Novo do Tocantins,6630,2231,3816
1720853,Sucupira,2608,2350,2300
1720903,Taguatinga,14345,13980,14123
1720937,Taipas do Tocantins,1700,995,1120
1720978,Talismã,4535,3883,3072
1721000,Palmas,8322,5918,6359
1721109,Tocantínia,2468,2789,2284
1721208,Tocantinópolis,3345,3558,3223
1721257,Tupirama,2352,2300,2400
1721307,Tupiratins,6412,6312,6000
1722081,Wanderlândia,11362,4222,2891
1722107,Xambioá,6600,6702,6528
