cod_ibge,nome,populacao_2022
1700251,Abreulândia,2576
1700301,Aguiarnópolis,4497
1700350,Aliança do Tocantins,5147
1700400,Almas,6499
1700707,Alvorada,8802
1701002,Ananás,10325
1701051,Angico,2876
1701101,Aparecida do Rio Negro,4856
1701309,Aragominas,5290
1701903,Araguacema,5927
1702000,Araguaçu,8133
1702109,Araguaína,171301
1702158,Araguanã,4310
1702208,Araguatins,31918
1702307,Arapoema,5550
1702406,Arraias,10287
1702554,Augustinópolis,17484
1702703,Aurora do Tocantins,3342
1702901,Axixá do Tocantins,10262
1703008,Babaçulândia,7880
1703057,Bandeirantes do Tocantins,3407
1703073,Barra do Ouro,4476
1703107,Barrolândia,4846
1703206,Bernardo Sayão,4229
1703305,Bom Jesus do Tocantins,4038
1703602,Brasilândia do Tocantins,1974
1703701,Brejinho de Nazaré,4725
1703800,Buriti do Tocantins,10307
1703826,Cachoeirinha,1961
1703842,Campos Lindos,8653
1703867,Cariri do Tocantins,4007
1703883,Carmolândia,2201
1703891,Carrasco Bonito,3318
1703909,Caseara,4847
1704105,Centenário,2131
1704600,Chapada de Areia,1501
1705102,Chapada da Natividade,3117
1705508,Colinas do Tocantins,34233
1705557,Combinado,4756
1705607,Conceição do Tocantins,3887
1706001,Couto Magalhães,5331
1706100,Cristalândia,6371
1706258,Crixás do Tocantins,1470
1706506,Darcinópolis,5827
1707009,Dianópolis,17739
1707108,Divinópolis do Tocantins,7024
1707207,Dois Irmãos do Tocantins,6327
1707306,Dueré,4248
1707405,Esperantina,7530
1707553,Fátima,3467
1707652,Figueirópolis,5211
1707702,Filadélfia,7712
1708205,Formoso do Araguaia,18881
1708254,Tabocão,3455
1708304,Goianorte,4738
1709005,Goiatins,12433
1709302,Guaraí,24775
1709500,Gurupi,85125
1709807,Ipueiras,1590
1710508,Itacajá,6819
1710706,Itaguatins,5172
1710904,Itapiratins,3577
1711100,Itaporã do Tocantins,2404
1711506,Jaú do Tocantins,3334
1711803,Juarina,2243
1711902,Lagoa da Confusão,15288
1711951,Lagoa do Tocantins,3516
1712009,Lajeado,3357
1712157,Lavandeira,1626
1712405,Lizarda,2999
1712454,Luzinópolis,2717
1712504,Marianópolis do Tocantins,4615
1712702,Mateiros,2748
1712801,Maurilândia do Tocantins,3095
1713205,Miracema do Tocantins,18566
1713304,Miranorte,12701
1713601,Monte do Carmo,5694
1713700,Monte Santo do Tocantins,2396
1713809,Palmeiras do Tocantins,4872
1713957,Muricilândia,3367
1714203,Natividade,8754
1714302,Nazaré,4521
1714880,Nova Olinda,10367
1715002,Nova Rosalândia,3362
1715101,Novo Acordo,3969
1715150,Novo Alegre,1846
1715259,Novo Jardim,2230
1715507,Oliveira de Fátima,1164
1715705,Palmeirante,4798
1715754,Palmeirópolis,6975
1716109,Paraíso do Tocantins,52360
1716208,Paranã,10542
1716307,Pau D'Arco,4043
1716505,Pedro Afonso,14055
1716604,Peixe,9317
1716653,Pequizeiro,4921
1716703,Colméia,8941
1717008,Pindorama do Tocantins,4478
1717206,Piraquê,2282
1717503,Pium,7128
1717800,Ponte Alta do Bom Jesus,4220
1717909,Ponte Alta do Tocantins,7586
1718006,Porto Alegre do Tocantins,2866
1718204,Porto Nacional,64418
1718303,Praia Norte,9044
1718402,Presidente Kennedy,3047
1718451,Pugmil,2193
1718501,Recursolândia,3421
1718550,Riachinho,3960
1718659,Rio da Conceição,1768
1718709,Rio dos Bois,2738
1718758,Rio Sono,4841
1718808,Sampaio,4215
1718840,Sandolândia,3723
1718865,Santa Fé do Araguaia,7216
1718881,Santa Maria do Tocantins,2680
1718899,Santa Rita do Tocantins,2219
1718907,Santa Rosa do Tocantins,4653
1719004,Santa Tereza do Tocantins,2781
1720002,Santa Terezinha do Tocantins,2406
1720101,São Bento do Tocantins,5654
1720150,São Félix do Tocantins,1783
1720200,São Miguel do Tocantins,13241
1720259,São Salvador do Tocantins,2385
1720309,São Sebastião do Tocantins,4100
1720499,São Valério,4422
1720655,Silvanópolis,5108
1720804,Sítio Novo do Tocantins,10830
1720853,Sucupira,1577
1720903,Taguatinga,14011
1720937,Taipas do Tocantins,2021
1720978,Talismã,2456
1721000,Palmas,302692
1721109,Tocantínia,7459
1721208,Tocantinópolis,22615
1721257,Tupirama,1909
1721307,Tupiratins,1874
1722081,Wanderlândia,10522
1722107,Xambioá,10517
