cod_ibge,ano,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
1700251,2010,16234000,514000,4355000,730000,2404000,8231000
1700251,2011,18710000,554000,5502000,940000,2418000,9296000
1700251,2012,20746000,594000,5906000,998000,3037000,10211000
1700251,2013,26613000,596000,6732000,3121000,3626000,12537000
1700251,2014,27178000,721000,8313000,1557000,3874000,12713000
1700251,2015,37328000,976000,16076000,1008000,5196000,14072000
1700251,2016,47386000,1631000,20313000,2109000,6798000,16535000
1700251,2017,56479000,1831000,26897000,1467000,8576000,17708000
1700251,2018,52413000,1453000,23789000,1243000,7515000,18413000
1700251,2019,53962000,1333000,24147000,1748000,7710000,19025000
1700251,2020,76414000,1491000,42752000,2204000,9088000,20880000
1700251,2021,112135000,1852000,74730000,2743000,9665000,23145000
1700301,2010,65256000,11175000,3534000,9205000,24163000,17180000
1700301,2011,65391000,10768000,3370000,7830000,22695000,20728000
1700301,2012,80978000,12950000,3546000,14175000,27203000,23104000
1700301,2013,107771000,17861000,7629000,16975000,37284000,28023000
1700301,2014,87868000,9496000,14349000,6315000,27980000,29728000
1700301,2015,109236000,12234000,19368000,7475000,37748000,32411000
1700301,2016,134499000,13340000,38386000,7297000,38513000,36963000
1700301,2017,127038000,13199000,23251000,5862000,46662000,38065000
1700301,2018,124948000,16958000,8518000,10096000,48094000,41282000
1700301,2019,162923000,22402000,14217000,18677000,61567000,46059000
1700301,2020,164457000,26798000,16719000,22948000,51322000,46669000
1700301,2021,165480000,29156000,17292000,21956000,45844000,51231000
1700350,2010,46764000,5417000,8487000,2060000,11439000,19360000
1700350,2011,51979000,3772000,9483000,4959000,11107000,22659000
1700350,2012,52879000,2653000,10645000,3623000,12977000,22981000
1700350,2013,63294000,3157000,11948000,5355000,15361000,27473000
1700350,2014,64887000,3278000,13824000,3583000,16266000,27936000
1700350,2015,73158000,3252000,18122000,4316000,18301000,29169000
1700350,2016,94295000,3828000,36098000,3364000,18946000,32059000
1700350,2017,116126000,4485000,51617000,4306000,23773000,31946000
1700350,2018,103526000,6613000,24073000,3976000,34361000,34503000
1700350,2019,109409000,6203000,26734000,6452000,32593000,37427000
1700350,2020,154385000,13372000,39222000,5678000,57455000,38658000
1700350,2021,616571000,21770000,472909000,6296000,72123000,43473000
1700400,2010,62942000,3484000,24569000,3026000,8820000,23043000
1700400,2011,73074000,4140000,27982000,5026000,9666000,26260000
1700400,2012,83699000,4934000,33125000,4651000,12453000,28536000
1700400,2013,93826000,3580000,37257000,4380000,14772000,33837000
1700400,2014,107424000,3611000,49444000,3894000,15705000,34770000
1700400,2015,119955000,3881000,59233000,4130000,16303000,36409000
1700400,2016,125463000,4067000,60996000,4077000,15273000,41050000
1700400,2017,151376000,5654000,78463000,7219000,20292000,39748000
1700400,2018,151823000,4902000,79923000,4165000,19679000,43155000
1700400,2019,171927000,5056000,93434000,4322000,23518000,45597000
1700400,2020,178542000,5093000,97369000,4530000,23261000,48290000
1700400,2021,273741000,6676000,183498000,6912000,24691000,51963000
1700707,2010,144372000,18430000,15371000,48134000,36197000,26239000
1700707,2011,214031000,35114000,20429000,80616000,45939000,31934000
1700707,2012,197775000,27416000,37076000,47755000,51407000,34121000
1700707,2013,218020000,32383000,44202000,41427000,62553000,37454000
1700707,2014,227896000,27772000,59161000,36082000,66076000,38805000
1700707,2015,231814000,29178000,52026000,32050000,77106000,41454000
1700707,2016,270766000,39237000,47184000,49040000,89615000,45689000
1700707,2017,331677000,42527000,50989000,96845000,94564000,46752000
1700707,2018,298510000,41915000,61609000,40099000,104401000,50487000
