cod_ibge,ano,rede,etapa_ensino,matriculas
1700251,2019,3,18,64
1700251,2019,3,1,48
1700251,2019,3,,131
1700251,2019,2,25,53
1700251,2019,3,17,59
1700251,2019,2,20,52
1700251,2019,2,26,38
1700251,2019,3,14,45
1700251,2019,3,2,69
1700251,2019,2,,46
1700251,2019,2,41,63
1700251,2019,2,21,47
1700251,2019,3,19,21
1700251,2019,3,15,35
1700251,2019,3,16,45
1700251,2019,2,71,14
1700251,2019,2,27,43
1700251,2019,2,19,14
1700251,2020,3,19,52
1700251,2020,2,26,43
1700251,2020,2,27,35
1700251,2020,3,18,56
1700251,2020,2,25,57
1700251,2020,2,71,15
1700251,2020,3,16,37
1700251,2020,3,17,48
1700251,2020,2,41,42
1700251,2020,3,2,67
1700251,2020,2,21,48
1700251,2020,3,1,67
1700251,2020,2,20,35
1700251,2020,3,15,42
1700251,2020,3,14,20
1700251,2020,3,,143
1700251,2020,2,19,15
1700251,2020,2,,57
1700301,2019,3,14,75
1700301,2019,3,18,109
1700301,2019,2,20,91
1700301,2019,2,25,93
1700301,2019,3,15,75
1700301,2019,3,2,128
1700301,2019,3,17,105
1700301,2019,2,26,85
1700301,2019,3,16,87
1700301,2019,2,21,89
1700301,2019,3,20,44
1700301,2019,3,41,12
1700301,2019,3,19,46
1700301,2019,2,41,59
1700301,2019,2,19,47
1700301,2019,3,70,32
1700301,2019,2,27,52
1700301,2019,3,1,67
1700301,2019,3,21,15
1700301,2020,3,21,10
1700301,2020,3,20,30
1700301,2020,3,19,58
1700301,2020,3,18,100
1700301,2020,3,17,90
1700301,2020,3,16,87
1700301,2020,3,2,122
1700301,2020,3,15,70
1700301,2020,3,1,69
1700301,2020,2,20,60
1700301,2020,2,19,65
1700301,2020,2,21,99
1700301,2020,2,41,92
1700301,2020,2,26,73
1700301,2020,2,27,78
1700301,2020,3,14,80
1700301,2020,2,71,40
1700301,2020,3,70,51
1700301,2020,2,,60
1700301,2020,2,25,89
1700350,2019,2,41,48
1700350,2019,2,21,34
1700350,2019,3,1,116
1700350,2019,2,27,52
1700350,2019,2,15,29
1700350,2019,2,16,25
1700350,2019,3,21,37
1700350,2019,2,25,94
1700350,2019,3,17,60
1700350,2019,2,20,72
1700350,2019,2,,197
1700350,2019,3,18,53
1700350,2019,3,15,53
1700350,2019,3,41,32
1700350,2019,3,,106
1700350,2019,3,2,117
1700350,2019,2,18,26
1700350,2019,2,19,53
1700350,2019,2,14,28
1700350,2019,2,70,21
1700350,2019,2,26,70
1700350,2019,3,16,61
1700350,2019,2,71,48
1700350,2019,2,17,31
1700350,2019,3,19,40
1700350,2019,3,14,43
1700350,2019,2,69,65
1700350,2019,3,20,22
1700350,2019,2,2,8
1700350,2019,2,1,2
1700350,2020,2,21,73
1700350,2020,2,27,61
1700350,2020,2,41,37
1700350,2020,2,,70
1700350,2020,3,20,38
1700350,2020,3,21,17
1700350,2020,3,19,70
1700350,2020,3,41,31
1700350,2020,2,20,53
1700350,2020,3,17,66
1700350,2020,3,18,51
1700350,2020,2,25,78
1700350,2020,3,16,61
1700350,2020,2,69,60
1700350,2020,2,26,81
1700350,2020,2,71,76
1700350,2020,3,15,38
1700350,2020,2,2,4
1700350,2020,3,14,63
1700350,2020,3,1,160
1700350,2020,3,,85
1700350,2020,2,15,25
1700350,2020,2,16,30
1700350,2020,2,17,29
1700350,2020,2,18,27
1700350,2020,3,2,114
1700350,2020,2,19,22
1700350,2020,2,70,26
1700400,2019,2,27,71
1700400,2019,3,18,174
1700400,2019,3,1,104
1700400,2019,2,19,155
1700400,2019,3,16,171
1700400,2019,2,21,129
1700400,2019,3,17,167
1700400,2019,2,41,141
1700400,2019,3,14,111
1700400,2019,3,15,106
