cod_ibge,ano,rede,ensino,ideb,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa
1700251,2009,estadual,fundamental,4.0,90.3,0.906627,234.05,232.74
1700251,2009,estadual,fundamental,4.7,96.6,0.95717603,200.52,170.21
1700251,2009,municipal,fundamental,4.0,90.9,0.91357899,175.22,170.08
1700251,2009,publica,fundamental,4.3,92.5,0.92895001,188.47,170.14
1700251,2009,publica,fundamental,3.9,87.7,0.87561101,234.05,232.74
1700251,2011,estadual,fundamental,,89.9,0.85465503,,
1700251,2011,estadual,fundamental,4.2,91.4,0.915748,246.0,232.3
1700251,2011,municipal,fundamental,4.3,90.9,0.90414602,190.88,173.03
1700251,2011,publica,fundamental,4.2,91.4,0.915748,246.0,232.3
1700251,2011,publica,fundamental,4.3,90.6,0.89595902,190.88,173.03
1700251,2013,estadual,fundamental,5.4,96.1,0.95517099,219.42,195.07
1700251,2013,estadual,fundamental,3.8,84.2,0.84428799,234.28,234.35
1700251,2013,municipal,fundamental,,,,,
1700251,2013,publica,fundamental,3.8,84.2,0.84428799,234.28,234.35
1700251,2013,publica,fundamental,5.6,97.2,0.97415298,219.42,195.07
1700251,2015,estadual,fundamental,3.3,83.2,0.823677,227.15,215.28
1700251,2015,estadual,fundamental,,,,,
1700251,2015,municipal,fundamental,4.7,92.0,0.92376798,194.63,189.18
1700251,2017,estadual,fundamental,,,,,
1700251,2017,estadual,fundamental,4.6,88.1,0.87911099,251.17,262.89
1700251,2017,estadual,medio,3.8,93.1,0.92979002,247.0,263.42
1700251,2017,municipal,fundamental,4.9,89.2,0.87895501,206.6,200.13
1700251,2017,publica,fundamental,4.6,88.1,0.87911099,251.17,262.89
1700251,2017,publica,fundamental,4.9,89.2,0.87895501,206.6,200.13
1700251,2017,publica,medio,3.8,93.1,0.92979002,247.0,263.42
1700251,2019,estadual,fundamental,4.5,96.9,0.954602,244.58,237.1
1700251,2019,estadual,fundamental,,,,,
1700251,2019,estadual,medio,4.3,97.6,0.97599399,266.45,264.14
1700251,2019,municipal,fundamental,5.5,97.5,0.97591603,215.24,198.69
1700251,2019,publica,fundamental,4.6,97.4,0.97422898,244.58,237.1
1700251,2019,publica,fundamental,5.5,97.5,0.97591603,215.24,198.69
1700251,2019,publica,medio,4.3,97.6,0.97599399,266.45,264.14
1700251,2021,estadual,fundamental,,,,,
1700251,2021,estadual,fundamental,4.6,100.0,1.0,244.43,234.53
1700251,2021,estadual,medio,,100.0,1.0,,
1700251,2021,municipal,fundamental,4.5,99.4,0.994898,179.33,173.18
1700251,2021,publica,fundamental,4.5,99.4,0.994898,179.33,173.18
1700251,2021,publica,fundamental,4.6,100.0,1.0,244.43,234.53
1700251,2021,publica,medio,,100.0,1.0,,
1700251,2023,estadual,fundamental,,,,,
1700251,2023,estadual,fundamental,4.9,100.0,1.0,246.46,248.73
1700251,2023,estadual,medio,3.8,97.8,0.977028,247.63,246.89
1700251,2023,municipal,fundamental,6.0,100.0,1.0,219.95,212.37
1700251,2023,publica,fundamental,4.9,100.0,1.0,246.46,248.73
1700251,2023,publica,fundamental,6.0,100.0,1.0,219.95,212.37
1700251,2023,publica,medio,3.8,97.8,0.977028,247.63,246.89
1700301,2009,estadual,fundamental,4.1,89.9,0.90628999,183.33,170.38
1700301,2009,estadual,fundamental,3.9,88.1,0.88155699,231.75,232.16
1700301,2009,municipal,fundamental,3.1,80.6,0.80688202,169.69,148.05
1700301,2009,municipal,fundamental,,78.9,0.80210203,,
1700301,2009,publica,fundamental,3.7,84.9,0.850115,231.75,232.16
1700301,2009,publica,fundamental,3.5,83.6,0.838983,175.13,156.94
1700301,2011,estadual,fundamental,3.6,89.6,0.89532501,220.55,218.47
1700301,2011,estadual,fundamental,4.4,92.1,0.93610901,188.07,171.46
1700301,2011,municipal,fundamental,,80.0,0.78749198,,
1700301,2011,municipal,fundamental,3.4,84.7,0.85948002,167.52,155.57
1700301,2011,publica,fundamental,3.8,86.8,0.88005501,176.0,162.11
1700301,2011,publica,fundamental,3.5,87.2,0.87397099,220.55,218.47
1700301,2013,estadual,fundamental,,,,,
1700301,2013,estadual,fundamental,3.3,85.5,0.85646999,218.55,215.91
1700301,2013,municipal,fundamental,3.8,92.6,0.92172998,169.02,161.66
1700301,2013,municipal,fundamental,3.1,78.6,0.80160701,219.44,210.8
1700301,2013,publica,fundamental,3.8,92.6,0.92172998,169.02,161.66
1700301,2013,publica,fundamental,3.2,82.9,0.82873702,218.77,214.66
1700301,2015,estadual,fundamental,4.1,91.2,0.90836501,232.8,238.87
1700301,2015,estadual,fundamental,,,,,
1700301,2015,municipal,fundamental,,77.6,0.79057097,,
1700301,2015,municipal,fundamental,3.9,90.2,0.90487802,174.37,163.48
1700301,2017,estadual,fundamental,,,,,
1700301,2017,estadual,fundamental,3.8,82.9,0.82123899,238.61,240.42
1700301,2017,estadual,medio,3.7,89.7,0.90332401,257.57,253.32
1700301,2017,municipal,fundamental,4.0,81.9,0.84139699,243.77,241.92
1700301,2017,municipal,fundamental,4.4,90.0,0.90767598,183.67,186.07
1700301,2017,publica,fundamental,4.4,90.0,0.90767598,183.67,186.07
1700301,2017,publica,fundamental,3.8,82.5,0.82302999,239.19,240.6
1700301,2017,publica,medio,3.7,89.7,0.90332401,257.57,253.32
1700301,2019,estadual,fundamental,3.7,84.6,0.82715201,232.86,234.38
1700301,2019,estadual,fundamental,,,,,
1700301,2019,estadual,medio,4.1,90.6,0.914123,269.95,268.13
1700301,2019,municipal,fundamental,,,,,
1700301,2019,municipal,fundamental,4.8,93.7,0.94168103,197.63,186.61
1700301,2019,publica,fundamental,3.7,83.9,0.83734602,230.25,233.0
1700301,2019,publica,fundamental,4.8,93.7,0.94168103,197.63,186.61
1700301,2019,publica,medio,4.1,90.6,0.914123,269.95,268.13
1700301,2021,estadual,fundamental,4.7,96.8,0.972424,241.09,251.28
1700301,2021,estadual,fundamental,,,,,
1700301,2021,estadual,medio,,87.6,0.876598,,
1700301,2021,municipal,fundamental,4.3,100.0,1.0,175.16,167.04
1700301,2021,municipal,fundamental,,,,,
1700301,2021,publica,fundamental,4.8,97.8,0.977768,241.09,251.28
1700301,2021,publica,fundamental,4.3,100.0,1.0,175.16,167.04
1700301,2021,publica,medio,,87.6,0.876598,,
1700301,2023,estadual,fundamental,,,,,
1700301,2023,estadual,fundamental,5.0,97.1,0.974535,255.04,254.22
1700301,2023,estadual,medio,3.8,91.2,0.911446,259.26,258.39
1700301,2023,municipal,fundamental,4.2,84.7,0.842475,243.07,254.9
1700301,2023,municipal,fundamental,4.4,91.8,0.913124,191.75,173.76
1700301,2023,publica,fundamental,4.4,91.8,0.913124,191.75,173.76
1700301,2023,publica,fundamental,4.7,91.9,0.917132,252.93,254.34
1700301,2023,publica,medio,3.8,91.2,0.911446,259.26,258.39
1700350,2009,estadual,fundamental,4.5,93.9,0.93772298,192.96,170.89
