cod_ibge,ano,cnae_2_secao,vinculos
1700251,2019,84,307
1700251,2019,82,2
1700251,2019,53,2
1700251,2019,47,16
1700251,2019,45,1
1700251,2019,69,3
1700251,2019,86,2
1700251,2019,01,125
1700251,2020,45,1
1700251,2020,43,1
1700251,2020,86,2
1700251,2020,69,3
1700251,2020,53,2
1700251,2020,36,3
1700251,2020,84,327
1700251,2020,47,15
1700251,2020,01,143
1700251,2020,82,2
1700251,2021,36,6
1700251,2021,47,12
1700251,2021,69,3
1700251,2021,01,233
1700251,2021,84,315
1700251,2021,45,1
1700251,2021,53,2
1700251,2021,82,2
1700251,2021,46,1
1700251,2021,61,1
1700251,2022,47,27
1700251,2022,36,5
1700251,2022,69,4
1700251,2022,45,1
1700251,2022,86,1
1700251,2022,84,197
1700251,2022,85,161
1700251,2022,01,197
1700251,2022,46,1
1700251,2022,61,1
1700251,2022,82,2
1700251,2022,53,1
1700251,2023,12,3
1700251,2023,36,4
1700251,2023,47,31
1700251,2023,16,28
1700251,2023,82,2
1700251,2023,15,100
1700251,2023,53,1
1700251,2023,11,118
1700251,2023,45,2
1700251,2023,61,1
1700251,2023,84,279
1700251,2023,86,1
1700251,2023,69,4
1700251,2023,85,213
1700251,2024,11,142
1700251,2024,45,2
1700251,2024,86,1
1700251,2024,69,6
1700251,2024,82,2
1700251,2024,36,4
1700251,2024,53,1
1700251,2024,15,94
1700251,2024,61,1
1700251,2024,85,154
1700251,2024,47,27
1700251,2024,84,220
1700251,2024,16,79
1700251,2024,12,1
1700301,2019,42,2
1700301,2019,84,384
1700301,2019,85,15
1700301,2019,49,47
1700301,2019,43,1
1700301,2019,82,2
1700301,2019,01,1041
1700301,2019,45,6
1700301,2019,55,3
1700301,2019,53,3
1700301,2019,96,4
1700301,2019,41,5
1700301,2019,47,93
1700301,2019,52,4
1700301,2019,56,26
1700301,2019,10,5
1700301,2019,69,3
1700301,2019,08,3
1700301,2020,47,85
1700301,2020,45,3
1700301,2020,69,2
1700301,2020,52,2
1700301,2020,10,5
1700301,2020,82,2
1700301,2020,01,1267
1700301,2020,49,53
1700301,2020,53,2
1700301,2020,84,387
1700301,2020,85,13
1700301,2021,02,6
1700301,2021,52,2
1700301,2021,10,1
1700301,2021,84,427
1700301,2021,08,3
1700301,2021,42,4
1700301,2021,53,3
1700301,2021,56,21
1700301,2021,82,2
1700301,2021,16,4
1700301,2021,43,2
1700301,2021,45,5
1700301,2021,69,3
1700301,2021,01,1616
1700301,2021,47,100
1700301,2021,49,79
1700301,2021,55,3
1700301,2021,85,11
1700301,2021,41,1
1700301,2022,02,4
1700301,2022,49,76
1700301,2022,82,2
1700301,2022,45,6
1700301,2022,42,4
1700301,2022,47,98
1700301,2022,55,3
1700301,2022,53,3
1700301,2022,08,4
1700301,2022,56,27
1700301,2022,01,1674
1700301,2022,16,24
1700301,2022,85,16
1700301,2022,41,3
1700301,2022,52,1
1700301,2022,84,470
1700301,2022,10,1
1700301,2022,69,5
1700301,2022,43,1
1700301,2023,15,1276
1700301,2023,56,26
1700301,2023,45,3
1700301,2023,41,5
1700301,2023,49,72
1700301,2023,85,13
1700301,2023,16,4
1700301,2023,82,2
1700301,2023,84,570
1700301,2023,47,120
1700301,2023,81,3
1700301,2023,43,1
1700301,2023,13,235
1700301,2023,55,3
1700301,2023,10,1
1700301,2023,53,3
1700301,2023,69,6
1700301,2023,21,8
1700301,2023,42,9
1700301,2024,15,1489
1700301,2024,55,5
1700301,2024,81,4
1700301,2024,41,5
1700301,2024,56,27
1700301,2024,53,3
1700301,2024,47,124
1700301,2024,93,1
1700301,2024,16,3
1700301,2024,21,4
1700301,2024,96,1
1700301,2024,84,485
1700301,2024,45,6
1700301,2024,42,20
1700301,2024,49,67
1700301,2024,10,2
1700301,2024,13,255
1700301,2024,85,11
1700301,2024,82,2
1700301,2024,69,8
1700350,2019,10,62
1700350,2019,46,1
1700350,2019,56,18
1700350,2019,86,1
1700350,2019,01,205
1700350,2019,45,5
1700350,2019,41,15
1700350,2019,47,94
1700350,2019,49,28
1700350,2019,96,5
1700350,2019,53,3
1700350,2019,85,6
1700350,2019,82,7
1700350,2019,02,15
1700350,2019,84,327
1700350,2019,94,3
1700350,2019,64,5
1700350,2019,69,8
1700350,2019,80,5
1700350,2019,35,3
1700350,2020,53,3
1700350,2020,82,8
1700350,2020,10,69
1700350,2020,64,4
1700350,2020,03,1
1700350,2020,49,21
1700350,2020,96,4
1700350,2020,85,4
1700350,2020,84,331
1700350,2020,02,13
1700350,2020,41,24
1700350,2020,45,5
1700350,2020,47,115
1700350,2020,56,11
1700350,2020,80,6
1700350,2020,69,8
1700350,2020,35,3
1700350,2020,94,1
1700350,2020,01,191
1700350,2020,78,8
1700350,2020,86,2
1700350,2021,47,143
1700350,2021,82,6
1700350,2021,85,6
1700350,2021,69,6
1700350,2021,94,1
1700350,2021,64,5
1700350,2021,78,2
1700350,2021,84,373
1700350,2021,45,5
1700350,2021,01,231
1700350,2021,10,58
1700350,2021,56,20
1700350,2021,41,7
1700350,2021,02,3
1700350,2021,96,3
1700350,2021,35,3
1700350,2021,53,3
1700350,2021,03,2
1700350,2021,49,1
1700350,2021,86,2
1700350,2021,80,4
1700350,2022,03,3
1700350,2022,35,4
1700350,2022,85,6
1700350,2022,02,3
1700350,2022,01,285
1700350,2022,47,200
1700350,2022,56,17
1700350,2022,84,305
1700350,2022,53,3
1700350,2022,69,10
1700350,2022,94,1
1700350,2022,10,45
1700350,2022,96,3
1700350,2022,45,7
1700350,2022,86,2
1700350,2022,80,6
1700350,2022,64,6
1700350,2022,41,14
1700350,2022,42,14
1700350,2022,82,9
1700350,2023,13,1
1700350,2023,86,2
1700350,2023,53,3
1700350,2023,16,66
1700350,2023,61,27
1700350,2023,21,2
1700350,2023,84,440
1700350,2023,11,35
1700350,2023,45,9
1700350,2023,94,1
1700350,2023,41,19
1700350,2023,32,3
1700350,2023,64,6
1700350,2023,35,4
1700350,2023,68,2
1700350,2023,10,21
1700350,2023,56,14
1700350,2023,85,6
1700350,2023,47,214
1700350,2023,69,10
1700350,2023,42,1
1700350,2023,15,193
1700350,2023,96,3
1700350,2023,55,11
1700350,2023,82,5
1700350,2023,14,1
1700350,2024,32,8
1700350,2024,41,25
1700350,2024,16,60
1700350,2024,35,5
1700350,2024,94,1
1700350,2024,84,510
1700350,2024,56,13
1700350,2024,21,4
1700350,2024,82,50
1700350,2024,11,39
1700350,2024,53,3
1700350,2024,13,2
1700350,2024,14,1
1700350,2024,86,2
1700350,2024,68,7
1700350,2024,96,7
1700350,2024,85,6
1700350,2024,15,176
1700350,2024,64,7
1700350,2024,47,203
1700350,2024,55,13
1700350,2024,61,42
1700350,2024,45,8
1700350,2024,69,10
1700350,2024,49,1
1700350,2024,10,72
1700400,2019,10,141
1700400,2019,86,3
1700400,2019,53,2
1700400,2019,55,4
1700400,2019,84,498
1700400,2019,08,2
1700400,2019,45,8
1700400,2019,09,1
1700400,2019,35,8
1700400,2019,69,7
1700400,2019,56,1
1700400,2019,03,7
1700400,2019,07,9
1700400,2019,47,75
1700400,2019,02,1
