ano,sigla_uf,id_municipio,tema,recusa,sem_gestor,caracterizacao_orgao_gestor,sexo,idade,cor_raca,cor_raca_autodeclarado,escolaridade,escolaridade_formacao
2018,TO,1700251,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1700251,cultura,0,0,Setor subordinado a outra secretaria,Feminino,41,Branca,1,Especialização,Não se aplica
2018,TO,1700251,saude,0,0,Secretaria exclusiva,Masculino,40,Branca,0,Ensino superior completo,Assistência social
2018,TO,1700251,assistencia_social,0,0,Secretaria exclusiva,Feminino,43,Branca,0,Ensino fundamental ( 1º Grau) completo,
2019,TO,1700251,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1700251,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1700251,habitacao,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,40,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1700251,transporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,40,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2020,TO,1700251,agropecuario,0,0,Secretaria exclusiva,Masculino,44,Parda,0,Ensino fundamental (1º Grau) incompleto,Não se aplica
2020,TO,1700251,meio_ambiente,0,0,Secretaria exclusiva,Feminino,51,Branca,1,Ensino superior completo,Não se aplica
2021,TO,1700251,saude,0,0,Secretaria exclusiva,Masculino,27,Branca,0,Ensino superior incompleto,
2021,TO,1700251,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,43,Parda,1,Especialização,Não se aplica
2021,TO,1700251,cultura,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,43,Parda,1,Especialização,Não se aplica
2021,TO,1700251,eduacao,0,0,Secretaria em conjunto com outras políticas setoriais,Feminino,43,Parda,1,Especialização,Pedagogia
2021,TO,1700251,informacao_prefeito,0,0,Não se aplica,Masculino,44,Parda,0,Ensino médio (2º Grau) completo,Não se aplica
2018,TO,1700301,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
2018,TO,1700301,cultura,0,0,Secretaria exclusiva,Masculino,35,Branca,1,Ensino superior completo,Não se aplica
2018,TO,1700301,saude,0,0,Secretaria exclusiva,Feminino,41,Parda,0,Ensino superior completo,Administração
2018,TO,1700301,assistencia_social,0,0,Secretaria exclusiva,Feminino,54,Parda,1,Ensino superior completo,Assistência social
2019,TO,1700301,direitos_humanos,0,0,Não possui estrutura,,,,,,Não se aplica
2019,TO,1700301,seguranca_publica,0,0,Não possui estrutura,,,,,,Não se aplica
2020,TO,1700301,habitacao,1,0,,,,,,,Não se aplica
2020,TO,1700301,transporte,1,0,,,,,,,Não se aplica
2020,TO,1700301,agropecuario,1,0,,,,,,,Não se aplica
2020,TO,1700301,meio_ambiente,1,0,,,,,,,Não se aplica
2021,TO,1700301,saude,0,0,Secretaria em conjunto  com outras políticas setoriais,Masculino,42,Parda,1,Mestrado,Pedagogia
2021,TO,1700301,esporte,0,0,Secretaria em conjunto com outras políticas setoriais,Masculino,40,Parda,1,Ensino superior completo,Não se aplica
2021,TO,1700301,cultura,0,0,Setor subordinado a outra secretaria,Feminino,31,Parda,0,Ensino superior completo,Não se aplica
2021,TO,1700301,eduacao,0,0,Secretaria exclusiva,Feminino,45,Parda,1,Mestrado,Pedagogia
2021,TO,1700301,informacao_prefeito,0,0,Não se aplica,Masculino,55,Parda,0,Ensino superior completo,Não se aplica
2018,TO,1700350,politica_genero,0,0,Não possui estrutura,,,,,,Não se aplica
