ano,sigla_uf,id_municipio,recusa,tipo_administracao,existencia_adm_indireta,tipo_vinculo,escolaridade,quantidade_vinculo
2018,TO,1700251,0,Direta,0,Estatutários,Total,64
2018,TO,1700251,0,Direta,0,Estatutários,Sem instrução,0
2018,TO,1700251,0,Direta,0,Estatutários,Ensino fundamental,3
2018,TO,1700251,0,Direta,0,Estatutários,Ensino médio,29
2018,TO,1700251,0,Direta,0,Estatutários,Ensino superior,17
2018,TO,1700251,0,Direta,0,Estatutários,Pós-graduação,15
2018,TO,1700251,0,Direta,0,Celetistas,Total,0
2018,TO,1700251,0,Direta,0,Celetistas,Sem instrução,0
2018,TO,1700251,0,Direta,0,Celetistas,Ensino fundamental,0
2018,TO,1700251,0,Direta,0,Celetistas,Ensino médio,0
2018,TO,1700251,0,Direta,0,Celetistas,Ensino superior,0
2018,TO,1700251,0,Direta,0,Celetistas,Pós-graduação,0
2018,TO,1700251,0,Direta,0,Somente comissionados,Total,104
2018,TO,1700251,0,Direta,0,Somente comissionados,Sem instrução,10
2018,TO,1700251,0,Direta,0,Somente comissionados,Ensino fundamental,21
2018,TO,1700251,0,Direta,0,Somente comissionados,Ensino médio,35
2018,TO,1700251,0,Direta,0,Somente comissionados,Ensino superior,38
2018,TO,1700251,0,Direta,0,Somente comissionados,Pós-graduação,0
2018,TO,1700251,0,Direta,0,Estagiários,Total,0
2018,TO,1700251,0,Direta,0,Estagiários,Ensino fundamental,0
2018,TO,1700251,0,Direta,0,Estagiários,Ensino médio,0
2018,TO,1700251,0,Direta,0,Estagiários,Ensino superior,0
2018,TO,1700251,0,Direta,0,Estagiários,Pós-graduação,0
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Total,29
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Sem instrução,2
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Ensino fundamental,5
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Ensino médio,16
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Ensino superior,6
2018,TO,1700251,0,Direta,0,Sem vínculo permanente,Pós-graduação,0
2018,TO,1700251,0,Indireta,0,Estatutários,Total,
2018,TO,1700251,0,Indireta,0,Estatutários,Sem instrução,
2018,TO,1700251,0,Indireta,0,Estatutários,Ensino fundamental,
2018,TO,1700251,0,Indireta,0,Estatutários,Ensino médio,
2018,TO,1700251,0,Indireta,0,Estatutários,Ensino superior,
2018,TO,1700251,0,Indireta,0,Estatutários,Pós-graduação,
