cod_ibge,ano,mes,acessos_densidade
1700251,2019,12,2.0938348196976
1700251,2020,12,1.1179645335389
1700251,2021,12,3.41126868532
1700251,2022,12,1.3975155279503
1700251,2023,12,1.4363354037267
1700251,2024,12,1.6116941529235
1700301,2019,12,3.9061339670281
1700301,2020,12,3.2936738247243
1700301,2021,12,3.0500780252518
1700301,2022,12,6.6488770291305
1700301,2023,12,6.0040026684456
1700301,2024,12,5.2677981044743
1700350,2019,12,4.2300556586271
1700350,2020,12,3.2547699214366
1700350,2021,12,2.3571563266076
1700350,2022,12,2.1565960753837
1700350,2023,12,2.1760248688556
1700350,2024,12,2.3745691306013
1700400,2019,12,2.140326009922
1700400,2020,12,2.3212494626737
1700400,2021,12,5.8653149891383
1700400,2022,12,4.1698722880443
1700400,2023,12,7.9858439759963
1700400,2024,12,9.9052277590951
1700707,2019,12,7.9410366143604
1700707,2020,12,17.770366841353
1700707,2021,12,3.8539553752535
1700707,2022,12,4.1240627130198
1700707,2023,12,4.0672574414906
1700707,2024,12,11.67802946998
1701002,2019,12,3.790972876741
1701002,2020,12,3.0973451327434
1701002,2021,12,2.628510863805
1701002,2022,12,1.8983050847458
1701002,2023,12,1.3753026634383
1701002,2024,12,5.0084411930219
1701051,2019,12,2.8546460821439
1701051,2020,12,2.5767226404169
1701051,2021,12,2.158273381295
1701051,2022,12,2.0514603616134
1701051,2023,12,1.5646731571627
1701051,2024,12,0.68540095956134
1701101,2019,12,1.0844629822732
1701101,2020,12,0.96947194719472
1701101,2021,12,0.85696796572128
1701101,2022,12,1.4003294892916
1701101,2023,12,2.4093904448105
1701101,2024,12,3.355042431419
1701309,2019,12,2.2750955192775
1701309,2020,12,2.5998953062293
1701309,2021,12,2.4364592462752
1701309,2022,12,2.3629489603025
1701309,2023,12,2.34404536862
1701309,2024,12,2.8544776119403
1701903,2019,12,1.2277730736664
1701903,2020,12,1.7749825296995
1701903,2021,12,1.6059808943652
1701903,2022,12,2.2608402227096
1701903,2023,12,2.4295596423148
1701903,2024,12,2.3513826792515
1702000,2019,12,2.0664553246448
1702000,2020,12,11.019251210582
1702000,2021,12,14.896650035638
1702000,2022,12,7.3896471166851
1702000,2023,12,6.9593016107218
1702000,2024,12,2.8405656956364
1702109,2019,12,9.591067767496
