cod_ibge,ano,populacao_atendida_agua,populacao_atendida_esgoto,indice_atendimento_agua,indice_atendimento_esgoto,indice_tratamento_esgoto
1700251,2015,1557,,61.32,,
1700251,2016,1557,,60.94,,
1700251,2017,1587,,61.73,,
1700251,2018,1583,,61.74,,
1700251,2019,1592,,61.73,,
1700251,2020,1601,,61.72,,
1700251,2021,1611,,61.75,,
1700251,2022,1940,,75.31,,
1700301,2015,5492,1669,89.32,27.14,100.0
1700301,2016,5492,1669,87.08,26.46,100.0
1700301,2017,5321,1626,82.37,25.17,100.0
1700301,2018,5532,1630,84.18,24.8,100.0
1700301,2019,5685,1610,84.43,23.91,100.0
1700301,2020,5835,1618,84.66,23.48,100.0
1700301,2021,5983,1677,84.88,23.79,100.0
1700301,2022,3608,1610,80.23,35.8,100.0
1700350,2015,4880,,87.07,,
1700350,2016,4880,,87.69,,
1700350,2017,4764,,86.2,,
1700350,2018,4751,,87.43,,
1700350,2019,4741,,87.96,,
1700350,2020,4731,,88.5,,
1700350,2021,4724,,89.08,,
1700350,2022,4316,,83.85,,
1700400,2015,7368,,99.45,,
1700400,2016,7368,,100.0,,
1700400,2017,5995,,82.43,,
1700400,2018,5977,,83.82,,
1700400,2019,5966,,84.56,,
1700400,2020,5954,,85.31,,
1700400,2021,5945,,86.1,,
1700400,2022,5148,,79.21,,
1700707,2015,8522,,99.84,,
1700707,2016,8522,,99.95,,
1700707,2017,7938,,93.21,,
1700707,2018,7936,,94.17,,
1700707,2019,7935,,94.33,,
1700707,2020,7933,,94.49,,
1700707,2021,7932,,94.64,,
1700707,2022,8161,,92.72,,
1701002,2015,9840,4509,99.92,45.79,37.37
1701002,2016,9750,4879,99.51,49.8,38.0
1701002,2017,9700,4882,99.5,50.08,33.33
1701002,2018,9604,4900,99.97,51.0,33.33
1701002,2019,8591,4600,89.97,48.17,35.71
1701002,2020,8591,4600,90.51,48.46,0.0
1701002,2021,8602,3606,91.17,38.22,0.0
1701002,2022,8615,3611,83.44,34.97,0.0
1701051,2015,2048,,60.61,,
1701051,2016,2048,,60.22,,
1701051,2017,2089,,61.03,,
1701051,2018,2086,,61.05,,
1701051,2019,2094,,61.0,,
1701051,2020,2108,,61.03,,
1701051,2021,2495,,71.8,,
1701051,2022,2427,,84.39,,
1701101,2015,3587,,77.67,,
1701101,2016,3587,,76.78,,
1701101,2017,3716,,78.63,,
1701101,2020,3812,,78.63,,
1701101,2021,3854,,78.64,,
1701101,2022,3904,,80.4,,
1701309,2015,2249,,38.05,,
1701309,2016,2249,,38.2,,
1701309,2017,2224,,37.92,,
1701309,2018,2194,,37.92,,
1701309,2019,2194,,38.1,,
1701309,2020,3592,,62.68,,
1701309,2021,3661,,64.17,,
1701309,2022,3374,,63.78,,
1701903,2015,3144,,45.81,,
1701903,2016,3144,,45.34,,
1701903,2017,3243,,46.31,,
