cod_ibge,ano,bioma,desmatado,vegetacao_natural,hidrografia
1700251,2000,Cerrado,121.6,1779.0,2.0
1700251,2001,Cerrado,141.2,1759.4,2.0
1700251,2002,Cerrado,160.8,1739.8,2.0
1700251,2003,Cerrado,202.9,1697.7,2.0
1700251,2004,Cerrado,245.0,1655.6,2.0
1700251,2005,Cerrado,292.4,1608.2,2.0
1700251,2006,Cerrado,339.8,1560.8,2.0
1700251,2007,Cerrado,358.8,1541.8,2.0
1700251,2008,Cerrado,377.8,1522.8,2.0
1700251,2009,Cerrado,414.1,1486.5,2.0
1700251,2010,Cerrado,450.4,1450.2,2.0
1700251,2011,Cerrado,465.7,1434.9,2.0
1700251,2012,Cerrado,481.0,1419.6,2.0
1700251,2013,Cerrado,511.2,1389.4,2.0
1700251,2014,Cerrado,538.5,1362.1,2.0
1700251,2015,Cerrado,621.1,1279.5,2.0
1700251,2016,Cerrado,651.9,1248.7,2.0
1700251,2017,Cerrado,687.3,1213.3,2.0
1700251,2018,Cerrado,717.9,1182.7,2.0
1700251,2019,Cerrado,738.2,1162.4,2.0
1700251,2020,Cerrado,777.5,1123.1,2.0
1700251,2021,Cerrado,807.4,1093.2,2.0
1700251,2022,Cerrado,840.7,1059.9,2.0
1700251,2023,Cerrado,867.0,1033.6,2.0
1700301,2000,Cerrado,121.2,106.6,6.4
1700301,2001,Cerrado,123.8,104.0,6.4
1700301,2002,Cerrado,126.4,101.4,6.4
1700301,2003,Cerrado,128.5,99.3,6.4
1700301,2004,Cerrado,130.6,97.2,6.4
1700301,2005,Cerrado,134.4,93.4,6.4
1700301,2006,Cerrado,138.2,89.6,6.4
1700301,2007,Cerrado,140.5,87.3,6.4
1700301,2008,Cerrado,142.8,85.0,6.4
1700301,2009,Cerrado,144.1,83.7,6.4
1700301,2010,Cerrado,145.4,82.4,6.4
1700301,2011,Cerrado,146.0,81.8,6.4
1700301,2012,Cerrado,146.6,81.2,6.4
1700301,2013,Cerrado,146.9,80.9,6.4
1700301,2014,Cerrado,147.7,80.1,6.4
1700301,2015,Cerrado,149.8,78.0,6.4
1700301,2016,Cerrado,150.4,77.4,6.4
1700301,2017,Cerrado,152.0,75.8,6.4
1700301,2018,Cerrado,152.3,75.5,6.4
1700301,2019,Cerrado,154.6,73.2,6.4
1700301,2020,Cerrado,154.9,72.9,6.4
1700301,2021,Cerrado,155.8,72.0,6.4
1700301,2022,Cerrado,157.4,70.4,6.4
1700301,2023,Cerrado,159.5,68.3,6.4
1700350,2000,Cerrado,529.4,1088.1,4.5
1700350,2001,Cerrado,567.4,1050.1,4.5
1700350,2002,Cerrado,605.4,1012.1,4.5
1700350,2003,Cerrado,619.7,997.8,4.5
1700350,2004,Cerrado,634.0,983.5,4.5
