numero_distribuicao,ano,mes,ente,sigla_estado,codigo_ente,nome_ente,tipo_distribuicao,substancia,tipo_afetamento,valor,data_criacao
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,3104.8615,2006-12-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,294.5995,2006-08-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,251.654,2006-06-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,231.894,2006-10-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,210.496,2006-07-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,145.119,2006-11-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,141.0825,2006-09-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,133.6465,2006-12-31
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,118.547,2006-09-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,63.999,2005-07-31
245,2007,2,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,63.2775,2005-08-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,63.2645,2005-08-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,62.6145,2005-09-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,61.7175,2005-10-31
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,60.7035,2005-11-30
245,2007,2,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,59.93,2005-12-31
245,2007,2,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,47.0405,2006-12-31
245,2007,2,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,38.9415,2005-09-30
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,14.3455,2006-01-31
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,13.871,2006-06-30
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,11.9145,2006-04-30
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,11.2125,2006-05-31
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,10.3025,2006-03-31
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,10.0035,2006-07-31
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,9.9775,2006-09-30
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,7.111,2006-10-31
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,6.929,2006-11-30
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,6.669,2006-02-28
245,2007,2,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,6.526,2006-12-31
245,2007,2,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO,-,765.765,2006-11-30
245,2007,2,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,56.4785,2006-12-31
245,2007,2,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,1909.4335,2006-11-30
245,2007,2,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,636.0965,2006-12-31
245,2007,2,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,71.461,2006-12-31
245,2007,2,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,147.5955,2006-12-31
245,2007,2,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,1682.187,2006-11-30
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,726.7715,2006-12-31
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,388.011,2006-11-30
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,99.723,2006-10-31
245,2007,2,Município,TO,1711506.0,JAÚ DO TOCANTINS,Produtor,MINÉRIO DE ZIRCÔNIO,-,612.6445,2006-11-30
245,2007,2,Município,TO,1721000.0,PALMAS,Produtor,SEIXOS,-,82.2315,2006-09-30
247,2007,3,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,26.0,2007-01-31
247,2007,3,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,9.4445,2007-01-31
247,2007,3,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,45.6235,2007-01-31
247,2007,3,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,682.89,2007-01-31
247,2007,3,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,120.5555,2007-01-31
247,2007,3,Município,TO,1707009.0,DIANÓPOLIS,Produtor,GRANITO,-,1116.4595,2003-10-31
247,2007,3,Município,TO,1707009.0,DIANÓPOLIS,Produtor,GRANITO,-,1106.4755,2003-11-30
247,2007,3,Município,TO,1707009.0,DIANÓPOLIS,Produtor,GRANITO,-,555.3795,2004-05-31
247,2007,3,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,489.892,2007-01-31
247,2007,3,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,114.4715,2006-12-31
247,2007,3,Município,TO,1720655.0,SILVANÓPOLIS,Produtor,GRANITO,-,75.959,2006-01-31
247,2007,3,Município,TO,1720259.0,SÃO SALVADOR DO TOCANTINS,Produtor,GRANITO P/ REVESTIMENTO,-,220.5125,2006-02-28
247,2007,3,Município,TO,1720259.0,SÃO SALVADOR DO TOCANTINS,Produtor,GRANITO P/ REVESTIMENTO,-,177.3135,2006-03-31
247,2007,3,Município,TO,1720259.0,SÃO SALVADOR DO TOCANTINS,Produtor,GRANITO P/ REVESTIMENTO,-,38.3175,2006-09-30
247,2007,3,Município,TO,1720259.0,SÃO SALVADOR DO TOCANTINS,Produtor,GRANITO P/ REVESTIMENTO,-,15.587,2006-08-31
247,2007,3,Município,TO,1720259.0,SÃO SALVADOR DO TOCANTINS,Produtor,GRANITO P/ REVESTIMENTO,-,14.6705,2006-10-31
248,2007,3,Município,TO,1718204.0,PORTO NACIONAL,Produtor,GRANITO,-,167.8885,2006-08-31
249,2007,4,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,38.038,2007-02-28
249,2007,4,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,8.8465,2006-08-31
249,2007,4,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,8.45,2006-07-31
249,2007,4,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,8.021,2006-06-30
249,2007,4,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,6.552,2006-05-31
249,2007,4,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,146.2305,2007-02-28
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,711.6785,2006-09-30
249,2007,4,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,613.964,2007-02-28
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,519.7595,2006-10-31
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,288.587,2006-08-31
249,2007,4,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,203.0275,2007-02-28
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,140.01,2006-11-30
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,97.2985,2006-07-31
249,2007,4,Município,TO,1715754.0,PALMEIRÓPOLIS,Produtor,CALCÁRIO DOLOMÍTICO,-,52.806,2006-06-30
249,2007,4,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1526.109,2007-01-31
249,2007,4,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1118.208,2006-12-31
249,2007,4,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,246.467,2007-02-28
251,2007,5,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,6.8445,2004-06-30
251,2007,5,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,6.695,2004-08-31
251,2007,5,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,238.9205,2007-03-31
251,2007,5,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,779.4215,2007-03-31
251,2007,5,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,106.366,2007-03-31
251,2007,5,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,781.5925,2006-12-31
251,2007,5,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,349.362,2007-01-31
251,2007,5,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,25.61,2007-02-28
251,2007,5,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,854.425,2007-02-28
251,2007,5,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,687.687,2007-03-31
251,2007,5,Município,TO,1716604.0,PEIXE,Produtor,MINÉRIO DE BERÍLIO,-,3598.53,2007-03-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,250.2825,2006-07-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,247.507,2006-08-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,245.0695,2006-09-30
253,2007,6,Município,TO,1707009.0,DIANÓPOLIS,Produtor,AREIA,-,223.9575,2007-04-30
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,202.085,2006-06-30
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,178.1715,2006-05-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,169.4355,2006-10-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,154.531,2006-04-30
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,131.8005,2006-02-28
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,129.506,2006-03-31
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,103.8115,2006-12-31
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,101.8615,2006-10-31
253,2007,6,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,95.5435,2006-11-30
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,AREIA,-,42.5165,2006-11-30
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,AREIA,-,27.2285,2006-12-31
253,2007,6,Município,TO,1722107.0,XAMBIOÁ,Produtor,AREIA,-,21.6775,2006-11-30
253,2007,6,Município,TO,1722107.0,XAMBIOÁ,Produtor,AREIA,-,14.729,2006-10-31
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,ARGILA,-,51.4995,2007-02-28
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,ARGILA,-,46.1695,2007-03-31
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,ARGILA,-,46.0655,2007-04-30
253,2007,6,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,11.284,2007-03-31
253,2007,6,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,9.282,2007-04-30
253,2007,6,Município,TO,1706100.0,CRISTALÂNDIA,Produtor,ARGILA,-,6.9875,2007-02-28
253,2007,6,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,155.1355,2007-04-30
253,2007,6,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,1724.6385,2007-04-30
253,2007,6,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,347.347,2007-04-30
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,138.957,2006-10-31
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,57.499,2006-12-31
253,2007,6,Município,TO,1718204.0,PORTO NACIONAL,Produtor,CASCALHO,-,48.7435,2006-11-30
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,877.9875,2007-04-30
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,532.558,2007-03-31
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,93.47,2007-01-31
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,23.764,2007-02-28
253,2007,6,Município,TO,1721000.0,PALMAS,Produtor,SEIXOS,-,26.767,2006-12-31
254,2007,6,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,70.5315,2007-04-30
254,2007,6,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,42.822,2007-05-31
256,2007,7,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,24.102,2007-05-31
256,2007,7,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,20.293,2007-04-30
256,2007,7,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,906.5485,2007-05-31
256,2007,7,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,132.1905,2007-01-31
256,2007,7,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,74.1065,2007-05-31
256,2007,7,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,14.144,2007-02-28
256,2007,7,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,9.5095,2007-04-30
256,2007,7,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,710.7295,2007-04-30
256,2007,7,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,484.003,2007-03-31
256,2007,7,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1064.7195,2007-04-30
256,2007,7,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1011.023,2007-05-31
257,2007,7,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,23.816,2007-06-30
258,2007,8,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,34.5345,2007-06-30
258,2007,8,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,2576.2035,2007-06-30
258,2007,8,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,1719.25,2007-05-31
258,2007,8,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,6578.273,2007-06-30
258,2007,8,Município,TO,1703057.0,BANDEIRANTES DO TOCANTINS,Produtor,CALCÁRIO DOLOMÍTICO,-,5910.3135,2007-05-31
258,2007,8,Município,TO,1720903.0,TAGUATINGA,Produtor,CALCÁRIO DOLOMÍTICO,-,662.376,2007-06-30
258,2007,8,Município,TO,1711902.0,LAGOA DA CONFUSÃO,Produtor,DOLOMITO,-,70.6485,2007-06-30
258,2007,8,Município,TO,1702406.0,ARRAIAS,Produtor,FOSFATO,-,1604.356,2007-05-31
258,2007,8,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,1581.4175,2007-05-31
258,2007,8,Município,TO,1721000.0,PALMAS,Produtor,GRANITO,-,622.9665,2007-06-30
259,2007,8,Município,TO,1701101.0,APARECIDA DO RIO NEGRO,Produtor,AREIA,-,32.24,2007-07-31
260,2007,9,Município,TO,1721000.0,PALMAS,Produtor,ÁGUA MINERAL,-,203.242,2007-07-31
260,2007,9,Município,TO,1703008.0,BABAÇULÂNDIA,Produtor,AREIA,-,49.608,2007-07-31
260,2007,9,Município,TO,1707009.0,DIANÓPOLIS,Produtor,ARGILA,-,122.9475,2007-07-31
260,2007,9,Município,TO,1714203.0,NATIVIDADE,Produtor,CALCÁRIO,-,1622.1335,2007-07-31
