ano,sigla_uf,quantidade_cvli,quantidade_feminicidio,quantidade_ocorrencia_homicidio_doloso,quantidade_vitima_homicidio_doloso,quantidade_latrocinio,quantidade_lesao_corporal_seguida_de_morte,quantidade_morte_a_esclarecer,quantidade_morte_intervencao_policial_civil_servico,quantidade_morte_intervencao_policial_civil_fora_servico,quantidade_morte_intervencao_policial_militar_servico,quantidade_morte_intervencao_policial_militar_fora_servico,quantidade_morte_violenta_intencional,quantidade_policial_civil_morto_confronto_servico,quantidade_policial_civil_morto_confronto_fora_servico,quantidade_policial_militar_morto_confronto_servico,quantidade_policial_militar_morto_confronto_fora_servico,quantidade_suicidio,quantidade_estupro,quantidade_tentativa_estupro,quantidade_furto_veiculo,quantidade_roubo_instituicao_financeira,quantidade_roubo_carga,quantidade_roubo_de_veiculo,quantidade_arma_fogo_apreendida,quantidade_registro_pessoa_desaparecida,quantidade_populacao_sistema_penitenciario,despesa_empenhada_seguranca_publica
2007,AC,172,0,168,0,1,3,8,0,0,0,0,0,0,0,0,0,8,0,0,0,,,,0,,0,0.0
2007,AL,1979,0,1806,0,26,13,0,0,0,0,0,0,0,0,0,0,57,0,0,0,,,,0,119,0,0.0
2007,AM,715,0,536,0,24,8,4,0,0,0,0,0,0,0,0,0,30,0,0,0,,,,0,538,0,0.0
2007,AP,133,0,117,0,5,11,1,0,0,0,0,0,0,0,0,0,11,0,0,0,,,,0,,0,0.0
2007,BA,3853,0,3497,0,122,89,546,0,0,0,0,0,0,0,0,0,435,0,0,0,,,,0,,0,0.0
2007,CE,2039,0,1847,0,126,66,369,0,0,0,0,0,0,0,0,0,293,0,0,0,,,,0,,0,0.0
2007,DF,625,0,567,0,49,9,42,0,0,0,0,0,0,0,0,0,100,0,0,0,0,5,1574,0,2785,0,0.0
2007,ES,1762,0,1903,0,10,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,13,26,1650,0,1840,0,0.0
2007,GO,1348,0,1268,0,57,23,1375,0,0,0,0,0,0,0,0,0,181,0,0,0,21,88,1553,0,,0,0.0
2007,MA,1148,0,974,0,82,92,23,0,0,0,0,0,0,0,0,0,89,0,0,0,,,,0,,0,0.0
2007,MG,2894,0,2812,0,82,0,12,0,0,0,0,0,0,0,0,0,450,0,0,0,,55,1383,0,,0,0.0
2007,MS,600,0,571,0,22,7,410,0,0,0,0,0,0,0,0,0,148,0,0,0,7,3,746,0,1049,0,0.0
2007,MT,908,0,844,0,43,32,176,0,0,0,0,0,0,0,0,0,162,0,0,0,33,14,1235,0,,0,0.0
2007,PA,2518,0,2251,0,242,25,0,0,0,0,0,0,0,0,0,0,32,0,0,0,,,,0,1267,0,0.0
2007,PB,653,0,612,0,32,9,65,0,0,0,0,0,0,0,0,0,101,0,0,0,,,,0,72,0,0.0
2007,PE,4395,0,4285,0,109,1,977,0,0,0,0,0,0,0,0,0,282,0,0,0,28,55,4946,0,1176,0,0.0
2007,PI,298,0,290,0,2,6,38,0,0,0,0,0,0,0,0,0,86,0,0,0,,,,0,155,0,0.0
2007,PR,2767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,3184,0,0.0
2007,RJ,5707,0,5504,0,163,40,2007,0,0,0,0,0,0,0,0,0,287,0,0,0,24,4472,31490,0,4633,0,0.0
2007,RN,817,0,697,0,39,81,197,0,0,0,0,0,0,0,0,0,83,0,0,0,,,,0,48,0,0.0
2007,RO,468,0,364,0,22,12,314,0,0,0,0,0,0,0,0,0,47,0,0,0,,,,0,591,0,0.0
