cod_ibge,ano,homicidios,homicidios_masculino,homicidios_feminino
1700251,2003,1,1,0
1700251,2004,1,1,0
1700251,2007,1,1,0
1700251,2008,1,1,0
1700251,2009,1,1,0
1700251,2010,1,1,0
1700251,2016,2,2,0
1700251,2020,1,0,1
1700251,2021,3,3,0
1700251,2022,1,1,0
1700301,2000,1,1,0
1700301,2001,1,1,0
1700301,2009,1,1,0
1700301,2010,1,0,1
1700301,2014,1,1,0
1700301,2015,1,1,0
1700301,2017,1,1,0
1700301,2018,3,3,0
1700301,2019,1,1,0
1700301,2021,4,4,0
1700350,2003,1,1,0
1700350,2007,1,1,0
1700350,2008,1,1,0
1700350,2010,1,0,1
1700350,2012,1,1,0
1700350,2013,1,1,0
1700350,2014,2,2,0
1700350,2016,4,3,1
1700350,2020,3,3,0
1700350,2022,1,1,0
1700400,2002,2,2,0
1700400,2003,5,4,1
1700400,2004,2,2,0
1700400,2006,4,3,1
1700400,2007,1,1,0
1700400,2009,1,1,0
1700400,2011,2,2,0
1700400,2012,3,3,0
1700400,2013,3,3,0
1700400,2014,5,5,0
1700400,2015,2,2,0
1700400,2016,3,3,0
1700400,2017,2,2,0
1700400,2018,3,3,0
1700400,2019,3,3,0
1700400,2020,5,4,1
1700400,2021,2,2,0
1700400,2022,4,4,0
1700707,2000,2,1,1
1700707,2001,3,2,1
1700707,2003,1,0,1
1700707,2008,3,1,2
1700707,2009,3,3,0
1700707,2010,3,3,0
1700707,2011,1,0,1
1700707,2012,2,2,0
1700707,2013,2,1,1
1700707,2014,2,2,0
1700707,2015,4,4,0
1700707,2016,4,4,0
1700707,2017,2,2,0
1700707,2018,1,1,0
1700707,2020,3,3,0
1701002,2001,2,2,0
1701002,2002,3,3,0
1701002,2003,1,1,0
1701002,2004,1,1,0
1701002,2005,3,1,2
1701002,2006,1,1,0
1701002,2008,1,1,0
1701002,2010,5,5,0
1701002,2012,3,3,0
1701002,2013,1,1,0
1701002,2014,2,2,0
1701002,2015,1,0,0
1701002,2016,2,2,0
1701002,2018,2,2,0
1701002,2019,3,2,1
1701002,2021,3,3,0
1701002,2022,1,1,0
1701051,2001,1,1,0
1701051,2008,1,1,0
1701051,2010,1,1,0
1701051,2011,2,2,0
1701051,2012,3,3,0
1701051,2017,1,1,0
1701051,2019,1,1,0
1701101,2007,1,1,0
1701101,2008,2,2,0
1701101,2009,2,2,0
1701101,2011,1,1,0
1701101,2016,1,1,0
1701101,2017,2,2,0
1701101,2018,2,1,1
1701101,2019,1,1,0
1701101,2021,2,2,0
1701101,2022,1,1,0
1701309,2000,2,2,0
1701309,2001,1,1,0
1701309,2002,2,2,0
1701309,2004,1,1,0
1701309,2005,2,1,1
1701309,2006,2,2,0
1701309,2007,2,2,0
1701309,2008,2,2,0
1701309,2009,1,1,0
1701309,2011,1,1,0
1701309,2013,3,3,0
1701309,2015,2,2,0
1701309,2016,1,1,0
1701309,2017,1,1,0
1701309,2018,3,3,0
1701309,2019,2,2,0
1701309,2020,2,2,0
1701309,2021,2,2,0
1701309,2022,3,3,0
1701903,2003,2,2,0
1701903,2004,1,1,0
1701903,2005,2,2,0
1701903,2009,2,2,0
1701903,2012,1,1,0
1701903,2013,1,1,0
1701903,2014,1,1,0
1701903,2016,3,2,1
1701903,2017,3,3,0
1701903,2019,3,3,0
1701903,2020,1,1,0
1701903,2021,2,1,1
1702000,2000,2,2,0
1702000,2005,1,1,0
1702000,2007,1,1,0
1702000,2008,1,1,0
1702000,2010,4,4,0
1702000,2011,1,1,0
1702000,2012,1,0,1
1702000,2013,2,2,0
1702000,2014,1,1,0
1702000,2015,2,2,0
1702000,2016,4,2,2
1702000,2017,4,4,0
1702000,2018,6,5,1
1702000,2019,2,2,0
1702000,2020,3,3,0
1702000,2021,5,4,1
1702000,2022,1,1,0
1702109,2000,49,44,5
1702109,2001,54,50,4
1702109,2002,39,38,1
1702109,2003,32,32,0
1702109,2004,36,34,2
1702109,2005,42,37,5
1702109,2006,41,36,5
1702109,2007,31,25,6
1702109,2008,52,48,4
1702109,2009,61,55,6
1702109,2010,54,47,7
1702109,2011,58,51,7
1702109,2012,66,59,7
1702109,2013,75,67,8
1702109,2014,53,49,4
1702109,2015,105,96,9
1702109,2016,120,112,8
1702109,2017,106,100,6
1702109,2018,91,86,5
1702109,2019,68,66,2
1702109,2020,55,52,3
1702109,2021,55,50,5
