ano,total_vitimas_homicidio_doloso,total_mvi,total_feminicidios,total_latrocinios,total_lesao_morte,total_estupros,total_suicidios,total_roubo_veiculos,total_furto_veiculos,total_armas_apreendidas,total_pop_penitenciaria,total_pessoas_desaparecidas,ufs_reportando
2007,0,0,0,1530,682,0,4397,110624,0,0,0,43021,27
2008,0,0,0,1704,751,0,5075,146113,0,0,0,43946,27
2009,0,0,0,1586,909,33912,4706,156566,0,0,0,49983,27
2010,0,0,0,1593,1086,41180,4973,151682,0,0,0,58764,27
2011,0,47215,0,1636,1299,43869,5882,171670,0,0,0,67308,27
2012,50241,54694,0,1829,984,50224,6905,202498,0,0,0,88618,27
2013,51063,55847,0,1928,1172,51090,7671,216651,240168,111610,0,90301,27
2014,54023,59730,0,2182,886,50438,8172,242726,270297,108888,584296,94101,27
2015,52307,58459,449,2366,819,47461,6875,243560,267821,117262,662724,86169,27
2016,54338,61597,929,2660,844,55070,9623,273339,279221,120480,689510,81176,27
2017,56077,64078,1075,2496,950,63157,10816,280392,265504,118015,706619,83701,27
2018,49171,57592,1229,1961,882,67211,11327,246992,245251,108949,724844,78290,27
2019,39700,47742,1330,1586,758,69886,12745,189122,228722,111807,747336,79608,27
2020,42472,50448,1354,1447,673,62917,13264,142958,177083,112832,753298,62913,27
2021,39961,47503,1341,1445,512,66020,14353,141725,188946,110019,814616,65225,27
