cod_ibge,nome,pr_2013_1,pr_2013_2,pr_2013_3,pr_2013_4,pr_2013_5,pr_2013_6,pr_2013_7,pr_2013_8,pr_2013_9,pr_2013_10,pr_2013_11,pr_2013_12,pr_2013_13,pr_2013_14,pr_2013_15,pr_2013_16,pr_2013_17,pr_2013_18,pr_2013_19,pr_2013_20,pr_2013_21,pr_2013_22,pr_2013_23,pr_2014_1,pr_2014_2,pr_2014_3,pr_2014_4,pr_2014_5,pr_2014_6,pr_2014_7,pr_2014_8,pr_2014_9,pr_2014_10,pr_2014_11,pr_2014_12,pr_2014_13,pr_2014_14,pr_2014_15,pr_2014_16,pr_2014_17,pr_2014_18,pr_2014_19,pr_2014_20,pr_2014_21,pr_2014_22,pr_2014_23,pr_2015_1,pr_2015_2,pr_2015_3,pr_2015_4,pr_2015_5,pr_2015_6,pr_2015_7,pr_2015_8,pr_2015_9,pr_2015_10,pr_2015_11,pr_2015_12,pr_2015_13,pr_2015_14,pr_2015_15,pr_2015_16,pr_2015_17,pr_2015_18,pr_2015_19,pr_2015_20,pr_2015_21,pr_2015_22,pr_2015_23,pr_2016_1,pr_2016_2,pr_2016_3,pr_2016_4,pr_2016_5,pr_2016_6,pr_2016_7,pr_2016_8,pr_2016_9,pr_2016_10,pr_2016_11,pr_2016_12,pr_2016_13,pr_2016_14,pr_2016_15,pr_2016_16,pr_2016_17,pr_2016_18,pr_2016_19,pr_2016_20,pr_2016_21,pr_2016_22,pr_2016_23,pr_2017_1,pr_2017_2,pr_2017_3,pr_2017_4,pr_2017_5,pr_2017_6,pr_2017_7,pr_2017_8,pr_2017_9,pr_2017_10,pr_2017_11,pr_2017_12,pr_2017_13,pr_2017_14,pr_2017_15,pr_2017_16,pr_2017_17,pr_2017_18,pr_2017_19,pr_2017_20,pr_2017_21,pr_2017_22,pr_2017_23,pr_2018_1,pr_2018_2,pr_2018_3,pr_2018_4,pr_2018_5,pr_2018_6,pr_2018_7,pr_2018_8,pr_2018_9,pr_2018_10,pr_2018_11,pr_2018_12,pr_2018_13,pr_2018_14,pr_2018_15,pr_2018_16,pr_2018_17,pr_2018_18,pr_2018_19,pr_2018_20,pr_2018_21,pr_2018_22,pr_2018_23,val_2013_1,val_2013_2,val_2013_3,val_2013_4,val_2013_5,val_2013_6,val_2013_7,val_2013_8,val_2013_9,val_2013_,val_201_1,val_201_2,val_201_3,val_201_4,val_201_5,val_201_6,val_201_7,val_201_8,val_201_9,val_20110,val_20111,val_20112,val_20113,val_2014_1,val_2014_2,val_2014_3,val_2014_4,val_2014_5,val_2014_6,val_2014_7,val_2014_8,val_2014_9,val_2014_,val_20114,val_20115,val_20116,val_20117,val_20118,val_20119,val_20120,val_20121,val_20122,val_20123,val_20124,val_20125,val_20126,val_2015_1,val_2015_2,val_2015_3,val_2015_4,val_2015_5,val_2015_6,val_2015_7,val_2015_8,val_2015_9,val_2015_,val_20127,val_20128,val_20129,val_20130,val_20131,val_20132,val_20133,val_20134,val_20135,val_20136,val_20137,val_20138,val_20139,val_2016_1,val_2016_2,val_2016_3,val_2016_4,val_2016_5,val_2016_6,val_2016_7,val_2016_8,val_2016_9,val_2016_,val_20140,val_20141,val_20142,val_20143,val_20144,val_20145,val_20146,val_20147,val_20148,val_20149,val_20150,val_20151,val_20152,val_2017_1,val_2017_2,val_2017_3,val_2017_4,val_2017_5,val_2017_6,val_2017_7,val_2017_8,val_2017_9,val_2017_,val_20153,val_20154,val_20155,val_20156,val_20157,val_20158,val_20159,val_20160,val_20161,val_20162,val_20163,val_20164,val_20165,val_2018_1,val_2018_2,val_2018_3,val_2018_4,val_2018_5,val_2018_6,val_2018_7,val_2018_8,val_2018_9,val_2018_,val_20166,val_20167,val_20168,val_20169,val_20170,val_20171,val_20172,val_20173,val_20174,val_20175,val_20176,val_20177,val_20178
1715150,Novo Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,0,0,0,0,0,0,0,0,0,0,0,0,8.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705557,Combinado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,Araguaçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711506,Jaú do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,3.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,4,0,0,0,4.8,1.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,2.794,0,0,0,5,10.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,32,0,0,0,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,22,0,0,0,45,90,0,0,0,0,0,0,0,0,0,0
1720978,Talismã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702406,Arraias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0
1720259,São Salvador do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1.200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,14,0,0,0,0,0,0,0,0,0,0
1700707,Alvorada,0,0,0,0,0,0,0,0,0,0,0,20,5.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,20,10.000,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1.000,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,60,150,75,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,180,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,45,400,0,0,0,0,0,0,0,0,0,0,0
1720903,Taguatinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.393,0,0,9.466,0,2.75,0,30.840,5.61,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,9.845,2,2.5,0,32.203,7.223,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,123,0,55,0,362,62,0,0,182,0,0,0,0,0,0,0,0,0,0,0,42,0,0,108,28,43,0,354,83,0,0,138,0,0,0,0,0,0
