cod_ibge,nome,bovin_1989,bovin_1990,bovin_1991,bovin_1992,bovin_1993,bovin_1994,bovin_1995,bovin_1996,bovin_1997,bovin_1998,bovin_1999,bovin_2000,bovin_2001,bovin_2002,bovin_2003,bovin_2004,bovin_2005,bovin_2006,bovin_2007,bovin_2008,bovin_2009,bovin_2010,bovin_2011,bovin_2012,bovin_2013,bovin_2014,bovin_2015,bovin_2016,bovin_2017,bovin_2018
1715150,Novo Alegre,0,0,0,0,10000,9500,8800,11750,11950,12400,13100,12000,13000,14550,15500,15100,13860,14422,16016,16100,18200,17500,19640,20488,17846,20162,23263,22251,23421,19692
1715754,Palmeirópolis,54300,55300,56400,57600,44600,45800,46700,57800,58500,59600,60000,60800,61700,63000,73930,73710,66150,66380,66530,66410,62300,68400,73990,67465,68428,66986,74518,72837,65183,59331
1705557,Combinado,40000,38500,37500,38500,37000,35000,31600,16970,17200,18000,18800,19750,15900,18300,19600,21700,21750,21718,19650,17000,19000,21500,23480,23176,18000,18700,20634,25375,23924,23516
1702000,Araguaçu,208000,212000,216000,220300,167000,171000,172500,195000,198000,202000,205500,208600,211700,233000,272800,267050,304700,282520,299860,284200,282600,296190,315400,280317,278168,294901,330660,364444,345827,362898
1711506,Jaú do Tocantins,0,0,0,0,29000,29700,30300,46700,47500,48450,49000,49600,50350,55000,69220,64250,67460,68550,64010,66310,60200,74800,82050,87259,88358,90538,94743,99196,94949,86419
1720978,Talismã,0,0,0,0,0,0,0,0,66800,68140,68600,69500,70500,78000,94990,94730,98900,93360,98420,90700,97000,101300,103640,106622,97505,90107,93746,101075,98836,95640
1702406,Arraias,72300,70000,68000,70000,68000,70000,72000,92000,93800,98000,105000,110200,130550,128900,135000,133500,139950,140600,121755,114600,125000,138120,156160,156585,160130,159406,159920,176540,185553,190701
1720259,São Salvador do Tocantins,0,0,0,0,18500,19000,19400,15250,15500,15800,16500,16800,17000,19000,21970,24260,22300,18550,19370,19660,14300,17800,20340,22452,21945,20844,25613,29887,26728,26064
1700707,Alvorada,69000,70300,71700,73000,80000,82000,83300,95300,54300,55300,56400,57360,58200,64000,83630,86410,88250,82420,73720,82500,71000,75260,84700,75867,64702,56282,57882,65715,61903,51420
1720903,Taguatinga,32680,32000,29500,30000,29000,31500,31000,59900,61000,62500,65600,68900,70000,73200,97500,102200,93000,97130,93691,82100,82000,93400,107760,114297,116472,111222,109191,104938,97661,99439
1718840,Sandolândia,0,0,0,0,73000,75000,76400,86000,87000,88700,90500,91850,93000,102000,148640,134310,142800,136550,134510,150210,137000,140200,142740,150401,162817,155187,155220,172408,205046,172216
1716208,Paranã,116000,114300,118000,120000,125000,130000,135000,99800,102000,104000,106000,107500,109000,101000,98100,106570,121260,114850,99770,97900,104000,95500,103510,105941,115064,122322,126487,132706,126660,128025
1707652,Figueirópolis,70000,71300,73000,74500,65000,66500,67800,76100,77300,78800,80300,81000,82300,91000,102540,97660,87800,88040,81990,90650,90000,96100,108260,108927,94820,86774,96174,100458,89625,91653
1720937,Taipas do Tocantins,0,0,0,0,23000,24000,24200,17200,17400,18000,18850,19600,13000,19000,20000,19000,21350,20097,17245,15500,15600,16500,16560,17097,20354,20558,16358,14976,15971,14660
1720853,Sucupira,0,0,0,0,27800,28500,29000,45600,46000,47000,47500,48100,48800,45000,56710,62300,51470,59250,54290,53560,57000,62600,63920,62038,49756,48051,51530,54760,54020,50873
1705607,Conceição do Tocantins,37500,38000,36500,37000,15000,16000,16500,30600,31100,32000,33200,34800,25500,26600,27000,28100,30350,31418,25802,23500,23300,24380,24940,26065,25538,25907,26273,30346,32545,30785
1703867,Cariri do Tocantins,0,0,0,0,41000,42000,42800,40300,41000,41800,43800,44460,45100,50000,74960,72610,64260,71880,99070,85430,83800,68320,74130,79509,65508,61566,62544,59939,60096,58640
1708205,Formoso do Araguaia,123000,125400,127900,130400,136000,140000,142800,176000,178700,182200,184000,186000,188800,174000,178040,198300,187500,191100,189630,202420,207500,210300,217690,219635,218744,213230,222707,232334,314374,244891
1716604,Peixe,124800,127000,129500,132000,105000,108000,110000,148000,127000,129500,133300,135300,137300,140000,186410,198570,197520,191620,174310,160270,168200,184000,205990,208593,189944,187059,202637,214426,200594,192781
1709500,Gurupi,82400,84500,86000,87700,71000,72500,74000,77450,79000,80500,81700,82900,84200,93000,104500,106200,95000,92220,113060,93240,97200,101100,111700,113926,106664,108269,109839,103118,95519,88517
1718006,Porto Alegre do Tocantins,8000,7300,7000,7200,7000,6500,6000,5970,6050,6350,6700,7050,5000,4950,6000,5800,6260,5894,5523,4300,6200,5430,6080,8519,7851,7780,10112,10748,9855,8134
1720499,São Valério da Natividade,32000,32600,33200,33900,37000,38000,38700,35300,36000,36700,37050,37600,38200,38000,42670,44380,48230,45400,39980,42410,49300,53200,52110,52857,44942,45152,41541,49578,49411,50130
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,22000,22500,23000,24000,24100,25500,29200,22000,32700,26115,30211,29000,28000,29480,29830,30861,32789,32180,31443,31771,31912,30937
1714203,Natividade,42000,43500,42000,43000,45000,48000,48400,58300,37500,38600,39700,41600,35000,38000,39000,42300,43200,43799,61591,56000,50000,49400,51800,55865,56491,56870,58597,63469,66379,69903
1718907,Santa Rosa do Tocantins,31000,34000,37000,40300,43930,46130,48430,24100,24800,25300,27524,25813,27133,26263,23500,28170,27600,25235,24920,22750,24430,26980,28110,28065,29657,26640,28252,32111,30742,29377
