cod_ibge,nome,bubal_1989,bubal_1990,bubal_1991,bubal_1992,bubal_1993,bubal_1994,bubal_1995,bubal_1996,bubal_1997,bubal_1998,bubal_1999,bubal_2000,bubal_2001,bubal_2002,bubal_2003,bubal_2004,bubal_2005,bubal_2006,bubal_2007,bubal_2008,bubal_2009,bubal_2010,bubal_2011,bubal_2012,bubal_2013,bubal_2014,bubal_2015,bubal_2016,bubal_2017,bubal_2018
1715150,Novo Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,19,19,20,23,8,25,10,9,8,7,7,7,0,0
1715754,Palmeirópolis,0,0,0,0,0,0,0,60,60,62,60,50,40,30,35,30,26,0,0,0,0,17,20,18,38,38,35,29,29,32
1705557,Combinado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,Araguaçu,200,220,230,240,180,200,210,197,200,204,206,200,190,170,440,300,270,229,190,340,410,352,291,260,261,270,511,294,263,187
1711506,Jaú do Tocantins,0,0,0,0,0,0,0,4,4,5,5,4,3,2,0,6,30,28,30,25,40,15,18,20,8,11,14,21,26,36
1720978,Talismã,0,0,0,0,0,0,0,0,10,10,7,5,3,2,4,10,50,99,50,40,36,34,28,23,20,24,19,10,10,0
1702406,Arraias,0,0,0,0,0,0,0,70,72,65,70,65,243,310,300,192,200,285,308,350,440,517,285,250,122,40,39,38,0,0
1720259,São Salvador do Tocantins,0,0,0,0,0,0,0,15,15,10,13,12,10,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700707,Alvorada,0,0,0,0,0,0,0,50,40,40,45,40,35,30,10,14,25,24,14,10,22,24,21,23,23,8,6,9,0,8
1720903,Taguatinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,21
1718840,Sandolândia,0,0,0,0,75,80,85,50,50,40,43,40,35,37,30,34,180,260,350,370,440,560,567,623,615,467,198,366,91,110
1716208,Paranã,0,0,0,0,0,0,0,100,100,102,105,90,70,60,65,60,30,16,20,80,83,80,65,67,39,44,17,13,13,10
1707652,Figueirópolis,0,0,0,0,0,0,0,7,10,12,10,15,10,12,11,13,50,41,30,90,110,57,41,40,42,14,16,22,22,20
1720937,Taipas do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,27,27,27,28,27
1720853,Sucupira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,26,28,26,22,22,30,28,25
1705607,Conceição do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,16,10,25,0,0,0,0,0,0,0,0,0,0,0,0
1703867,Cariri do Tocantins,0,0,0,0,62,70,70,0,0,0,0,0,0,0,0,0,0,0,0,20,10,60,61,67,76,35,5,3,3,0
1708205,Formoso do Araguaia,1700,1750,1800,1820,1900,1930,1950,70,70,80,90,100,110,90,80,100,60,80,180,90,40,48,40,45,43,129,78,135,122,159
1716604,Peixe,0,0,0,0,0,0,0,50,50,45,47,50,40,45,30,28,20,24,100,80,84,56,158,136,49,57,49,54,47,57
1709500,Gurupi,230,250,240,250,200,210,200,26,30,28,25,20,15,10,30,35,125,166,170,260,320,244,100,102,92,27,16,25,73,47
1718006,Porto Alegre do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720499,São Valério da Natividade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,10,100,60,40,40,41,0,14,0,0,0,0
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714203,Natividade,0,0,0,0,0,0,0,12,12,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718907,Santa Rosa do Tocantins,0,0,0,0,0,0,0,20,20,20,20,20,15,15,15,10,10,10,10,10,5,5,2,0,0,0,0,0,0,0
1700350,Aliança do Tocantins,0,0,0,0,0,0,0,45,35,30,35,30,20,25,22,20,0,0,0,0,3,25,25,21,18,12,24,32,39,52
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,10,10,10,8,10,7,6,8,0,0,0,0,0,0,0,0,0,2,4,1,10,16
1707306,Dueré,80,90,100,110,115,125,130,40,40,42,45,50,45,40,77,72,80,64,70,40,160,180,150,140,156,116,134,192,187,183
1700400,Almas,0,0,0,0,0,0,0,30,32,30,35,35,60,75,75,120,110,102,129,170,215,140,77,70,65,60,64,41,5,5
1717008,Pindorama do Tocantins,140,150,170,190,210,235,265,130,130,130,130,135,130,130,120,110,105,100,95,90,85,80,73,17,10,11,13,9,6,0
1709807,Ipueiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
1720655,Silvanópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,15,16,29,17,18,17
1703701,Brejinho de Nazaré,50,70,90,110,135,165,200,10,10,10,10,10,15,20,20,15,15,12,10,30,40,45,37,31,24,0,0,23,16,5
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,6,0,0,0,0,0,0
1707553,Fátima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,5,4
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1711902,Lagoa da Confusão,0,0,0,0,1590,1810,2060,10,10,10,10,20,25,40,55,60,65,65,60,70,80,70,75,80,88,58,75,72,92,124
