cod_ibge,nome,galin_1989,galin_1990,galin_1991,galin_1992,galin_1993,galin_1994,galin_1996,galin_1997,galin_1998,galin_1999,galin_2000,galin_2001,galin_2002,galin_2003,galin_2004,galin_2005,galin_2006,galin_2007,galin_2008,galin_2009,galin_2010,galin_2011,galin_2012,galin_2013,galin_2014,galin_2015,galin_2016,galin_2017,galin_2018,galin_1995
1715150,Novo Alegre,0,0,0,0,3350,3852,4150,4400,4700,5030,5390,5780,6000,6700,7800,8100,8289,8432,8250,8400,3200,3000,3506,4126,3930,4679,4533,5022,5100,4430
1715754,Palmeirópolis,56200,57300,57000,59100,48500,50000,28500,29000,30000,33000,33600,34000,32000,30000,30200,29800,29600,28600,28000,28200,25640,26049,22700,23236,24223,26203,22931,22826,25072,51000
1705557,Combinado,26400,27100,27650,28150,29000,32400,17350,18100,19500,21000,22500,24000,24300,24700,24900,25100,25095,25138,25000,24800,10000,10410,10554,11700,12219,13811,12040,14102,15781,35600
1702000,Araguaçu,75100,76600,77000,79000,67000,69400,44000,46000,47300,50500,51640,51000,40000,36000,35000,35600,35000,33000,29000,28800,30000,30250,29644,28112,30669,33627,31043,33167,32116,70400
1711506,Jaú do Tocantins,0,0,0,0,34000,35000,23900,24000,24600,26500,27000,27500,25000,24000,24200,23000,23200,22500,23000,23200,20490,20800,18721,14980,18903,18733,17617,17516,19884,36000
1720978,Talismã,0,0,0,0,0,0,0,12800,13200,13800,14000,14200,14000,14400,14000,14600,14700,14400,14200,14400,14700,14260,14100,14931,13042,14287,12536,12683,12992,0
1702406,Arraias,27600,28000,29000,30500,30000,34500,23500,24300,26000,27820,29800,31200,31400,31700,32500,32900,32900,33035,32500,32800,22045,24150,25139,27610,29140,31228,30179,30131,32422,39000
1720259,São Salvador do Tocantins,0,0,0,0,17800,19000,6600,8600,8860,9500,9700,9600,9400,9700,9800,9400,9500,9800,10000,10200,11200,11417,10104,8285,9507,8936,9071,9018,10305,19500
1700707,Alvorada,29000,29500,30500,31700,41000,42600,22400,14500,15000,16500,17000,17500,18000,16000,15600,15800,15500,15000,13000,13200,14520,14665,13198,7660,7797,8100,7711,8330,7585,43800
1720903,Taguatinga,31000,31400,32500,35000,37000,40000,27750,28700,30500,33500,35850,37200,37700,38000,38800,39300,39580,39821,39500,39900,31700,33080,34263,38024,39115,39059,35635,34336,37440,43000
1718840,Sandolândia,0,0,0,0,23000,25000,24000,25000,26000,27800,28300,28400,28000,29000,29100,29600,29500,28600,27000,26900,28460,23700,21278,17150,14074,14643,14262,16315,15173,26200
1716208,Paranã,34000,35000,36000,33000,36000,40000,28000,29000,30000,32700,33300,33000,32000,31600,31800,31000,31600,31200,31300,32000,32540,31200,28063,32860,35958,41476,38442,39574,42206,43000
1707652,Figueirópolis,34000,34500,36000,37800,29800,31000,21000,22000,22660,23000,23400,23800,22000,21000,21600,21200,20800,20000,19000,18800,19550,19939,19539,18487,19281,20136,17146,15125,14576,32000
1720937,Taipas do Tocantins,0,0,0,0,6500,7275,2650,2795,3100,3500,3750,4000,4190,4500,5000,5300,5666,5865,5500,5650,1890,2040,2389,3500,3974,4347,3747,3412,3827,8000
1720853,Sucupira,0,0,0,0,20600,21600,8000,8200,8500,9000,9200,9400,9200,9000,9160,9400,9500,9200,10000,10200,10200,9200,8233,7241,7452,6991,6332,7254,6445,22600
1705607,Conceição do Tocantins,14000,14300,14500,15000,9900,11050,10400,11000,11800,12700,13600,14560,15100,15500,16000,16300,16400,16590,16400,16600,9000,8000,8541,8816,9477,10985,10423,10473,11620,12155
1703867,Cariri do Tocantins,0,0,0,0,50000,41000,19800,21000,21600,34430,22800,23500,22000,22500,22400,22500,23000,18500,17000,17300,17500,17870,18495,19633,21795,20705,17832,17108,18065,42400
1708205,Formoso do Araguaia,54000,55000,57000,59700,57000,60000,109000,110000,113000,116300,117430,116000,111000,107000,109000,103600,106000,102000,100000,99000,108800,108780,99264,56358,56309,58792,50396,54207,52651,62000
1716604,Peixe,72100,73500,75000,77800,46000,48400,35400,31500,32300,35500,36000,37000,36000,34000,34600,33400,33600,33200,33000,33600,39000,40700,43283,43812,45905,55795,64635,70609,70240,50000
1709500,Gurupi,40000,40300,42000,44000,37400,48000,52000,53000,54000,43400,44400,45000,42000,43000,41800,40000,41000,39800,40000,39500,35000,35350,34643,32910,34209,33878,30954,34577,32355,50000
1718006,Porto Alegre do Tocantins,9500,9700,10000,10400,11300,12700,5950,6150,6650,7200,7750,8300,8450,8750,9000,9500,9712,9820,9700,9900,6500,5555,3010,3232,3180,7393,6215,7325,6836,14000
1720499,São Valério da Natividade,15600,16000,16600,17200,19200,20000,18200,18500,19200,20600,20900,21200,20000,20200,20400,20000,20200,19600,18000,18400,20300,20705,17800,18328,20399,19506,15668,16428,18231,21000
1705102,Chapada da Natividade,0,0,0,0,0,0,0,13400,14350,15350,16450,17300,17650,17800,18500,19000,19031,19076,18800,19000,11310,13550,15067,17445,16511,20530,17215,16834,18105,0
1714203,Natividade,20500,21000,21500,22000,23500,26300,32000,20100,21500,23000,24600,26300,26700,27200,27500,27900,28128,28242,27900,28100,14200,14600,18724,18995,19835,18962,16819,16146,18256,28930
1718907,Santa Rosa do Tocantins,13900,15000,16100,17700,20355,23400,11520,11800,12400,13020,14970,16760,18610,19540,19150,19530,19725,16770,17105,15740,15900,13611,11158,12328,13381,13716,13057,13284,14286,26910
1700350,Aliança do Tocantins,20000,20200,21000,22000,25300,26800,19000,13200,13600,14000,14300,14700,14600,13000,13200,12800,12600,13000,13200,13400,13800,16600,16884,17379,17426,18321,17042,19105,18311,27400
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,6600,6800,7500,7600,7800,7000,6700,6800,6400,6600,6300,6000,6200,6800,7200,8209,9030,10131,10545,10338,11556,12028,0
1707306,Dueré,27000,27400,29000,30400,29100,30500,29000,30000,30800,32500,33300,34000,32000,31600,31800,31000,31200,30000,28000,27800,29090,29090,27500,24750,26111,29630,30057,32028,30317,32000
1700400,Almas,16500,17000,17800,18300,20000,23000,14000,14600,15600,16700,18000,19300,19400,19600,20100,20400,20385,20750,21100,21300,14110,12380,12232,14554,14950,17176,13054,14414,15380,25300
1717008,Pindorama do Tocantins,20000,22000,23900,26300,30245,34170,19270,19450,20420,21440,24660,27600,30360,32800,31160,31780,32415,27550,28920,28050,28330,23203,18497,16301,19390,16609,14593,17034,20542,38615
1709807,Ipueiras,0,0,0,0,0,0,0,3000,3200,3520,4050,4650,5210,5470,4920,4680,4820,4340,4130,4200,4320,4650,5285,5014,4797,6160,6055,7262,7187,0
