cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,cultura,area_1989,area_1990,area_1991,area_1992,area_1993,area_1994,area_1995,area_1996,area_1997,area_1998,area_1999,area_2000,area_2001,area_2002,area_2003,area_2004,area_2005,area_2006,area_2007,area_2008,area_2009,area_2010,area_2011,area_2012,area_2013,area_2014,area_2015,area_2016,area_2017,area_2018,colh_1989,colh_1990,colh_1991,colh_1992,colh_1993,colh_1994,colh_1995,colh_1996,colh_1997,colh_1998,colh_1999,colh_2000,colh_2001,colh_2002,colh_2003,colh_2004,colh_2005,colh_2006,colh_2007,colh_2008,colh_2009,colh_2010,colh_2011,colh_2012,colh_2013,colh_2014,colh_2015,colh_2016,colh_2017,colh_2018,prod_1989,prod_1990,prod_1991,prod_1992,prod_1993,prod_1994,prod_1995,prod_1996,prod_1997,prod_1998,prod_1999,prod_2000,prod_2001,prod_2002,prod_2003,prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,prod_2014,prod_2015,prod_2016,prod_2017,prod_2018,rend_1989,rend_1990,rend_1991,rend_1992,rend_1993,rend_1994,rend_1995,rend_1996,rend_1997,rend_1998,rend_1999,rend_2000,rend_2001,rend_2002,rend_2003,rend_2004,rend_2005,rend_2006,rend_2007,rend_2008,rend_2009,rend_2010,rend_2011,rend_2012,rend_2013,rend_2014,rend_2015,rend_2016,rend_2017,rend_2018
1715150,Novo Alegre,135-Novo Alegre,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1993,200,1981,2274,1801,1848,1802,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,2286,Dianópolis,139,Região Sudeste,200.105,Sem Região,Área-Programa Sudeste,X,cana de açuca,0,0,0,0,100,100,100,19,19,19,24,24,20,20,20,25,20,25,20,20,25,25,25,20,30,30,20,20,40,0,0,0,0,0,100,70,100,19,19,19,24,24,20,20,20,20,20,20,20,20,25,25,25,20,30,20,20,20,40,0,0,0,0,0,4000,2800,3800,560,560,560,720,720,600,600,600,900,900,900,900,900,1125,1125,1000,800,1200,800,800,800,1600,0,0,0,0,0,40000,40000,38000,29473,29473,29473,30000,30000,30000,30000,30000,45000,45000,45000,45000,45000,45000,45000,40000,40000,40000,40000,40000,40000,40000,0
1715754,Palmeirópolis,129-Palmerópolis,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1980,1704,7395,7068,8120,8366,8492,,4º BPM - Gurupi,4º BPM,Gurupi,17005,7342,Dianópolis,119,Região Sudeste,1703.936,Sem Região,Área-Programa Sul,IX,cana de açuca,50,60,50,30,25,20,20,2,30,25,20,25,20,25,26,25,20,18,20,25,28,24,25,20,0,0,0,0,0,0,50,50,40,30,25,20,20,2,30,25,20,25,20,25,26,25,20,18,20,25,28,24,25,20,0,0,0,0,0,0,1750,1800,1400,960,775,600,580,35,870,725,620,788,640,788,806,800,620,540,620,788,882,768,825,800,0,0,0,0,0,0,35000,36000,35000,32000,31000,30000,29000,17500,29000,29000,31000,31520,32000,31520,31000,32000,31000,30000,31000,31520,31500,32000,33000,40000,0,0,0,0,0,0
1705557,Combinado,133-Combinado,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1987,210,4915,4524,4878,5023,5070,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,4669,Dianópolis,138,Região Sudeste,209.613,Sem Região,Área-Programa Sudeste,X,cana de açuca,70,90,60,60,70,85,80,22,22,22,22,22,20,20,20,26,20,30,30,30,30,30,30,20,30,30,25,25,45,15,70,70,60,60,70,70,70,22,22,22,22,22,20,20,20,20,20,30,30,30,30,30,30,20,30,30,25,25,45,15,2800,2800,2400,2400,2450,2450,2450,530,530,530,530,530,480,480,600,900,900,1350,1350,1350,1350,1350,1350,1350,2025,2040,1500,1500,2250,930,40000,40000,40000,40000,35000,35000,35000,24090,24090,24090,24090,24090,24000,24000,30000,45000,45000,45000,45000,45000,45000,45000,45000,67500,67500,68000,60000,60000,50000,62000
1702000,Araguaçu,111-Araguaçu,Outros,Menor impacto re,XIV,,<Null>,1958,5168,9801,9346,8989,9244,9225,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,8789,Gurupi,107,Região Metropolitana de Gurupi,5167.886,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,cana de açuca,0,0,0,0,0,0,0,6,0,140,140,160,90,20,25,15,13,10,10,18,16,14,10,12,10,11,13,13,15,15,0,0,0,0,0,0,0,6,0,140,140,160,90,20,25,15,13,10,10,18,16,14,10,12,10,11,13,13,15,15,0,0,0,0,0,0,0,97,0,4200,4270,4800,2790,624,800,465,416,330,335,612,528,469,340,479,410,452,534,534,605,605,0,0,0,0,0,0,0,16166,0,30000,30500,30000,31000,31200,32000,31000,32000,33000,33500,34000,33000,33500,34000,39917,41000,41091,41077,41077,40333,40333
1711506,Jaú do Tocantins,118-Jaú do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,2173,3437,3121,3789,3906,3983,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3503,Gurupi,117,Região Metropolitana de Gurupi,2173.038,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,2,0,15,30,40,45,40,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,30,40,45,40,45,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,440,900,1220,1395,1260,1440,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,0,29333,30000,30500,31000,31500,32000,31000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720978,Talismã,122-Talismã,Outros,Menor impacto re,XIV,,<Null>,1997,2157,0,2306,2555,2632,2663,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,2562,Gurupi,116,Região Metropolitana de Gurupi,2156.892,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,0,0,0,0,30,20,25,20,25,30,32,20,15,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,25,20,25,30,32,20,15,10,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,570,800,630,750,930,1024,620,480,325,480,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,28500,32000,31500,30000,31000,32000,31000,32000,32500,32000,31533,0,0,0,0,0,0,0,0,0,0
1702406,Arraias,132-Arraias,Outros,Capital,XVII,Sudeste,Regiao Sudeste,1914,5787,11551,10984,10626,10928,10913,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10643,Dianópolis,135,Região Sudeste,5786.844,Serras Gerais,Área-Programa Sudeste,X,cana de açuca,2700,2980,2200,2700,3100,3600,3995,1605,1605,1605,1705,2005,2255,1500,1500,1800,1500,2000,2000,2500,4500,4500,3000,2800,3300,500,300,200,30,40,2700,2200,2200,2200,3050,3300,3000,1605,1605,1605,1705,2005,2255,1500,1500,1500,1500,1800,2000,2500,4500,4500,3000,2800,3000,500,200,200,30,40,108000,88000,88000,88000,122000,181500,165000,81500,81500,80250,82250,100250,169125,112500,112500,112500,112500,135000,140000,175000,405000,405000,270000,196000,210000,25000,10000,7000,1350,1945,40000,40000,40000,40000,40000,55000,55000,50778,50778,50000,48240,50000,75000,75000,75000,75000,75000,75000,70000,70000,90000,90000,90000,70000,70000,50000,50000,35000,45000,48625
1720259,São Salvador do Tocantins,131-São Salvador do Tocantins,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1993,1422,2229,2740,3012,3102,3136,,4º BPM - Gurupi,4º BPM,Gurupi,17005,2910,Dianópolis,118,Região Sudeste,1422.025,Sem Região,Área-Programa Sul,IX,cana de açuca,0,0,0,0,10,10,9,4,8,30,25,30,30,30,30,25,24,20,15,20,18,22,20,25,0,0,0,0,0,0,0,0,0,0,10,10,9,4,8,30,25,30,30,30,30,25,24,20,15,20,18,22,20,25,0,0,0,0,0,0,0,0,0,0,300,290,252,57,232,885,800,963,960,930,960,810,792,650,480,620,576,715,640,1000,0,0,0,0,0,0,0,0,0,0,30000,29000,28000,14250,29000,29500,32000,32100,32000,31000,32000,32400,33000,32500,32000,31000,32000,32500,32000,40000,0,0,0,0,0,0
1700707,Alvorada,110-Alvorada,Outros,Menor impacto re,XIV,,<Null>,1963,1212,10219,8508,7976,8200,8161,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,8379,Gurupi,115,Região Metropolitana de Gurupi,1212.161,Sem Região,Área-Programa Sul,IX,cana de açuca,40,40,30,0,20,30,25,10,50,55,50,60,80,30,30,25,20,15,15,20,26,22,15,0,0,0,0,0,0,0,40,30,30,0,20,30,25,10,50,55,50,60,80,30,30,25,20,15,15,20,26,22,15,0,0,0,0,0,0,0,1200,900,870,0,548,840,680,211,1450,1595,1625,1920,2480,900,930,875,720,525,532,704,910,792,540,0,0,0,0,0,0,0,30000,30000,29000,0,27400,28000,27200,21100,29000,29000,32500,32000,31000,30000,31000,35000,36000,35000,35466,35200,35000,36000,36000,0,0,0,0,0,0,0
1720903,Taguatinga,139-Taguatinga,Outros,Capital,XVIII,Sudeste,Regiao Sudeste,1868,2437,13711,13169,14110,14528,14655,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,15048,Dianópolis,134,Região Sudeste,2437.386,Serras Gerais,Área-Programa Sudeste,X,cana de açuca,50,50,70,70,90,80,100,59,59,60,65,65,60,60,60,60,60,65,65,65,180,180,150,140,170,170,140,140,150,0,50,50,70,70,80,80,80,59,59,60,65,65,60,60,60,60,60,65,65,65,180,180,150,140,170,140,140,140,150,0,1500,1500,2800,2800,3200,3200,3200,1390,1390,1420,1625,1625,1500,1500,1800,2700,2700,2925,2925,2925,5400,5400,4500,5600,6800,5600,5600,5600,6000,0,30000,30000,40000,40000,40000,40000,40000,23559,23559,23666,25000,25000,25000,25000,30000,45000,45000,45000,45000,45000,30000,30000,30000,40000,40000,40000,40000,40000,40000,0
