cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,cultura,area_1989,area_1990,area_1991,area_1992,area_1993,area_1994,area_1995,area_1996,area_1997,area_1998,area_1999,area_2000,area_2001,area_2002,area_2003,area_2004,area_2005,area_2006,area_2007,area_2008,area_2009,area_2010,area_2011,area_2012,area_2013,area_2014,area_2015,area_2016,area_2017,area_2018,colh_1989,colh_1990,colh_1991,colh_1992,colh_1993,colh_1994,colh_1995,colh_1996,colh_1997,colh_1998,colh_1999,colh_2000,colh_2001,colh_2002,colh_2003,colh_2004,colh_2005,colh_2006,colh_2007,colh_2008,colh_2009,colh_2010,colh_2011,colh_2012,colh_2013,colh_2014,colh_2015,colh_2016,colh_2017,colh_2018,prod_1989,prod_1990,prod_1991,prod_1992,prod_1993,prod_1994,prod_1995,prod_1996,prod_1997,prod_1998,prod_1999,prod_2000,prod_2001,prod_2002,prod_2003,prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,prod_2014,prod_2015,prod_2016,prod_2017,prod_2018,rend_1989,rend_1990,rend_1991,rend_1992,rend_1993,rend_1994,rend_1995,rend_1996,rend_1997,rend_1998,rend_1999,rend_2000,rend_2001,rend_2002,rend_2003,rend_2004,rend_2005,rend_2006,rend_2007,rend_2008,rend_2009,rend_2010,rend_2011,rend_2012,rend_2013,rend_2014,rend_2015,rend_2016,rend_2017,rend_2018
1715150,Novo Alegre,135-Novo Alegre,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1993,200,1981,2274,1801,1848,1802,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,2286,Dianópolis,139,Região Sudeste,200.105,Sem Região,Área-Programa Sudeste,X,mandioca,0,0,0,0,50,50,50,3,3,3,5,5,10,10,20,25,30,35,35,35,35,65,60,60,70,70,70,60,10,35,0,0,0,0,50,50,50,3,3,3,5,5,10,10,20,20,30,35,35,35,35,35,60,60,70,70,70,60,10,35,0,0,0,0,600,600,600,23,23,25,40,40,80,80,380,380,570,665,665,665,665,665,1080,1080,1260,1260,1260,1080,186,545,0,0,0,0,12000,12000,12000,7666,7666,8333,8000,8000,8000,8000,19000,19000,19000,19000,19000,19000,19000,19000,18000,18000,18000,18000,18000,18000,18600,15571
1715754,Palmeirópolis,129-Palmerópolis,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1980,1704,7395,7068,8120,8366,8492,,4º BPM - Gurupi,4º BPM,Gurupi,17005,7342,Dianópolis,119,Região Sudeste,1703.936,Sem Região,Área-Programa Sul,IX,mandioca,90,40,60,40,15,30,45,5,60,55,70,60,70,60,60,65,60,50,40,50,60,80,70,60,55,55,60,70,65,70,90,40,50,40,15,30,45,5,60,55,70,60,70,60,60,65,60,50,40,50,60,80,70,60,55,55,60,70,65,70,1440,600,800,640,225,480,765,46,1110,990,1141,972,1141,990,960,1105,1050,850,700,890,996,1320,1169,1050,1017,995,1044,1234,1015,1055,16000,15000,16000,16000,15000,16000,17000,9200,18500,18000,16300,16200,16300,16500,16000,17000,17500,17000,17500,17800,16600,16500,16700,17500,18491,18091,17400,17629,15615,15071
1705557,Combinado,133-Combinado,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1987,210,4915,4524,4878,5023,5070,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,4669,Dianópolis,138,Região Sudeste,209.613,Sem Região,Área-Programa Sudeste,X,mandioca,50,40,40,50,50,50,50,45,45,45,50,50,50,50,100,100,100,120,120,120,120,200,200,200,210,210,210,160,19,20,50,40,40,40,50,50,50,45,45,45,50,50,50,50,100,80,100,120,120,120,120,120,200,200,210,210,210,160,19,20,600,600,600,600,600,600,600,290,290,290,325,325,325,325,2000,1440,1800,2400,2400,2400,2400,2400,3600,3600,3780,3780,3780,2880,395,296,12000,15000,15000,15000,12000,12000,12000,6444,6444,6444,6500,6500,6500,6500,20000,18000,18000,20000,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,20789,14800
1702000,Araguaçu,111-Araguaçu,Outros,Menor impacto re,XIV,,<Null>,1958,5168,9801,9346,8989,9244,9225,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,8789,Gurupi,107,Região Metropolitana de Gurupi,5167.886,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,mandioca,200,120,250,150,90,80,100,38,90,80,100,90,95,85,100,100,110,90,100,110,120,100,110,100,105,123,130,130,145,150,200,120,240,150,90,80,100,38,90,80,100,90,95,85,100,100,110,90,100,110,120,100,110,100,105,123,130,130,145,150,3200,1920,4080,2400,1512,1320,1700,195,1620,1450,1630,1440,1568,1403,1700,1800,1925,1602,1750,1892,2160,1850,2035,1800,1942,2275,2335,2335,2359,2250,16000,16000,17000,16000,16800,16500,17000,5131,18000,18125,16300,16000,16505,16505,17000,18000,17500,17800,17500,17200,18000,18500,18500,18000,18495,18496,17962,17962,16269,15000
1711506,Jaú do Tocantins,118-Jaú do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,2173,3437,3121,3789,3906,3983,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3503,Gurupi,117,Região Metropolitana de Gurupi,2173.038,Sem Região,Área-Programa Sul,IX,mandioca,0,0,0,0,30,35,40,2,40,50,70,60,50,45,60,65,50,60,50,120,130,120,110,100,95,96,103,103,105,400,0,0,0,0,30,35,40,2,40,50,70,60,50,45,60,65,50,60,50,120,130,120,110,100,95,96,103,103,105,400,0,0,0,0,540,638,720,11,720,905,1146,972,825,747,1020,1130,900,1068,875,1800,2080,2040,1881,1750,1710,1718,1751,1751,1300,6400,0,0,0,0,18000,18228,18000,5500,18000,18100,16371,16200,16500,16600,17000,17384,18000,17800,17500,15000,16000,17000,17100,17500,18000,17896,17000,17000,12381,16000
1720978,Talismã,122-Talismã,Outros,Menor impacto re,XIV,,<Null>,1997,2157,0,2306,2555,2632,2663,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,2562,Gurupi,116,Região Metropolitana de Gurupi,2156.892,Sem Região,Área-Programa Sul,IX,mandioca,0,0,0,0,0,0,0,0,20,30,40,50,60,55,55,60,50,55,50,60,70,100,90,80,70,70,74,74,77,71,0,0,0,0,0,0,0,0,20,30,40,50,60,55,55,60,50,55,50,60,70,100,90,80,70,70,74,74,77,71,0,0,0,0,0,0,0,0,350,540,660,800,990,913,935,1050,900,979,875,1038,1225,1800,1620,1440,1260,1267,1295,1295,1041,1200,0,0,0,0,0,0,0,0,17500,18000,16500,16000,16500,16600,17000,17500,18000,17800,17500,17300,17500,18000,18000,18000,18000,18100,17500,17500,13519,16901
1702406,Arraias,132-Arraias,Outros,Capital,XVII,Sudeste,Regiao Sudeste,1914,5787,11551,10984,10626,10928,10913,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10643,Dianópolis,135,Região Sudeste,5786.844,Serras Gerais,Área-Programa Sudeste,X,mandioca,100,70,70,70,40,40,40,235,235,235,240,250,250,250,500,400,400,0,400,400,400,700,600,600,600,600,600,350,10,250,100,70,70,70,40,40,40,235,235,235,240,250,250,250,500,400,400,0,400,400,400,400,600,600,600,600,600,350,10,250,1200,840,1050,1050,480,480,480,535,535,540,720,825,825,825,9000,6400,6400,0,6400,6400,6400,6400,9000,9000,9000,8000,8000,4750,125,3456,12000,12000,15000,15000,12000,12000,12000,2276,2276,2297,3000,3300,3300,3300,18000,16000,16000,0,16000,16000,16000,16000,15000,15000,15000,13333,13333,13571,12500,13824
1720259,São Salvador do Tocantins,131-São Salvador do Tocantins,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1993,1422,2229,2740,3012,3102,3136,,4º BPM - Gurupi,4º BPM,Gurupi,17005,2910,Dianópolis,118,Região Sudeste,1422.025,Sem Região,Área-Programa Sul,IX,mandioca,0,0,0,0,25,55,50,23,50,60,60,70,80,70,60,65,70,73,55,60,40,50,65,70,68,70,74,74,80,74,0,0,0,0,25,55,50,23,50,60,60,70,80,70,60,65,70,73,55,60,40,50,65,70,68,70,74,74,80,74,0,0,0,0,412,946,875,200,925,1092,990,1137,1296,1155,1020,1170,1225,1300,962,1050,680,875,1105,1260,1190,1260,1286,1286,1100,1050,0,0,0,0,16480,17200,17500,8695,18500,18200,16500,16242,16200,16500,17000,18000,17500,17808,17490,17500,17000,17500,17000,18000,17500,18000,17378,17378,13750,14189
1700707,Alvorada,110-Alvorada,Outros,Menor impacto re,XIV,,<Null>,1963,1212,10219,8508,7976,8200,8161,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,8379,Gurupi,115,Região Metropolitana de Gurupi,1212.161,Sem Região,Área-Programa Sul,IX,mandioca,90,70,90,80,50,25,40,40,25,40,40,45,80,75,90,100,90,60,55,60,80,70,50,55,54,65,75,75,80,80,90,70,80,80,50,25,40,40,25,40,40,45,80,75,90,100,90,60,55,60,80,70,50,55,54,65,75,75,80,80,1350,1050,1280,1320,1000,500,760,325,462,736,660,720,1360,1275,1560,1800,1575,1038,963,1014,1360,1225,875,963,972,1177,1330,1330,1200,1200,15000,15000,16000,16500,20000,20000,19000,8125,18480,18400,16500,16000,17000,17000,17333,18000,17500,17300,17509,16900,17000,17500,17500,17509,18000,18108,17733,17733,15000,15000
1720903,Taguatinga,139-Taguatinga,Outros,Capital,XVIII,Sudeste,Regiao Sudeste,1868,2437,13711,13169,14110,14528,14655,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,15048,Dianópolis,134,Região Sudeste,2437.386,Serras Gerais,Área-Programa Sudeste,X,mandioca,50,60,50,60,90,60,100,72,72,72,80,90,100,100,200,200,200,220,220,220,220,420,400,400,430,430,430,380,380,165,50,50,50,60,80,60,100,72,72,72,80,90,100,100,200,200,200,220,220,220,220,220,400,400,430,430,430,380,380,165,750,750,750,900,1040,780,1300,323,323,360,400,450,500,500,3600,3600,3600,3960,3960,3960,3520,3520,7200,7200,7740,7740,7740,6840,6840,2300,15000,15000,15000,15000,13000,13000,13000,4486,4486,5000,5000,5000,5000,5000,18000,18000,18000,18000,18000,18000,16000,16000,18000,18000,18000,18000,18000,18000,18000,13939
