cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,cultura,area_1989,area_1990,area_1991,area_1992,area_1993,area_1994,area_1995,area_1996,area_1997,area_1998,area_1999,area_2000,area_2001,area_2002,area_2003,area_2004,area_2005,area_2006,area_2007,area_2008,area_2009,area_2010,area_2011,area_2012,area_2013,area_2014,area_2015,area_2016,area_2017,area_2018,colh_1989,colh_1990,colh_1991,colh_1992,colh_1993,colh_1994,colh_1995,colh_1996,colh_1997,colh_1998,colh_1999,colh_2000,colh_2001,colh_2002,colh_2003,colh_2004,colh_2005,colh_2006,colh_2007,colh_2008,colh_2009,colh_2010,colh_2011,colh_2012,colh_2013,colh_2014,colh_2015,colh_2016,colh_2017,colh_2018,prod_1989,prod_1990,prod_1991,prod_1992,prod_1993,prod_1994,prod_1995,prod_1996,prod_1997,prod_1998,prod_1999,prod_2000,prod_2001,prod_2002,prod_2003,prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,prod_2014,prod_2015,prod_2016,prod_2017,prod_2018,rend_1989,rend_1990,rend_1991,rend_1992,rend_1993,rend_1994,rend_1995,rend_1996,rend_1997,rend_1998,rend_1999,rend_2000,rend_2001,rend_2002,rend_2003,rend_2004,rend_2005,rend_2006,rend_2007,rend_2008,rend_2009,rend_2010,rend_2011,rend_2012,rend_2013,rend_2014,rend_2015,rend_2016,rend_2017,rend_2018
1715150,Novo Alegre,135-Novo Alegre,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1993,200,1981,2274,1801,1848,1802,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,2286,Dianópolis,139,Região Sudeste,200.105,Sem Região,Ãrea-Programa Sudeste,X,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,129-Palmerópolis,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1980,1704,7395,7068,8120,8366,8492,,4º BPM - Gurupi,4º BPM,Gurupi,17005,7342,Dianópolis,119,Região Sudeste,1703.936,Sem Região,Ãrea-Programa Sul,IX,soja,4610,1500,500,200,0,0,0,2,0,0,0,0,0,0,0,0,500,0,0,100,0,990,1000,500,2310,2260,3215,2110,2220,2250,4610,1300,489,200,0,0,0,2,0,0,0,0,0,0,0,0,500,0,0,100,0,990,1000,500,2310,2260,3215,2110,2220,2250,8300,1170,980,400,0,0,0,1,0,0,0,0,0,0,0,0,1050,0,0,280,0,2970,3200,1650,6653,7555,9700,3900,6500,6600,1800,900,2004,2000,0,0,0,500,0,0,0,0,0,0,0,0,2100,0,0,2800,0,3000,3200,3300,2880,3343,3017,1848,2928,2933
1705557,Combinado,133-Combinado,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1987,210,4915,4524,4878,5023,5070,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,4669,Dianópolis,138,Região Sudeste,209.613,Sem Região,Ãrea-Programa Sudeste,X,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,Araguaçu,111-Araguaçu,Outros,Menor impacto re,XIV,,<Null>,1958,5168,9801,9346,8989,9244,9225,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,8789,Gurupi,107,Região Metropolitana de Gurupi,5167.886,Sem Região,Ãrea-Programa  Sudoeste( Ilha do Bananal),VIII,soja,580,350,0,0,30,0,0,0,0,0,0,0,0,0,130,380,1800,1700,1600,500,600,650,700,550,2252,6057,9999,8370,8000,9275,580,300,0,0,30,0,0,0,0,0,0,0,0,0,130,380,1800,1700,1600,500,600,650,700,550,2252,6057,9999,7370,8000,9275,1100,240,0,0,47,0,0,0,0,0,0,0,0,0,260,836,3780,3740,3600,1350,1800,2000,2100,1650,6756,16354,27000,12000,23450,28000,1897,800,0,0,1566,0,0,0,0,0,0,0,0,0,2000,2200,2100,2200,2250,2700,3000,3076,3000,3000,3000,2700,2700,1628,2931,3019
1711506,Jaú do Tocantins,118-Jaú do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,2173,3437,3121,3789,3906,3983,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3503,Gurupi,117,Região Metropolitana de Gurupi,2173.038,Sem Região,Ãrea-Programa Sul,IX,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,210,150,170,100,0,0,0,0,0,0,0,0,1850,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,210,150,170,100,0,0,0,0,0,0,0,0,1850,1850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,420,278,323,270,0,0,0,0,0,0,0,0,5300,5400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2076,2000,1853,1900,2700,0,0,0,0,0,0,0,0,2865,2919
1720978,Talismã,122-Talismã,Outros,Menor impacto re,XIV,,<Null>,1997,2157,0,2306,2555,2632,2663,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,2562,Gurupi,116,Região Metropolitana de Gurupi,2156.892,Sem Região,Ãrea-Programa Sul,IX,soja,0,0,0,0,0,0,0,0,600,950,900,750,1230,1250,1750,1800,2300,2000,2100,2200,1700,1750,1800,2170,3770,8565,11389,11996,15032,13500,0,0,0,0,0,0,0,0,600,950,900,750,1230,1250,1750,1800,2300,2000,2100,2200,1700,1750,1800,2170,3770,8565,11389,10456,15032,13500,0,0,0,0,0,0,0,0,1140,1482,1620,1950,3321,3250,4725,4536,5980,5000,5355,5940,5100,5285,4860,7812,10179,24494,34500,18000,44000,40000,0,0,0,0,0,0,0,0,1900,1560,1800,2600,2700,2600,2700,2520,2600,2500,2550,2700,3000,3020,2700,3600,2700,2860,3029,1721,2927,2963
1702406,Arraias,132-Arraias,Outros,Capital,XVII,Sudeste,Regiao Sudeste,1914,5787,11551,10984,10626,10928,10913,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10643,Dianópolis,135,Região Sudeste,5786.844,Serras Gerais,Ãrea-Programa Sudeste,X,soja,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720259,São Salvador do Tocantins,131-São Salvador do Tocantins,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1993,1422,2229,2740,3012,3102,3136,,4º BPM - Gurupi,4º BPM,Gurupi,17005,2910,Dianópolis,118,Região Sudeste,1422.025,Sem Região,Ãrea-Programa Sul,IX,soja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700707,Alvorada,110-Alvorada,Outros,Menor impacto re,XIV,,<Null>,1963,1212,10219,8508,7976,8200,8161,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,8379,Gurupi,115,Região Metropolitana de Gurupi,1212.161,Sem Região,Ãrea-Programa Sul,IX,soja,4500,2840,1000,1625,2146,2970,4300,1247,340,1342,600,1150,1600,1740,2000,3500,4450,4000,2350,2500,4380,7200,9350,13180,21000,28332,23200,21572,24267,27000,4500,1000,978,1625,2146,2970,4300,1247,340,1342,600,1150,1600,1740,2000,3500,4450,4000,2350,2500,4380,7200,9350,13180,21000,28332,23200,19202,24267,27000,9450,400,2352,3510,3399,7128,8600,1481,711,2096,1080,2760,3580,4176,5400,9800,12015,9600,6110,7000,13140,22320,29920,43494,58800,76496,70000,33000,71000,81200,2100,400,2404,2160,1583,2400,2000,1187,2091,1561,1800,2400,2237,2400,2700,2800,2700,2400,2600,2800,3000,3100,3200,3300,2800,2700,3017,1719,2926,3007
1720903,Taguatinga,139-Taguatinga,Outros,Capital,XVIII,Sudeste,Regiao Sudeste,1868,2437,13711,13169,14110,14528,14655,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,15048,Dianópolis,134,Região Sudeste,2437.386,Serras Gerais,Ãrea-Programa Sudeste,X,soja,0,0,0,0,0,0,0,0,0,820,849,1800,1600,1200,1500,100,0,0,0,0,0,0,0,0,1000,700,1500,1500,0,820,0,0,0,0,0,0,0,0,0,820,849,1800,1600,1200,1500,100,0,0,0,0,0,0,0,0,1000,700,1500,1500,0,820,0,0,0,0,0,0,0,0,0,1850,1780,3780,3360,1800,3450,250,0,0,0,0,0,0,0,0,3100,2100,5100,3750,0,2350,0,0,0,0,0,0,0,0,0,2256,2096,2100,2100,1500,2300,2500,0,0,0,0,0,0,0,0,3100,3000,3400,2500,0,2866
