cod_ibge,nome,leite_1989,leite_1990,leite_1991,leite_1992,leite_1993,leite_1994,leite_1995,leite_1996,leite_1997,leite_1998,leite_1999,leite_2000,leite_2001,leite_2002,leite_2003,leite_2004,leite_2005,leite_2006,leite_2007,leite_2008,leite_2009,leite_2010,leite_2011,leite_2012,leite_2013,leite_2014,leite_2015,leite_2016,leite_2017,leite_2018
1715150,Novo Alegre,0,0,0,0,150,143,132,840,845,750,796,630,620,646,690,664,620,620,665,673,756,840,427,440,500,590,650,650,830,964
1715754,Palmeirópolis,891,832,857,851,602,618,621,1644,810,823,826,836,849,826,1021,1017,914,917,971,968,906,983,1646,1723,1847,1808,2146,2130,1906,1732
1705557,Combinado,880,880,880,895,555,525,474,3020,3021,2700,2900,3032,2140,2600,2670,3080,3168,3169,3134,2881,3210,3132,983,1000,965,2000,2101,2145,2350,2450
1702000,Araguaçu,3819,3650,3550,3402,2104,2309,2322,4176,2142,2203,2142,2173,2203,2528,3133,3237,3694,3427,3635,3444,3420,5065,8761,9901,9817,9745,11408,13448,12761,12803
1711506,Jaú do Tocantins,0,0,0,0,392,402,405,933,680,693,711,718,728,791,991,920,966,982,917,949,862,992,2109,2078,2298,2346,2544,2767,2649,2406
1720978,Talismã,0,0,0,0,0,0,0,0,561,570,642,648,654,551,672,671,700,661,697,642,687,958,1734,2275,2078,1920,2180,2488,2433,2355
1702406,Arraias,1320,1300,1300,1300,1020,1050,1080,1504,1508,1887,2184,2310,2745,2903,3038,3015,3080,3081,3015,2900,3160,3075,5856,6350,6400,5508,6300,6370,9190,10398
1720259,São Salvador do Tocantins,0,0,0,0,243,257,262,268,188,192,193,197,188,214,249,275,253,211,220,224,162,212,459,949,818,740,909,1081,967,940
1700707,Alvorada,1134,1100,1050,1108,1008,1107,1123,1515,428,444,488,499,505,538,742,726,742,728,653,732,633,1354,2625,2354,1915,1706,1987,2318,2184,1777
1720903,Taguatinga,330,325,325,325,435,473,465,1625,1634,1656,1816,1860,1906,2100,2250,2500,2400,2401,2363,2000,2000,2335,4650,4900,4935,5040,5050,5090,5350,5738
1718840,Sandolândia,0,0,0,0,1052,1080,1094,1032,684,698,994,1007,1018,803,1053,952,1011,969,953,1063,972,1573,3802,4047,4396,4190,4939,5487,5441,4574
1716208,Paranã,900,900,900,950,1875,1950,2025,793,809,822,833,839,855,907,937,1021,1161,1099,1083,1062,1132,927,2020,2578,2823,3193,3358,3701,3532,3570
1707652,Figueirópolis,1058,1084,1104,1127,819,840,854,818,306,321,768,774,786,367,434,413,373,376,347,389,454,718,1670,2666,2321,2124,2474,2960,2641,2649
1720937,Taipas do Tocantins,0,0,0,0,345,360,363,62,63,270,300,309,224,333,350,315,322,323,316,301,302,268,755,766,819,837,821,815,865,920
1720853,Sucupira,0,0,0,0,378,392,394,476,217,220,308,311,318,227,267,292,243,279,256,253,269,486,1045,1011,914,882,1032,1167,1151,1084
1705607,Conceição do Tocantins,280,280,280,300,225,240,248,416,418,400,510,560,423,486,504,540,558,559,517,454,454,426,1105,1100,1100,1115,1122,1129,1850,2140
1703867,Cariri do Tocantins,0,0,0,0,554,560,570,1028,356,366,389,395,402,421,667,646,575,640,882,763,752,701,1953,2217,1851,1745,1787,1683,1690,1650
1708205,Formoso do Araguaia,2131,2174,2189,2176,1897,2016,2056,2607,2050,2107,2111,2133,2192,2007,1974,2199,2082,2121,2104,2237,2284,2333,4075,4981,4947,4819,5471,6285,6579,5113
1716604,Peixe,2025,2052,2079,1991,1418,1458,1485,1429,729,745,924,935,945,804,1072,1140,1134,1102,1001,920,972,1128,4294,4879,4440,4370,4836,5704,5335,5134
1709500,Gurupi,1235,1170,1310,1420,972,986,999,3123,1400,1410,1428,1461,1464,1656,1665,1789,1601,1557,1909,1573,1642,1764,3560,3947,3733,3790,3748,2171,2011,1857
1718006,Porto Alegre do Tocantins,90,90,90,100,105,98,90,324,327,310,240,245,125,130,156,156,157,157,160,145,207,144,173,280,319,290,464,470,530,620
1720499,São Valério da Natividade,680,342,500,504,500,513,521,822,612,621,632,641,650,684,768,797,865,816,719,761,885,855,1498,1558,1335,1341,1309,1513,1508,1528
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,330,350,391,420,428,491,562,501,570,571,605,601,601,553,1256,1286,1298,1335,1345,1377,1944,1980
1714203,Natividade,840,850,850,850,675,720,726,1454,563,589,630,686,594,720,760,830,846,847,1049,975,875,840,1953,2016,2000,2592,2607,2664,2837,3210
