cod_ibge,nome,miel1989,miel1990,miel1991,miel1992,miel1993,miel1994,miel1995,miel1996,miel1997,miel1998,miel1999,miel2000,miel2001,miel2002,miel2003,miel2004,miel2005,miel2006,miel2007,miel2008,miel2009,miel2010,miel2011,miel2012,miel2013,miel2014,miel2015,miel2016,miel2017,miel2018
1715150,Novo Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,470,650,250,230,0,0,0,0,0,1000
1705557,Combinado,0,0,0,0,0,0,0,36,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,Araguaçu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,680,4850,6400,6000,6850,4800,3200,3600,4780,2878,2200,4000,4440
1711506,Jaú do Tocantins,0,0,0,0,0,0,100,190,200,210,200,5100,5500,6000,5700,5800,3500,3600,1240,2800,2830,3500,5100,4500,4100,2750,2337,1100,1424,800
1720978,Talismã,0,0,0,0,0,0,0,0,50,70,75,80,100,150,140,180,150,170,0,650,630,800,850,830,660,0,0,0,60,0
1702406,Arraias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720259,São Salvador do Tocantins,0,0,0,0,0,0,0,180,200,210,200,230,250,300,350,380,300,330,0,350,330,480,230,200,0,0,0,0,0,0
1700707,Alvorada,0,0,0,0,0,0,0,150,100,120,125,130,200,500,650,700,500,480,0,200,220,250,600,550,0,0,0,0,0,0
1720903,Taguatinga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718840,Sandolândia,0,0,0,0,0,0,0,200,250,300,270,300,500,800,700,750,650,600,1120,2800,2700,2550,1250,1200,1400,0,0,0,0,800
1716208,Paranã,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100,210,150,140,0,0,0,0,0,0
1707652,Figueirópolis,0,0,0,0,0,0,1000,200,1350,1400,1300,1500,1800,2000,2200,2300,3500,3300,8000,4840,4800,5150,3750,3200,2800,3000,2500,2000,660,600
