cod_ibge,nome,ovino_1989,ovino_1990,ovino_1991,ovino_1992,ovino_1993,ovino_1994,ovino_1995,ovino_1996,ovino_1997,ovino_1998,ovino_1999,ovino_2000,ovino_2001,ovino_2002,ovino_2003,ovino_2004,ovino_2005,ovino_2006,ovino_2007,ovino_2008,ovino_2009,ovino_2010,ovino_2011,ovino_2012,ovino_2013,ovino_2014,ovino_2015,ovino_2016,ovino_2017,ovino_2018
1715150,Novo Alegre,0,0,0,0,230,235,240,110,115,120,130,140,130,120,900,800,750,769,772,750,700,200,195,196,166,186,205,211,245,292
1715754,Palmeirópolis,180,200,230,240,190,200,210,170,170,180,185,190,200,180,500,480,500,508,520,530,540,940,945,865,946,978,1061,1073,1020,1112
1705557,Combinado,320,350,400,530,550,550,570,22,25,25,30,30,32,30,35,205,200,210,215,200,180,171,161,168,178,180,243,276,248,250
1702000,Araguaçu,1160,1200,1250,1260,920,940,900,1500,1500,1510,1500,1530,1550,1400,1100,1000,1200,1225,1230,1300,1270,1300,1535,1688,5074,4977,4925,2375,2391,2481
1711506,Jaú do Tocantins,0,0,0,0,180,190,195,340,350,355,360,350,360,340,600,500,550,600,620,580,600,680,670,605,630,806,670,546,742,631
1720978,Talismã,0,0,0,0,0,0,0,0,800,750,760,750,760,770,800,880,900,950,1000,1100,1120,1150,1380,1571,1275,1269,1164,1306,1312,1444
1702406,Arraias,480,500,550,620,450,460,480,605,610,650,700,730,700,720,890,810,800,815,811,800,750,1339,1345,1237,1170,1141,1269,1514,1748,1699
1720259,São Salvador do Tocantins,0,0,0,0,70,80,85,90,90,100,105,110,120,130,135,140,150,160,140,150,170,210,209,231,277,349,358,234,254,289
1700707,Alvorada,510,500,550,600,640,670,680,1490,900,890,850,840,830,1100,2470,2670,2900,2950,3000,3100,3300,3390,1900,1800,1380,1297,1284,1463,1746,1911
1720903,Taguatinga,500,550,600,750,700,715,735,260,270,285,300,310,300,310,360,340,350,391,403,380,350,1450,1656,1752,1889,2000,1930,2157,1828,1829
1718840,Sandolândia,0,0,0,0,400,420,430,540,550,560,570,600,610,620,580,630,600,620,670,700,730,800,650,715,1264,1431,1344,1496,1556,1460
1716208,Paranã,200,250,300,320,300,315,325,350,360,366,370,360,370,380,400,430,400,450,460,480,490,509,470,424,824,942,949,950,862,933
1707652,Figueirópolis,230,250,280,290,240,260,270,1080,1090,1110,1100,1150,1100,1600,1450,1470,1460,1480,1500,1550,1580,1650,1700,1870,2328,1839,1689,1925,2144,2091
1720937,Taipas do Tocantins,0,0,0,0,250,260,270,500,510,535,565,590,560,510,420,400,380,410,432,400,380,145,65,41,285,317,322,272,325,306
1720853,Sucupira,0,0,0,0,130,140,145,520,530,480,485,500,520,510,480,490,500,520,600,700,720,1100,1320,1168,936,687,530,613,747,603
1705607,Conceição do Tocantins,400,450,500,500,250,260,270,205,210,220,240,260,250,260,200,180,170,183,190,150,145,90,220,166,173,169,161,150,159,160
1703867,Cariri do Tocantins,0,0,0,0,220,250,260,502,500,510,520,500,520,480,920,970,1000,980,990,1100,1120,2500,2560,2460,1525,1065,1082,953,903,1143
1708205,Formoso do Araguaia,280,300,370,380,380,400,410,1210,1200,1220,1230,1250,1270,1260,1240,1280,1300,1350,1370,1450,1430,1500,1800,1962,4502,4276,4335,3477,3916,2951
1716604,Peixe,750,800,850,860,650,660,680,1540,1350,1360,1365,1360,1370,1500,1400,1450,1430,1450,1600,1750,1780,2900,2550,2542,2550,2831,2681,2746,3660,2993
1709500,Gurupi,250,300,350,360,300,330,350,1070,1080,1050,1060,1030,1000,900,950,1000,980,950,970,1100,1120,1540,1500,1571,1563,1319,1438,1464,1711,1873
1718006,Porto Alegre do Tocantins,150,150,150,150,150,155,160,150,155,160,170,180,170,160,165,150,140,152,169,160,150,200,165,155,143,8,260,243,236,210
1720499,São Valério da Natividade,200,220,250,260,280,290,295,390,390,400,410,400,410,420,400,425,450,460,440,450,470,650,730,787,943,1136,1042,805,825,939
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,75,80,90,95,0,80,145,130,120,110,122,100,110,163,200,231,377,323,523,623,507,484
1714203,Natividade,240,250,250,300,300,310,320,180,115,120,125,130,125,130,150,340,330,339,350,330,320,640,695,914,904,800,1030,1209,840,859
1718907,Santa Rosa do Tocantins,160,200,240,290,350,410,480,260,260,265,270,275,280,285,290,295,290,285,295,430,405,400,357,440,411,300,305,281,238,249
1700350,Aliança do Tocantins,300,330,350,370,400,440,420,1010,630,640,645,640,630,650,660,650,680,700,670,750,800,1100,1346,1568,1135,1005,1115,1291,1588,1289
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,390,400,410,400,420,430,440,410,430,435,440,400,410,640,685,790,813,812,844,933,868,870
1707306,Dueré,700,720,700,710,640,680,700,1730,1750,1770,1760,1730,1750,1600,1500,1450,1430,1440,1500,1700,1650,1780,2100,2286,2105,1950,2046,2241,2356,2232
1700400,Almas,350,400,500,600,650,620,650,405,410,420,440,465,450,420,420,400,420,470,490,450,440,614,775,889,1054,950,978,952,892,1047
1717008,Pindorama do Tocantins,160,200,210,220,230,255,285,60,60,65,70,75,80,85,100,110,105,100,105,100,110,115,183,175,373,303,377,400,316,513
1709807,Ipueiras,0,0,0,0,0,0,0,0,150,150,150,155,150,155,150,140,135,130,125,0,125,130,112,67,76,104,106,146,162,90
1720655,Silvanópolis,200,250,300,350,410,480,560,40,40,40,40,40,45,45,50,60,65,60,70,127,150,150,193,376,444,302,339,400,340,481
1703701,Brejinho de Nazaré,400,500,600,720,865,1030,1230,720,300,310,315,320,310,300,300,660,665,660,655,650,700,710,902,741,742,610,801,667,752,872
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,730,740,750,755,760,760,755,750,740,730,745,740,800,815,930,1026,1056,867,783,854,700,779
1707553,Fátima,200,250,300,350,410,480,560,170,100,100,100,105,115,120,110,120,115,110,115,175,190,200,286,279,240,251,561,291,290,270
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,70,70,70,75,70,70,90,95,90,85,90,85,75,70,180,225,193,165,185,60,174,74
1711902,Lagoa da Confusão,0,0,0,0,210,220,230,50,50,50,55,60,80,100,260,290,295,290,285,715,830,920,1000,1180,1205,1328,1369,1291,1329,1376
1706100,Cristalândia,400,600,630,670,500,530,560,610,300,300,305,310,315,380,970,960,965,960,955,935,845,600,620,670,653,655,566,668,770,635
1715002,Nova Rosalândia,100,150,200,250,310,390,490,150,155,160,165,170,165,160,195,220,225,220,215,210,205,220,240,280,291,255,311,265,294,368
1717909,Ponte Alta do Tocantins,500,600,680,760,680,760,850,260,270,275,280,285,290,290,295,310,315,310,325,1070,1290,1300,1383,1721,2029,1714,1236,969,943,976
1718451,Pugmil,0,0,0,0,0,0,0,0,120,125,130,135,140,140,130,120,115,110,125,190,185,220,250,280,287,339,345,560,396,234
1713601,Monte do Carmo,800,900,950,1000,1050,1100,1155,420,430,435,435,440,435,440,860,890,895,885,880,2175,2170,2150,1989,1302,1542,1606,1628,1245,1276,1118
1719004,Santa Tereza do Tocantins,800,850,900,950,790,840,890,10,10,10,10,15,20,20,25,180,185,180,205,200,225,230,450,841,550,408,497,612,516,514
1711951,Lagoa do Tocantins,0,0,0,0,400,420,440,0,0,0,0,0,0,0,0,20,22,20,15,240,265,270,203,138,150,191,369,355,348,327
1716109,Paraíso do Tocantins,170,250,300,350,410,480,560,600,500,510,480,450,420,380,1996,1200,1150,1000,1650,1700,1540,2320,2230,2200,2126,1697,1664,1961,1997,2162
1718204,Porto Nacional,2500,2650,2800,2960,3550,4200,4960,1040,900,910,920,925,930,935,1940,2600,2615,2630,2600,2480,2735,2895,3470,4278,4214,4420,4027,4052,4034,4156
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,180,160,170,160,160,150,135,100,90,80,420,450,430,470,510,520,541,463,394,458,403,331
1721000,Palmas,600,300,320,340,357,361,370,280,300,300,320,380,370,370,457,383,452,433,652,537,578,727,871,1023,2144,2177,2181,2202,1887,2148
1715101,Novo Acordo,600,800,850,900,605,675,755,150,160,165,170,175,170,170,165,160,155,160,165,160,150,160,122,53,22,104,115,202,166,107
1720150,São Félix do Tocantins,0,0,0,0,160,180,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,3,6,11,11
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,310,300,250,230,210,200,560,510,460,410,730,700,640,730,680,800,765,401,421,667,638,668
1701101,Aparecida do Rio Negro,800,880,880,800,680,580,460,240,230,230,235,240,245,250,255,250,245,240,235,240,265,270,593,639,579,551,813,996,757,647
1703107,Barrolândia,930,980,980,1050,840,670,540,270,230,240,250,230,210,200,180,180,170,160,530,520,480,790,730,950,1012,960,1001,1065,909,1010
1712009,Lajeado,0,0,0,0,270,220,180,10,15,20,30,40,30,30,30,30,35,35,45,30,30,210,210,215,225,230,390,420,545,525
1712504,Marianópolis do Tocantins,410,430,380,320,290,260,220,540,540,550,560,500,450,405,555,550,530,480,530,700,635,1200,1100,1200,1188,1333,1473,1820,1462,1452
1713205,Miracema do Tocantins,1290,810,810,970,800,640,510,580,580,590,550,500,460,430,430,750,730,660,1600,1580,1440,2110,2100,2060,2710,2760,2600,2630,2185,2435
1707108,Divinópolis do Tocantins,810,930,790,670,570,460,370,870,610,600,610,550,500,460,415,400,380,350,1200,900,830,1820,1680,2000,2062,2074,1992,2499,2599,1989
1721109,Tocantínia,1000,1000,850,680,290,230,180,60,60,70,70,80,80,80,105,110,100,90,240,250,235,411,415,375,420,440,520,450,295,140
1718758,Rio Sono,2100,1900,1600,1360,1090,870,700,230,260,270,260,200,190,180,300,210,200,190,210,260,240,920,925,970,980,960,1050,1240,1180,1070
1717503,Pium,440,550,580,610,645,680,720,820,700,710,720,725,720,720,715,710,705,700,665,1710,1880,1980,2000,1700,1675,1790,1857,1708,1718,1957
1713304,Miranorte,360,300,270,240,220,200,170,320,320,330,300,300,280,260,435,470,450,400,230,190,175,530,540,550,640,590,510,510,545,640
1700251,Abreulândia,0,0,0,0,230,180,150,910,920,850,800,600,550,510,500,300,280,250,170,310,280,411,380,400,424,641,656,738,749,856
1703909,Caseara,480,550,570,410,370,310,260,280,270,250,260,240,220,210,190,90,90,80,140,90,85,110,100,300,314,361,311,301,350,300
1718709,Rio dos Bois,0,0,0,0,200,160,140,160,160,160,150,150,140,130,100,90,95,85,70,80,75,158,160,250,245,235,250,245,260,220
1716505,Pedro Afonso,700,700,700,730,260,280,290,500,520,500,450,560,500,450,670,380,370,340,560,600,550,1530,1500,1700,1960,1970,870,2050,1689,1965
1708254,Tabocão,0,0,0,0,70,80,80,350,310,300,280,260,250,230,340,180,170,160,180,80,75,750,710,560,450,420,400,520,510,565
1712405,Lizarda,1300,1430,1200,1020,820,720,570,120,140,140,140,60,60,50,50,55,50,40,50,45,40,45,43,140,90,70,85,120,90,190
1707207,Dois Irmãos do Tocantins,3190,1930,1640,1390,1250,1060,850,1570,1600,1500,1400,1200,1100,1060,3290,2300,2150,1900,2800,2520,2380,2130,1950,1600,1648,1612,1547,1679,1922,1862
1703305,Bom Jesus do Tocantins,0,0,0,0,200,220,230,400,430,420,430,340,310,290,520,500,460,420,600,600,550,550,500,1200,1470,1500,1720,1450,1635,615
1704105,Centenário,0,0,0,0,110,120,130,80,85,90,100,50,60,65,110,130,110,100,50,130,105,80,80,80,40,110,285,430,325,390
1721257,Tupirama,0,0,0,0,0,0,0,0,160,170,160,160,145,100,90,40,50,50,80,80,75,117,120,135,125,165,115,175,215,135
1708304,Goianorte,490,500,500,520,540,590,600,390,400,410,450,110,120,100,85,250,210,220,250,285,250,290,345,650,645,646,836,953,971,997
1718881,Santa Maria do Tocantins,0,0,0,0,300,320,330,135,150,160,200,210,250,210,170,290,260,270,0,700,600,154,160,670,660,725,665,650,642,750
1716703,Colméia,120,140,150,160,170,180,190,190,200,200,250,210,250,220,185,220,210,200,300,550,650,750,750,800,770,940,956,1043,1015,980
1701903,Araguacema,690,780,780,600,400,360,290,1040,1080,1000,920,840,760,700,630,580,550,500,500,540,520,580,530,680,713,573,598,391,432,445
1718501,Recursolândia,0,0,0,0,110,120,125,160,180,190,200,170,180,150,130,370,330,340,100,85,100,120,125,120,185,180,230,275,290,290
1718402,Presidente Kennedy,140,100,100,150,75,80,85,370,400,420,450,450,500,450,370,300,270,280,120,380,800,800,955,1200,1220,1150,1176,734,4277,2692
1706001,Couto de Magalhães,260,270,280,290,210,230,250,840,850,860,900,1700,1800,1500,450,370,298,280,970,550,650,1650,1500,1580,1360,742,917,965,1040,1023
1711100,Itaporã do Tocantins,300,300,320,350,370,400,420,400,400,420,450,400,450,370,250,270,220,240,380,310,250,290,340,650,630,433,480,480,489,517
1710508,Itacajá,700,700,750,800,380,400,420,550,550,580,600,600,650,550,450,680,550,570,750,890,1060,850,1600,1500,1490,1598,1784,1590,1723,1870
1703602,Brasilândia do Tocantins,0,0,0,0,55,60,65,310,315,320,350,300,350,310,450,440,360,400,550,530,500,590,550,650,600,532,512,424,437,552
1721307,Tupiratins,0,0,0,0,30,35,40,30,30,35,50,50,55,60,65,63,57,60,250,100,115,130,125,140,140,153,182,634,645,187
1716653,Pequizeiro,70,80,90,100,120,130,140,370,380,390,400,350,380,310,250,210,190,180,280,335,760,610,500,570,600,1150,954,1067,875,874
1711803,Juarina,0,0,0,0,100,110,120,120,125,130,150,150,165,140,115,130,109,115,400,350,330,300,320,480,500,508,554,626,627,582
1710904,Itapiratins,0,0,0,0,270,280,290,450,300,320,350,700,750,620,700,830,750,780,950,1850,1500,600,530,630,650,977,1025,1092,1166,1081
1703842,Campos Lindos,0,0,0,0,85,88,90,90,110,112,115,120,125,130,138,140,150,160,200,220,260,650,655,930,702,630,741,707,815,769
1705508,Colinas do Tocantins,300,300,300,300,320,350,360,430,435,450,450,450,500,500,2200,1800,1450,1500,1300,1050,1250,1200,1200,1100,1000,1042,845,906,861,882
1703206,Bernardo Sayão,80,100,100,150,160,170,180,520,520,530,550,600,650,550,450,500,430,450,750,890,1060,1250,1450,1470,1100,1000,1103,1409,874,990
1703057,Bandeirantes do Tocantins,0,0,0,0,0,0,0,0,295,300,350,400,450,530,700,740,610,640,900,1070,1100,1050,1250,1200,1100,1200,1057,1000,872,3046
1702307,Arapoema,400,400,400,500,430,450,500,600,280,290,300,600,650,530,450,535,450,430,450,525,625,700,835,860,800,750,750,589,639,709
1709005,Goiatins,740,780,800,820,750,770,800,420,425,440,445,455,466,500,540,550,562,570,480,500,540,550,560,435,584,610,750,753,835,873
1715705,Palmeirante,0,0,0,0,680,700,780,1030,1040,1050,1100,350,365,300,300,250,225,215,710,300,900,1070,1280,1400,1500,1792,1652,1534,1452,1353
1714880,Nova Olinda,400,500,500,550,600,610,620,430,435,440,450,365,380,400,350,370,330,310,500,900,1050,1200,1400,1430,1400,153,169,1955,2173,2478
1703073,Barra do Ouro,0,0,0,0,0,0,0,0,145,149,155,165,170,190,181,184,200,210,600,450,490,480,490,630,150,731,1082,812,728,750
1716307,Pau d'Arco,0,0,0,0,110,120,130,210,210,220,250,205,220,215,250,350,285,300,900,725,610,900,860,900,920,858,704,641,788,798
1707702,Filadélfia,1250,1300,1350,1370,714,730,780,470,480,490,500,550,0,580,610,620,640,645,1400,3500,3550,3600,3550,2660,2751,2690,2932,3270,3682,4066
1702109,Araguaína,3100,3200,3350,3400,1790,1860,1900,360,1210,1230,1240,1250,1300,1320,2503,2550,2600,2650,1780,2980,3050,3200,3300,4700,5045,4830,4473,3997,4149,4359
1703883,Carmolândia,0,0,0,0,120,126,143,110,112,120,130,140,150,170,185,191,200,210,240,245,308,320,330,110,173,250,368,297,462,460
1703008,Babaçulândia,670,750,770,800,880,920,980,290,300,310,315,316,320,350,390,400,420,425,850,855,880,1100,1120,1870,1872,1615,1614,1665,1800,1883
1718865,Santa Fé do Araguaia,0,0,0,0,580,600,650,810,820,840,1950,2000,2050,2100,2180,2195,2220,2300,2100,2150,2210,2250,2270,1980,1917,1750,1509,1771,1942,1990
1713957,Muricilândia,0,0,0,0,470,500,525,180,184,190,195,200,210,220,564,570,590,600,550,555,615,1850,1860,1494,1397,1190,950,938,1038,942
1701309,Aragominas,0,0,0,0,440,470,495,365,370,390,400,450,470,480,490,500,530,550,460,600,710,730,750,700,755,945,1536,955,1003,1227
1722081,Wanderlândia,360,400,420,430,480,500,510,235,250,260,270,280,285,300,350,362,385,400,450,460,500,530,540,950,1179,1253,1235,1186,1073,1095
1706506,Darcinópolis,0,0,0,0,0,0,0,435,450,460,440,300,310,330,363,370,385,390,180,190,200,213,221,238,557,581,632,668,622,552
1702158,Araguanã,0,0,0,0,380,400,410,270,290,340,350,300,320,340,350,360,400,420,360,500,610,650,640,1490,1689,1220,1331,1462,1387,1275
1713809,Palmeiras do Tocantins,0,0,0,0,0,0,0,50,55,58,60,70,80,90,100,110,110,121,194,479,502,385,397,442,622,617,428,725,775,782
1717206,Piraquê,0,0,0,0,500,520,530,120,125,130,140,150,155,160,166,173,180,184,310,320,350,370,380,520,613,642,513,588,692,772
1700301,Aguiarnópolis,0,0,0,0,0,0,0,0,95,98,105,100,91,120,100,110,145,159,125,243,255,277,293,315,142,142,170,203,171,168
1720002,Santa Terezinha do Tocantins,0,0,0,0,0,0,0,0,50,55,45,40,40,60,70,83,179,196,157,172,180,160,166,186,86,121,152,29,138,358
1718550,Riachinho,0,0,0,0,0,0,0,60,62,64,67,80,82,88,251,260,280,286,290,190,300,321,348,392,642,673,714,719,772,647
1722107,Xambioá,950,1060,1100,1150,780,820,840,215,220,230,235,620,625,650,687,705,720,730,800,810,906,920,930,1550,1696,1670,1748,2950,2226,1962
1701051,Angico,0,0,0,0,0,0,0,0,50,60,70,50,55,60,65,70,78,85,90,95,100,109,112,128,359,93,160,197,212,193
1714302,Nazaré,0,0,0,0,0,0,0,130,80,85,80,55,50,60,70,77,55,60,36,53,58,272,289,323,318,310,395,437,512,627
1712454,Luzinópolis,0,0,0,0,0,0,0,0,60,65,70,80,85,100,350,385,121,133,159,256,268,294,312,294,558,587,110,270,486,452
1721208,Tocantinópolis,0,0,0,0,0,0,0,330,143,150,140,87,95,100,130,98,607,667,180,437,458,459,489,533,603,646,678,623,413,433
1703826,Cachoeirinha,0,0,0,0,0,0,0,35,40,45,50,55,50,60,60,54,109,119,57,61,64,75,112,117,165,177,129,203,78,67
1701002,Ananás,0,0,0,0,0,0,0,0,555,560,600,400,420,430,467,470,500,650,800,820,850,893,911,989,1330,1266,1512,1648,1619,1583
1712801,Maurilândia do Tocantins,0,0,0,0,0,0,0,30,35,40,48,50,48,50,60,37,65,71,75,226,237,222,233,248,328,320,60,60,60,677
1720101,São Bento do Tocantins,0,0,0,0,300,320,350,255,266,280,250,230,210,220,134,104,156,171,296,71,76,132,139,156,241,152,287,396,355,373
1710706,Itaguatins,0,0,0,0,0,0,0,120,125,128,224,205,190,220,240,210,389,427,325,111,117,236,1350,1370,1160,1233,1119,1220,1346,1925
1702901,Axixá do Tocantins,0,0,0,0,0,0,0,225,230,237,240,205,198,200,247,306,187,205,356,252,240,52,600,630,554,526,606,653,777,823
1720804,Sítio Novo do Tocantins,0,0,0,0,0,0,0,435,448,455,410,594,540,560,570,621,441,485,601,262,275,499,740,880,850,820,755,793,802,946
1720200,São Miguel do Tocantins,0,0,0,0,0,0,0,420,435,450,400,477,250,270,600,910,504,554,466,605,635,772,780,900,940,971,773,791,722,642
