cod_ibge,nome,ovogal1989,ovogal1990,ovogal1991,ovogal1992,ovogal1993,ovogal1994,ovogal1995,ovogal1996,ovogal1997,ovogal1998,ovogal1999,ovogal2000,ovogal2001,ovogal2002,ovogal2003,ovogal2004,ovogal2005,ovogal2006,ovogal2007,ovogal2008,ovogal2009,ovogal2010,ovogal2011,ovogal2012,ovogal2013,ovogal2014,ovogal2015,ovogal2016,ovogal2017,ovogal2018
1715150,Novo Alegre,0,0,0,0,6,7,8,13,13,15,15,16,16,16,18,21,22,22,22,21,22,8,8,8,8,9,9,9,10,10
1715754,Palmeirópolis,126,126,126,132,120,125,128,98,73,68,74,76,77,80,75,76,75,74,72,70,71,69,71,62,64,70,76,65,65,64
1705557,Combinado,32,32,32,32,55,58,64,37,38,44,52,56,60,61,62,62,62,63,63,63,63,25,25,25,25,27,29,28,31,36
1702000,Araguaçu,188,172,173,178,168,170,176,81,104,106,111,114,115,90,81,88,89,88,83,73,72,75,76,71,66,69,77,70,75,74
1711506,Jaú do Tocantins,0,0,0,0,85,88,90,48,48,49,53,54,55,56,54,61,58,58,56,58,58,55,57,41,34,40,40,39,39,45
1720978,Talismã,0,0,0,0,0,0,0,0,26,26,28,28,28,32,32,32,33,33,36,36,36,40,32,34,36,32,35,31,32,32
1702406,Arraias,48,48,48,53,56,62,70,47,49,52,57,60,63,71,71,73,74,74,74,73,74,50,54,61,61,62,73,74,63,66
1720259,São Salvador do Tocantins,0,0,0,0,45,48,49,13,17,18,19,19,19,19,22,22,24,24,25,25,26,30,31,22,17,20,19,20,20,23
1700707,Alvorada,73,67,69,75,90,96,110,56,29,30,32,34,35,36,40,39,40,39,38,33,33,38,42,49,22,22,24,22,24,22
1720903,Taguatinga,43,43,43,45,71,72,77,124,124,111,120,120,120,121,125,115,114,115,115,112,113,86,86,87,93,99,99,99,97,99
1718840,Sandolândia,0,0,0,0,58,63,66,48,50,52,60,61,61,63,65,65,67,74,72,68,67,77,63,35,28,23,27,27,30,30
1716208,Paranã,70,70,70,68,74,72,77,54,56,60,69,70,66,72,79,80,78,79,78,78,80,80,70,37,48,54,65,64,66,70
