cod_ibge,nome,suino_1989,suino_1990,suino_1991,suino_1992,suino_1993,suino_1994,suino_1995,suino_1996,suino_1997,suino_1998,suino_1999,suino_2000,suino_2001,suino_2002,suino_2003,suino_2004,suino_2005,suino_2006,suino_2007,suino_2008,suino_2009,suino_2010,suino_2011,suino_2012,suino_2013,suino_2014,suino_2015,suino_2016,suino_2017,suino_2018
1715150,Novo Alegre,0,0,0,0,1300,1430,1570,600,630,670,735,780,820,820,730,670,640,640,668,640,610,640,545,541,504,531,839,851,695,602
1715754,Palmeirópolis,15200,15500,11800,12400,9000,9500,9600,3600,3600,3700,4030,4100,4170,3800,3500,3550,3400,3350,3450,3550,3500,3988,3889,4030,4517,4339,4286,4268,4546,4718
1705557,Combinado,4000,4150,4350,4700,5100,5490,6000,3000,3150,3310,3500,3680,3900,3900,3500,3250,3030,3070,3092,3050,2920,2370,2204,2287,2115,2266,2919,2581,2733,2977
1702000,Araguaçu,16100,16400,16200,16500,14500,15000,15400,5460,5600,5700,6360,6540,6400,5000,4000,3900,3850,3800,4000,4200,4250,4370,4400,4109,4152,4502,4612,4364,4501,4416
1711506,Jaú do Tocantins,0,0,0,0,7500,7800,7900,2760,2800,2880,3080,3130,3100,3000,3100,3050,3000,2900,2800,2750,2780,1800,1700,1817,1730,2279,2450,2264,2522,2691
1720978,Talismã,0,0,0,0,0,0,0,0,1650,1700,1830,1860,1900,1850,1800,1840,1900,1850,1750,1800,1840,1900,1800,1809,1786,1652,1702,1800,1942,2050
1702406,Arraias,6000,6200,7000,7800,7000,7700,8300,2610,2700,2850,3000,3200,3400,3400,3100,2890,3000,3040,3051,2960,3020,2600,2845,2408,2587,2750,3156,4497,3650,4684
1720259,São Salvador do Tocantins,0,0,0,0,4100,4300,4500,910,950,980,1050,1070,1100,1120,1000,1050,1100,1120,1160,1260,1280,1380,1200,1236,1072,1144,789,1036,1353,1571
1700707,Alvorada,5700,5800,6000,6300,6900,7200,7000,2730,1580,1620,1700,2750,1800,1700,1000,950,900,890,920,950,960,1017,1218,1408,1229,1176,1064,1112,1332,1266
1720903,Taguatinga,6000,6100,6400,7150,7600,8260,8900,2385,2490,2700,2900,3050,3260,3260,3000,2850,2960,3106,3012,2830,2950,3900,4500,4300,4086,4260,3883,4198,3672,3673
1718840,Sandolândia,0,0,0,0,3600,3800,3900,2730,2750,2800,3000,3060,3000,3060,2900,2950,3000,3040,2980,3000,3030,3290,2900,2615,1790,1821,1826,2097,2825,2346
1716208,Paranã,12000,12400,13000,13500,14400,15690,17100,2570,2600,2680,2800,2850,2800,2850,2700,2750,2800,2850,2800,2750,2800,2950,2419,2200,2811,3133,3497,3338,4002,3865
1707652,Figueirópolis,5600,5700,5800,6100,4200,4400,4500,3100,3200,3300,3500,3550,3600,3400,3200,3100,3000,2900,2840,2800,2830,2990,2849,2569,2047,2023,2419,2398,2409,2360
1720937,Taipas do Tocantins,0,0,0,0,1500,1600,1700,350,370,400,435,465,500,500,455,430,410,464,481,470,450,100,190,214,376,595,488,453,481,520
1720853,Sucupira,0,0,0,0,4100,4300,4500,910,930,960,1020,1040,1060,1060,1000,1040,1100,1120,1200,1270,1285,1400,1200,1077,1009,817,983,923,1766,990
1705607,Conceição do Tocantins,3500,3750,4200,3850,2600,2780,3020,933,980,1030,1100,1160,1220,1230,1070,1000,990,1036,1043,950,840,855,805,922,792,880,922,980,946,917
1703867,Cariri do Tocantins,0,0,0,0,4400,4600,4800,1760,1800,1850,1910,1960,2000,1900,1600,1650,1700,1680,1750,1900,1920,2650,2900,2800,3027,3957,4680,3161,3177,3547
1708205,Formoso do Araguaia,3200,3300,3400,3700,3850,4000,4200,7300,7400,7550,8000,8100,8000,7600,7300,7000,6900,7000,6800,6500,6600,6798,7079,7987,8108,7157,10085,6566,8696,6075
1716604,Peixe,14000,14300,14200,14900,7000,7400,7600,3600,3200,3300,3500,3560,3600,3620,3550,3580,3500,3550,3600,3650,3670,5100,5147,4656,4806,4890,4312,4733,5260,5132
1709500,Gurupi,6500,6600,6700,7200,4800,5000,5200,3320,3330,3400,3500,3600,3700,3500,3300,3200,3250,3200,3300,3400,3500,5000,5100,5202,4923,5185,4797,4648,4979,4942
1718006,Porto Alegre do Tocantins,1850,2150,2350,2380,2500,2700,2900,535,565,610,650,700,750,740,705,640,585,605,620,590,530,300,265,250,216,275,642,582,498,438
1720499,São Valério da Natividade,3340,3400,3400,3600,3900,4100,4250,1460,1500,1550,1650,1670,1700,1600,1500,1530,1580,1600,1700,1750,1740,1870,1547,1506,1664,1732,1869,1880,2000,2055
1705102,Chapada da Natividade,0,0,0,0,0,0,0,0,1045,1100,1155,1220,1280,1200,1080,950,990,1005,1023,1000,970,1480,1712,1614,1883,1878,2018,1768,1895,2195
1714203,Natividade,4500,4900,5300,5550,6000,6500,6900,2203,1270,1350,1460,1540,1620,1600,1480,1415,1350,1391,1408,1310,1200,1210,1420,1497,1352,1470,1427,1361,1367,1541
1718907,Santa Rosa do Tocantins,3460,4000,4540,5100,5610,6060,6545,1010,1050,1150,1250,1380,1500,1620,1700,1730,1765,1800,1630,1660,1620,1650,1528,1486,1638,1586,1936,2166,2248,2423
1700350,Aliança do Tocantins,5000,5100,5100,5500,6000,6300,6400,2060,1310,1350,1400,1440,1480,1500,1450,1300,1370,1340,1400,1450,1470,1586,1696,1907,1984,1818,1911,2084,2298,2301
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,0,800,830,861,880,900,910,800,820,850,865,830,750,760,790,861,1005,862,873,945,1027,1014,984
1707306,Dueré,3900,4000,4050,4400,3600,3800,4000,2930,2950,3000,3300,3360,3460,3100,3000,2950,3100,3000,3060,3000,3050,3200,3500,3629,3751,4093,4488,4171,4294,4611
1700400,Almas,4150,4500,4750,5000,5535,6088,6680,2455,2550,2650,2780,3000,3100,3000,2880,2750,2630,2669,2675,2640,2700,2130,1533,1716,1708,1814,1315,1062,1270,1647
1717008,Pindorama do Tocantins,4000,4500,4900,5300,5830,6300,6800,2070,2120,2240,2370,2610,2870,3100,3250,3390,3425,3460,3110,3050,2990,2960,2583,1686,1836,1659,1774,1561,1743,2341
1709807,Ipueiras,0,0,0,0,0,0,0,0,380,400,420,460,490,520,570,630,690,745,820,835,990,1070,1050,980,796,1437,699,714,964,1516
1720655,Silvanópolis,4000,4500,5060,5600,6160,6660,7190,1410,1440,1530,1620,1780,1920,2070,2170,2230,2280,2325,2445,2490,2360,2405,2242,1549,1623,1590,2055,2263,1871,1704
1703701,Brejinho de Nazaré,7500,8500,9400,10500,11550,12470,13470,2930,1000,1060,1130,1240,1300,1380,1460,1530,1600,1665,1440,1370,1840,1875,2135,2032,2244,2215,2108,1897,2068,2153
1718899,Santa Rita do Tocantins,0,0,0,0,0,0,0,0,3300,3450,3620,3990,4350,4700,4940,4690,4600,4640,4180,4090,3890,3930,3210,1378,1475,1691,1662,1692,1721,1650
1707553,Fátima,1200,1500,1800,2100,2310,2490,2690,1110,760,800,850,930,970,1020,1070,1150,1205,1265,1225,1200,1178,1160,1141,1039,941,901,915,669,742,755
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,360,390,420,470,520,560,600,650,700,760,680,670,690,725,708,696,501,480,737,760,728,692
1711902,Lagoa da Confusão,0,0,0,0,4270,4395,4740,1950,2100,2200,2300,2530,2630,2710,2790,2740,2690,2770,2490,2365,2295,2475,2340,2500,2713,2845,2931,2735,2972,2993
1706100,Cristalândia,8300,9000,10800,12500,9680,10450,11290,2570,1500,1600,1700,1785,1850,1920,1980,2020,2120,2230,2010,1970,1930,1780,1930,2200,2442,2254,2564,1860,2233,2016
1715002,Nova Rosalândia,1500,1700,1950,2200,2420,2610,2820,1120,1150,1220,1290,1420,1560,1680,1780,1820,1860,1900,1710,1520,1445,1200,1080,1150,1219,1372,1514,1519,1636,1583
1717909,Ponte Alta do Tocantins,8000,9000,9800,10700,8140,8790,9495,1860,1960,2060,2180,2400,2590,2800,2960,2900,2950,3010,2560,2630,2580,2605,2654,2449,2681,2533,2503,2412,2464,2972
1718451,Pugmil,0,0,0,0,0,0,0,0,800,850,900,1000,1080,1165,1260,1210,1230,1255,1140,1160,1140,800,790,850,926,1022,1143,869,791,879
1713601,Monte do Carmo,6000,6600,7300,7900,8690,9385,10135,2890,3100,3280,3450,3800,4100,4430,4695,4790,4880,4980,5080,9750,9840,10030,9445,5300,4766,5318,5244,4776,4946,5902
1719004,Santa Tereza do Tocantins,2000,2300,2680,3070,2300,2490,2690,660,680,720,760,830,900,965,920,900,920,940,925,940,860,870,835,934,936,1026,928,1181,1322,1396
1711951,Lagoa do Tocantins,0,0,0,0,2530,2700,2890,520,570,600,650,720,780,840,890,930,970,1010,860,840,820,840,805,818,858,868,915,1177,1388,1424
1716109,Paraíso do Tocantins,5700,6500,7400,8300,9130,9860,10650,4070,3410,3520,3670,3780,3600,2900,2440,2220,2100,1970,4700,4320,3980,3840,3760,3700,3885,4182,4950,4895,5364,5838
1718204,Porto Nacional,14000,15500,17100,19000,20900,22570,24600,4900,4700,4980,5280,5800,6350,6860,7200,7480,7780,8090,7690,7840,7680,7830,7611,8365,8726,9024,8894,8738,10245,19270
1704600,Chapada de Areia,0,0,0,0,0,0,0,0,1390,1460,1530,1500,1400,1280,1155,600,550,500,1100,1100,1050,1130,1030,1100,1177,1148,1446,1249,1183,1229
1721000,Palmas,3500,4000,4400,4850,5256,5592,5700,2340,2600,2600,2700,3320,3390,3430,3300,2742,3275,3402,3558,3208,2900,3646,4084,4116,4387,3977,3429,13847,7186,3636
1715101,Novo Acordo,4000,4500,5300,5940,2662,2875,3105,700,720,770,830,910,990,1070,1150,1130,1150,1175,1060,960,860,880,611,450,377,365,603,666,951,1099
1720150,São Félix do Tocantins,0,0,0,0,2420,2610,2820,430,450,480,520,570,620,670,710,695,710,725,640,650,580,590,525,217,169,251,296,348,356,376
1713700,Monte Santo do Tocantins,0,0,0,0,0,0,0,0,1170,1230,1280,1250,1190,1100,990,940,880,800,1600,1450,1330,1470,1350,1480,1599,1803,1775,1835,1942,1931
1701101,Aparecida do Rio Negro,2000,2120,2250,2360,2710,2870,3040,1480,1550,1600,1670,1840,2025,2180,2310,2430,2550,2630,2370,2420,2290,2250,2281,2246,2429,2018,1984,2046,1805,2065
1703107,Barrolândia,5420,5850,6200,6570,6040,5740,5450,2080,1560,1650,1730,1660,1600,1490,1370,950,890,810,1580,1530,1410,1540,1430,2800,2940,2060,2457,2432,2066,2223
1712009,Lajeado,0,0,0,0,1300,1040,830,290,300,310,320,290,280,290,265,250,225,200,340,320,300,655,650,740,730,860,800,800,805,860
1712504,Marianópolis do Tocantins,4330,4630,4900,5140,5650,5930,5750,2300,2340,2430,2500,2360,2240,1700,1530,710,690,620,1700,1600,1470,1510,1400,1480,1539,2113,1806,2579,2794,2204
1713205,Miracema do Tocantins,8020,8280,8350,8930,8350,7930,7530,2750,3020,3080,3200,3100,2900,2780,2640,1700,1600,1380,3300,3260,3030,3660,3600,3980,3895,3950,4720,5800,4300,4600
1707108,Divinópolis do Tocantins,4030,4310,4520,4740,5210,5210,4950,2500,2160,2290,2400,2320,2200,2000,1820,1540,1430,1310,3640,3300,3150,3250,2990,3050,3172,3823,4186,5078,5028,4479
1721109,Tocantínia,4000,4240,4370,3940,3040,2580,2190,1040,1030,1060,1090,950,890,830,745,580,510,470,850,850,780,1070,1060,1095,1390,1350,1220,1200,1442,1500
1718758,Rio Sono,9000,9720,10400,11020,12120,10910,9820,2920,2970,3020,3140,2760,2660,2400,2180,1690,1570,1350,2600,2380,2170,920,895,2550,2600,2550,3210,3725,3700,4200
