cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,munic,pib10_1000,pib11_1000,pib12_1000,pib13_1000,pib14_1000,pib15_1000,pib16_1000,pcap_2010,pcap_2011,pcap_2012,pcap_2013,pcap_2014,pcap_2015,pcap_2016
1715150,Novo Alegre,135-Novo Alegre,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1993,200,1981,2274,1801,1848,1802,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,2286,Dianópolis,139,Região Sudeste,200.105,Sem Região,Área-Programa Sudeste,X,Novo Alegre,14874.727,16543.263,18075.97,20957.752,21607.297,23634.039,26527.299,6506.88,7233.61,7900.34,8921.99,9194.59,10052.76,11278.61
1715754,Palmeirópolis,129-Palmerópolis,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1980,1704,7395,7068,8120,8366,8492,,4º BPM - Gurupi,4º BPM,Gurupi,17005,7342,Dianópolis,119,Região Sudeste,1703.936,Sem Região,Área-Programa Sul,IX,Palmeirópolis,60013.336,66062.483,72529.593,85373.97,92594.642,104182.608,111851.432,8173.98,8975.88,9827.86,11233.42,12146.75,13627.55,14590.59
1705557,Combinado,133-Combinado,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1987,210,4915,4524,4878,5023,5070,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,4669,Dianópolis,138,Região Sudeste,209.613,Sem Região,Área-Programa Sudeste,X,Combinado,29498.631,36548.235,39796.229,47369.799,50250.802,53659.198,59184.942,6317.98,7807.78,8483.53,9813.51,10384.54,11061.47,12170.46
1702000,Araguaçu,111-Araguaçu,Outros,Menor impacto re,XIV,,<Null>,1958,5168,9801,9346,8989,9244,9225,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,8789,Gurupi,107,Região Metropolitana de Gurupi,5167.886,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Araguaçu,97397.539,102933.963,113535.159,121562.177,138334.16,158035.862,181289.876,11085.54,11771.95,13047.02,13707.96,15680.59,18005.68,20756.8
1711506,Jaú do Tocantins,118-Jaú do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,2173,3437,3121,3789,3906,3983,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3503,Gurupi,117,Região Metropolitana de Gurupi,2173.038,Sem Região,Área-Programa Sul,IX,Jaú do Tocantins,26877.672,31748.459,33843.647,38722.034,42367.861,47108.345,53395.331,7664.01,8976.1,9490.65,10471.07,11358.68,12525.48,14084.76
1720978,Talismã,122-Talismã,Outros,Menor impacto re,XIV,,<Null>,1997,2157,0,2306,2555,2632,2663,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,2562,Gurupi,116,Região Metropolitana de Gurupi,2156.892,Sem Região,Área-Programa Sul,IX,Talismã,36606.214,36233.896,42916.815,48191.585,59776.234,66286.493,65840.016,14288.14,14033.27,16500.12,17881.85,22008.92,24218.67,23881.04
1702406,Arraias,132-Arraias,Outros,Capital,XVII,Sudeste,Regiao Sudeste,1914,5787,11551,10984,10626,10928,10913,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10643,Dianópolis,135,Região Sudeste,5786.844,Serras Gerais,Área-Programa Sudeste,X,Arraias,117228.788,102543.789,120302.629,157478.443,137000.603,129115.905,143068.742,11014.64,9656.63,11355.73,14536.92,12679.37,11979.58,13306.24
1720259,São Salvador do Tocantins,131-São Salvador do Tocantins,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1993,1422,2229,2740,3012,3102,3136,,4º BPM - Gurupi,4º BPM,Gurupi,17005,2910,Dianópolis,118,Região Sudeste,1422.025,Sem Região,Área-Programa Sul,IX,São Salvador do Tocantins,31645.884,20839.059,22802.729,25810.172,26709.935,28872.214,32547.819,10874.87,7126.9,7766.6,8518.21,8774.62,9441.53,10598.44
1700707,Alvorada,110-Alvorada,Outros,Menor impacto re,XIV,,<Null>,1963,1212,10219,8508,7976,8200,8161,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,8379,Gurupi,115,Região Metropolitana de Gurupi,1212.161,Sem Região,Área-Programa Sul,IX,Alvorada,144371.891,214030.73,197774.796,218019.519,227895.808,231814.139,270766.427,17228.15,25589.52,23674.26,25478.5,26666.96,27157.23,31757.73
1720903,Taguatinga,139-Taguatinga,Outros,Capital,XVIII,Sudeste,Regiao Sudeste,1868,2437,13711,13169,14110,14528,14655,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,15048,Dianópolis,134,Região Sudeste,2437.386,Serras Gerais,Área-Programa Sudeste,X,Taguatinga,110350.203,144029.039,153236.357,193306.482,208493.116,265931.017,218948.067,7330.78,9478.09,9991.94,12133.98,12961.15,16377.08,13361.9
1718840,Sandolândia,120-Sandolândia,Javaés,Menor impacto re,XIV,,<Null>,1993,3529,3495,3332,3443,3543,3562,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,3326,Gurupi,106,Região Metropolitana de Gurupi,3528.609,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,Sandolândia,32763.171,37931.14,41454.366,47504.01,52196.59,60075.563,67606.736,9850.62,11404.43,12463.73,13926.71,15302.43,17617.47,19826.02
