cod_ibge_1,color,nome,shape_area,shape_leng,cod_ibge,last_modification_1,modified_by_1,ndc_est_ru,ndc_est_ur,ndc_mun_ru,ndc_mun_u,ndc_mun_ur,ndc_pa_ru,ndc_pa_ur,nde_e_ru,nde_e_ur,nde_m_ur,nde_pa_ur,ndeja_e_r,ndeja_e_ru,ndeja_e_u,ndeja_e_ur,ndeja_m_ru,ndeja_m_u,ndeja_m_ur,ndeja_p_ru,ndeja_p_u,ndeja_p_ur,ndeja_ur_f,ndf_es_ru,ndf_es_ur,ndf_mun_ru,ndf_mun_ur,ndf_pa_ru,ndf_pa_ur,ndm_es_ru,ndm_es_ur,ndm_mun_ru,ndm_mun_ur,ndm_pa_ru,ndm_pa_ur,ndm_ru_fe,ndm_ur_fe,ndp_es_ru,ndp_es_u,ndp_es_ur,ndp_mun_ru,ndp_pa_r,ndp_pa_ru,ndp_pa_u,ndp_pa_ur,ndp_ru_fe,ndp_ur_fe
1715150,0,Novo Alegre,0.01669267,0.82471451,1715150,,,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715754,0,Palmeirópolis,0.14408974,2.32739584,1715754,,,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29,0,19,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705557,1,Combinado,0.01738626,0.88734423,1705557,,,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,0,Araguaçu,0.43423682,4.61057761,1702000,,,0,0,1,10,9,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17,11,31,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1711506,1,Jaú do Tocantins,0.18039826,4.12178533,1711506,,,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1720978,2,Talismã,0.18054522,3.34800066,1720978,,,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702406,2,Arraias,0.48317993,4.96102093,1702406,,,0,0,1,9,9,0,2,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,19,57,34,13,0,19,21,22,0,0,0,11,0,0,0,0,0,1,0,0,0,4,0,0
1720259,2,São Salvador do Tocantins,0.11851932,2.47315908,1720259,,,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,12,0,0,6,7,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0
1700707,0,Alvorada,0.10035754,2.06829428,1700707,,,0,1,0,14,8,0,1,0,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0,24,0,31,0,12,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
1720903,1,Taguatinga,0.19467484,3.89704982,1720903,,,0,0,0,0,10,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,57,44,54,0,3,0,38,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
1718840,1,Sandolândia,0.29387878,2.92844259,1718840,,,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,12,1,17,0,0,6,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1716208,1,Paranã,0.93356125,7.20481156,1716208,,,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,37,60,16,0,0,11,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1707652,3,Figueirópolis,0.16083409,3.4147901,1707652,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,22,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720937,0,Taipas do Tocantins,0.09179554,1.79348715,1720937,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720853,1,Sucupira,0.08455531,1.97002317,1720853,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607,3,Conceição do Tocantins,0.21019648,2.75402783,1705607,,,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,22,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703867,0,Cariri do Tocantins,0.09346857,1.99587711,1703867,,,0,0,0,1,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,26,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708205,2,Formoso do Araguaia,1.11539588,6.78021573,1708205,,,0,0,0,0,20,0,0,0,0,0,8,0,0,9,12,0,3,0,1,0,0,0,27,37,18,77,30,16,15,32,0,0,12,10,0,0,0,0,0,4,4,0,0,2,0,0
1716604,3,Peixe,0.44024072,6.27408076,1716604,,,0,0,0,7,8,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,18,31,23,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
1709500,2,Gurupi,0.15289066,2.86938106,1709500,,,0,0,0,3,56,0,41,0,23,0,0,0,0,0,34,0,16,0,0,3,23,18,0,234,9,226,0,103,0,114,0,0,0,61,0,24,0,0,1,2,0,0,32,56,0,17
1718006,0,Porto Alegre do Tocantins,0.04198909,1.67835395,1718006,,,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,15,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720499,0,São Valério da Natividade,0.20907252,4.22019351,1720499,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,21,14,22,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705102,1,Chapada da Natividade,0.13598089,2.43800909,1705102,,,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,15,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1714203,2,Natividade,0.26889149,4.45987163,1714203,,,0,0,0,6,11,0,0,0,7,0,0,0,0,9,9,0,13,0,0,0,0,0,0,69,7,21,0,6,0,20,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0
1718907,2,Santa Rosa do Tocantins,0.14948567,2.66287868,1718907,,,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,12,17,0,3,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
1700350,0,Aliança do Tocantins,0.13092758,2.68385483,1700350,,,0,0,1,5,6,0,0,0,10,0,0,0,0,5,8,0,0,0,0,0,0,0,0,28,5,18,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1706258,1,Crixás do Tocantins,0.08142482,2.26875794,1706258,,,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707306,3,Dueré,0.28336958,4.05033347,1707306,,,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
