cod_ibge_1,color,last_modification,modified_by,nome,shape_area,shape_leng,d_eja_es,d_eja_fe,d_eja_mu,d_eja_pa,d_es_es,d_es_fe,d_es_mu,d_es_pa,do_cre_es,do_cre_mu,do_cre_pa,do_fu_es,do_fu_mu,do_fu_pa,do_me_es,do_me_fe,do_me_mu,do_me_pa,do_pre_es,do_pre_mu,do_pre_pa,do_pro_es,do_pro_fe,do_pro_mu,do_pro_pa
1715150,0,,,Novo Alegre,0.01669267,0.82471451,0,0,0,0,17,0,3,0,0,2,0,17,4,0,10,0,0,0,0,5,0,0,0,0,0
1715754,0,,,Palmeirópolis,0.14408974,2.32739584,0,0,8,0,29,0,16,0,0,8,0,21,23,5,12,0,0,5,0,10,0,0,0,4,0
1705557,1,,,Combinado,0.01738626,0.88734423,7,0,0,0,30,0,11,0,0,2,0,21,16,0,9,0,0,0,0,8,0,0,0,0,0
1702000,0,,,Araguaçu,0.43423682,4.61057761,19,0,0,0,42,0,27,0,0,9,0,17,44,0,27,0,0,0,0,12,0,27,0,0,0
1711506,1,,,Jaú do Tocantins,0.18039826,4.12178533,0,0,0,0,0,0,28,0,0,2,0,0,39,0,6,0,0,0,0,5,0,0,0,0,0
1720978,2,,,Talismã,0.18054522,3.34800066,7,0,0,0,7,0,12,0,0,1,0,0,33,0,8,0,0,0,0,5,0,0,0,0,0
1702406,2,,,Arraias,0.48317993,4.96102093,9,0,5,0,75,0,28,0,0,10,2,66,38,20,45,0,0,11,0,13,2,13,0,0,0
1720259,2,,,São Salvador do Tocantins,0.11851932,2.47315908,4,0,0,0,6,0,10,5,0,2,0,16,19,10,13,0,0,12,0,4,0,4,0,0,0
1700707,0,,,Alvorada,0.10035754,2.06829428,18,0,0,0,48,0,21,7,0,18,1,24,30,12,17,0,0,0,1,8,1,0,0,0,0
1720903,1,,,Taguatinga,0.19467484,3.89704982,17,0,0,0,28,0,46,0,0,0,0,50,91,5,33,0,0,0,0,14,3,0,0,0,0
1718840,1,,,Sandolândia,0.29387878,2.92844259,3,0,0,0,17,0,7,0,0,0,0,26,19,0,16,0,0,0,0,8,0,0,0,0,0
1716208,1,,,Paranã,0.93356125,7.20481156,0,0,13,0,48,0,18,0,0,6,0,46,77,0,33,0,0,0,0,12,0,0,0,0,0
1707652,3,,,Figueirópolis,0.16083409,3.4147901,0,0,0,0,23,0,20,0,0,0,0,13,24,0,11,0,0,0,0,7,0,0,0,0,0
1720937,0,,,Taipas do Tocantins,0.09179554,1.79348715,0,0,4,0,10,0,8,0,0,3,0,10,12,0,9,0,0,0,0,3,0,0,0,4,0
1720853,1,,,Sucupira,0.08455531,1.97002317,0,0,0,0,5,0,5,0,0,0,0,8,11,0,8,0,0,0,0,5,0,0,0,0,0
1705607,3,,,Conceição do Tocantins,0.21019648,2.75402783,0,0,0,0,18,0,13,0,0,6,0,18,25,0,15,0,0,0,0,6,0,0,0,0,0
1703867,0,,,Cariri do Tocantins,0.09346857,1.99587711,9,0,0,0,11,0,20,0,0,2,0,9,27,0,11,0,0,0,0,4,0,0,0,0,0
1708205,2,,,Formoso do Araguaia,1.11539588,6.78021573,17,0,6,11,41,0,50,20,0,0,0,61,87,53,45,0,0,27,0,15,5,0,5,0,5
1716604,3,,,Peixe,0.44024072,6.27408076,9,0,6,0,13,0,34,0,0,6,0,16,58,0,21,0,0,0,0,14,0,0,0,0,0
1709500,2,,,Gurupi,0.15289066,2.86938106,46,21,12,32,270,0,192,59,4,30,33,206,220,103,106,31,0,54,0,83,66,16,38,0,35
1718006,0,,,Porto Alegre do Tocantins,0.04198909,1.67835395,0,0,0,0,14,0,2,0,0,0,0,12,19,0,10,0,0,0,0,6,0,1,0,0,0
