cod_ibge,nome,mpre_mur,mpe_mru,mpe_pur,mur_ef,mru_ef,pur_ef,pru_ef,mru_em,pur_em,pru_em,ep_pur,ep_pru,mur_te,mru_te,pur_te,pru_te,mur_tee,mru_tee,pur_tee
1715150,Novo Alegre,58,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,121,0,0,488,0,0,0,0,0,31,0,0,34,0,0,0,0,0,0
1705557,Combinado,175,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702000,Araguaçu,96,7,0,852,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711506,Jaú do Tocantins,57,0,0,438,186,0,0,0,0,0,0,0,30,0,0,0,0,0,0
1720978,Talismã,42,8,0,436,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702406,Arraias,127,50,54,117,277,91,0,0,8,0,0,0,21,14,0,0,0,0,0
1720259,São Salvador do Tocantins,72,7,0,161,129,69,0,0,38,0,0,0,0,0,0,0,0,0,0
1700707,Alvorada,164,0,13,856,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1720903,Taguatinga,229,58,46,801,544,24,0,0,0,0,0,0,47,0,0,0,0,0,0
1718840,Sandolândia,58,14,0,289,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716208,Paranã,172,70,0,290,543,0,0,0,0,0,0,0,119,0,0,0,0,0,0
1707652,Figueirópolis,113,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720937,Taipas do Tocantins,70,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720853,Sucupira,54,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607,Conceição do Tocantins,131,0,0,101,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703867,Cariri do Tocantins,87,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708205,Formoso do Araguaia,304,22,28,1888,172,130,623,0,52,248,0,248,0,0,0,7,0,0,15
1716604,Peixe,163,118,0,394,790,0,0,0,0,0,0,0,69,35,0,0,0,0,0
1709500,Gurupi,902,32,886,4315,177,1131,0,0,404,0,563,0,351,0,396,0,0,0,0
1718006,Porto Alegre do Tocantins,77,0,0,280,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720499,São Valério da Natividade,57,0,0,289,145,0,0,0,0,0,0,0,48,0,0,0,0,0,0
1705102,Chapada da Natividade,61,0,0,273,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714203,Natividade,184,7,19,447,115,58,0,0,0,0,0,0,0,0,0,0,0,0,0
1718907,Santa Rosa do Tocantins,128,11,0,334,182,0,0,0,0,0,0,0,49,0,0,0,0,0,0
1700350,Aliança do Tocantins,87,5,20,486,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706258,Crixás do Tocantins,40,0,0,213,42,0,0,0,0,0,0,0,14,16,0,0,0,0,0
1707306,Dueré,105,0,0,299,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700400,Almas,177,0,7,690,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1717008,Pindorama do Tocantins,118,12,0,328,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709807,Ipueiras,38,18,0,131,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720655,Silvanópolis,151,0,0,408,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703701,Brejinho de Nazaré,136,8,0,533,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718899,Santa Rita do Tocantins,25,14,0,133,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707553,Fátima,90,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715507,Oliveira de Fátima,52,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711902,Lagoa da Confusão,219,8,16,931,113,38,0,27,0,0,0,0,0,0,0,0,0,0,0
1706100,Cristalândia,149,0,0,209,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1715002,Nova Rosalândia,87,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717909,Ponte Alta do Tocantins,134,0,0,191,285,0,0,0,0,0,0,0,32,0,0,0,58,0,0
1718451,Pugmil,68,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713601,Monte do Carmo,106,16,0,205,393,0,0,0,0,0,0,0,27,0,0,0,0,0,0
1719004,Santa Tereza do Tocantins,64,12,0,327,107,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1711951,Lagoa do Tocantins,147,0,0,467,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716109,Paraíso do Tocantins,821,82,338,1980,183,1242,0,0,231,0,72,0,144,8,84,0,0,0,0
1718204,Porto Nacional,884,203,496,973,669,1522,0,0,310,0,359,0,97,21,69,0,0,0,0
1704600,Chapada de Areia,25,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721000,Palmas,3931,113,2467,20348,1046,7015,0,0,1799,0,1162,0,1749,0,383,0,0,0,0
1715101,Novo Acordo,83,7,0,337,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720150,São Félix do Tocantins,46,10,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,18,6,0,308,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,125,0,0,536,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
1703107,Barrolândia,137,0,0,322,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712009,Lajeado,80,26,0,331,115,0,0,0,0,0,0,0,26,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,73,30,0,166,348,0,0,0,0,0,0,0,40,0,0,0,0,0,0
1713205,Miracema do Tocantins,385,0,85,913,496,154,0,0,0,0,0,0,0,0,0,0,0,0,0
1707108,Divinópolis do Tocantins,177,0,0,629,0,0,0,0,0,0,0,0,31,0,0,0,24,0,0
1721109,Tocantínia,148,25,0,329,209,0,0,0,170,0,0,0,0,0,33,0,0,0,0
1718758,Rio Sono,92,81,0,0,469,0,0,0,0,0,0,0,0,23,0,0,0,0,0
1717503,Pium,78,35,0,224,283,0,0,0,0,0,81,0,26,26,0,0,18,0,0
1713304,Miranorte,130,14,0,908,254,178,0,0,0,0,0,0,19,3,0,0,0,0,0
1700251,Abreulândia,37,0,0,208,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703909,Caseara,132,0,0,258,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718709,Rio dos Bois,78,3,0,0,92,0,0,0,0,0,0,0,5,16,0,0,0,0,0
1716505,Pedro Afonso,373,0,31,1017,51,101,0,0,17,0,23,0,10,0,0,0,0,0,0
1708254,Tabocão,122,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712405,Lizarda,31,0,0,198,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,67,4,0,160,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703305,Bom Jesus do Tocantins,103,0,0,245,109,0,0,0,0,0,0,0,59,0,0,0,0,0,0
1704105,Centenário,66,6,0,266,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721257,Tupirama,39,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,55,5,0,281,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718881,Santa Maria do Tocantins,76,0,0,394,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716703,Colméia,177,13,12,323,78,35,0,0,0,0,0,0,0,0,0,0,0,0,0
1701903,Araguacema,68,23,0,242,436,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1718501,Recursolândia,75,0,0,449,226,0,0,0,0,0,0,0,26,0,0,0,0,0,0
1718402,Presidente Kennedy,53,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1706001,Couto de Magalhães,127,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711100,Itaporã do Tocantins,44,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710508,Itacajá,142,0,0,258,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703602,Brasilândia do Tocantins,68,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721307,Tupiratins,61,0,0,147,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716653,Pequizeiro,92,22,0,389,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1711803,Juarina,58,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1710904,Itapiratins,68,0,0,293,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703842,Campos Lindos,79,10,15,999,536,64,0,0,0,0,0,0,46,6,0,0,0,0,0
1705508,Colinas do Tocantins,749,5,77,2049,40,333,0,73,151,0,144,0,172,0,0,0,0,0,0
1703206,Bernardo Sayão,61,45,0,264,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,58,20,0,221,155,0,0,0,0,0,0,0,8,0,0,0,0,0,0
1702307,Arapoema,145,0,0,639,0,0,0,0,0,0,35,0,85,0,0,0,0,0,0
1709005,Goiatins,190,250,0,391,1168,0,0,0,0,0,0,0,87,26,0,0,0,0,0
1715705,Palmeirante,75,0,0,138,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714880,Nova Olinda,236,17,0,388,343,165,0,0,0,0,148,0,109,0,0,0,0,0,0
1703073,Barra do Ouro,135,76,0,222,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1716307,Pau d'Arco,82,0,0,335,188,0,0,0,0,0,0,0,30,0,0,0,0,0,0
1707702,Filadélfia,133,63,0,214,637,0,0,0,0,0,0,0,0,37,0,0,0,0,0
1702109,Araguaína,2841,128,1332,6469,453,3768,0,0,843,0,659,0,879,5,314,0,0,0,0
1703883,Carmolândia,60,0,0,288,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
1703008,Babaçulândia,152,70,0,193,651,0,0,0,0,0,0,0,26,13,0,0,0,0,0
1718865,Santa Fé do Araguaia,113,29,26,504,295,41,0,0,0,0,0,0,63,49,0,0,0,0,0
1713957,Muricilândia,56,0,0,209,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1701309,Aragominas,122,30,0,490,141,0,0,0,0,0,0,0,11,0,0,0,0,0,0
1722081,Wanderlândia,195,60,7,239,569,36,0,0,0,0,0,0,62,46,0,0,0,0,0
1706506,Darcinópolis,143,0,0,466,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702158,Araguanã,103,22,0,435,79,0,0,0,0,0,0,0,26,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,108,55,0,344,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717206,Piraquê,32,0,0,254,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700301,Aguiarnópolis,155,2,0,654,15,0,0,0,0,0,0,0,72,0,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,51,19,0,113,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718550,Riachinho,72,78,0,475,372,0,0,0,0,0,0,0,0,21,0,0,0,0,0
1722107,Xambioá,227,0,17,471,80,47,0,0,0,0,0,0,45,0,0,0,0,0,0
1701051,Angico,79,25,0,180,131,0,0,0,0,0,0,0,12,0,0,0,0,0,0
1714302,Nazaré,103,64,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712454,Luzinópolis,117,0,0,279,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1721208,Tocantinópolis,557,92,77,470,175,115,0,0,0,0,55,0,0,0,0,0,0,0,0
1703826,Cachoeirinha,71,0,0,243,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
1701002,Ananás,293,9,26,524,157,0,0,0,0,0,52,0,0,0,0,0,0,0,0
1712801,Maurilândia do Tocantins,81,12,0,375,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720101,São Bento do Tocantins,43,77,0,166,242,0,0,0,0,0,0,0,10,37,0,0,0,0,0
1710706,Itaguatins,151,63,0,565,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702901,Axixá do Tocantins,227,137,72,1247,569,0,0,0,0,0,0,0,49,10,0,0,0,0,0
1720804,Sítio Novo do Tocantins,201,132,0,265,428,0,0,0,0,0,0,0,106,189,0,0,0,0,0
1720200,São Miguel do Tocantins,103,218,0,348,882,0,0,0,0,0,0,0,59,93,0,0,0,0,0
1702554,Augustinópolis,353,105,49,688,255,7,0,0,0,0,91,0,42,0,0,0,0,0,0
1718303,Praia Norte,189,118,0,645,711,0,0,0,0,0,0,0,321,367,0,0,0,0,0
1702208,Araguatins,195,169,218,1571,1464,161,0,0,0,0,86,0,173,0,0,0,0,0,45
1703800,Buriti do Tocantins,203,66,0,571,151,0,0,0,0,0,0,0,47,0,0,0,0,0,0
1703891,Carrasco Bonito,72,45,0,259,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718808,Sampaio,134,18,0,474,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707405,Esperantina,267,119,0,1082,726,0,0,0,0,0,0,0,116,62,0,0,0,0,0
1720309,São Sebastião do Tocantins,111,20,0,277,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712157,Lavandeira,32,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702703,Aurora do Tocantins,64,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,83,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715259,Novo Jardim,77,5,0,221,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707009,Dianópolis,456,54,35,735,453,29,0,0,0,0,0,0,0,0,0,0,0,0,39
1718659,Rio da Conceição,68,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1712702,Mateiros,70,0,0,201,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1709302,Guaraí,407,29,204,957,193,770,0,0,86,0,289,0,24,0,0,0,0,0,0
