cod_ibge,nome,nmc_mru,nmc_mur,nmc_pru,nmc_pur,nmee_eur,nmee_mur,nmee_pur,nmee_ru,nmeef_eru,nmeef_eur,nmeef_mru,nmeef_pur,nmeem_eru,nmeem_eur,nmeem_fur,nmeem_mur,nmeem_pru,nmeem_pur,nmef_eru,nmef_eur,nmef_mru,nmef_mu,nmef_mur,nmef_pru,nmef_pur,nmem_eru,nmem_eur,nmem_mru,nmem_pru,nmem_pur,nmem_ruf,nmem_urf,nmep_eur,nmep_fru,nmep_fur,nmep_pru,nmep_pur,nmpe_mru,nmpe_mur,nmpe_pru,nmpe_pur
1715150,Novo Alegre,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,51,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,59,0,0
1715754,Palmeirópolis,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,0,21,428,49,0,0,277,0,0,0,0,0,0,0,0,0,0,0,204,0,0
1705557,Combinado,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467,0,0,325,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,149,0,0
1702000,Araguaçu,8,128,0,0,80,0,0,0,0,0,0,0,0,19,0,0,0,0,0,284,109,0,797,0,0,0,410,0,0,0,0,0,0,0,0,0,0,8,160,0,0
1711506,Jaú do Tocantins,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,383,0,0,0,144,0,0,0,0,0,0,0,0,0,0,22,59,0,0
1720978,Talismã,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,405,0,0,0,107,0,0,0,0,0,0,0,0,0,0,8,66,0,0
1702406,Arraias,26,202,0,11,0,0,0,0,0,0,94,0,0,98,0,0,0,0,213,1004,265,16,285,0,101,137,385,0,0,23,0,0,0,0,0,0,0,59,208,0,43
1720259,São Salvador do Tocantins,6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,121,112,0,151,0,0,67,47,0,0,78,0,0,0,0,0,0,0,13,54,0,0
1700707,Alvorada,0,147,0,14,75,0,0,0,0,60,0,0,0,0,0,0,0,0,0,496,0,0,787,0,69,0,471,0,0,0,0,0,0,0,0,0,0,0,186,0,29
1720903,Taguatinga,0,0,0,0,0,0,0,0,0,51,0,0,0,91,0,0,0,0,0,1189,450,0,1004,0,35,0,531,0,0,0,0,0,0,0,0,0,0,52,262,0,42
1718840,Sandolândia,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,129,221,12,0,311,0,0,13,126,0,0,0,0,0,0,0,0,0,0,16,80,0,0
1716208,Paranã,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,848,577,90,351,0,0,102,343,0,0,0,0,0,0,0,0,0,0,117,163,0,0
1707652,Figueirópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,0,0,445,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,142,0,0
1720937,Taipas do Tocantins,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,205,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,63,0,0
1720853,Sucupira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,180,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,55,0,0
1705607,Conceição do Tocantins,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,8,0,516,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,81,0,0
1703867,Cariri do Tocantins,0,33,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,89,0,0,523,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,85,0,0
1708205,Formoso do Araguaia,0,0,0,0,0,0,50,0,0,46,0,0,0,109,0,0,4,0,322,607,177,53,1696,601,127,63,579,0,231,45,0,0,0,0,0,151,0,34,413,0,38
1716604,Peixe,0,136,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,411,631,77,541,0,0,0,430,0,0,0,0,0,0,0,0,0,0,85,179,0,0
1709500,Gurupi,0,50,0,390,100,0,0,0,0,62,0,29,0,348,55,0,0,367,0,5469,152,274,4737,0,1650,0,2667,0,0,471,0,122,0,0,159,0,648,23,1164,0,998
1718006,Porto Alegre do Tocantins,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,40,0,277,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,97,0,0
1720499,São Valério da Natividade,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,370,90,30,314,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,100,0,0
1705102,Chapada da Natividade,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,33,0,301,0,0,0,117,0,0,0,0,0,0,0,0,0,0,10,85,0,0
1714203,Natividade,0,76,0,0,31,0,0,0,0,55,0,0,0,113,0,0,0,0,0,986,65,34,409,0,59,0,450,0,0,0,0,0,152,0,0,0,0,9,241,0,22
1718907,Santa Rosa do Tocantins,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,143,20,432,0,22,0,230,0,0,0,0,0,0,0,0,0,0,9,67,0,13
1700350,Aliança do Tocantins,1,86,0,0,62,0,0,0,0,31,0,0,0,49,0,0,0,0,0,452,39,0,430,0,0,0,239,0,0,0,0,0,0,0,0,0,0,2,124,0,0
1706258,Crixás do Tocantins,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,29,0,170,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1707306,Dueré,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,350,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,127,0,0
1700400,Almas,0,60,0,15,0,0,0,0,0,25,0,0,0,58,0,0,0,0,12,605,58,0,671,0,33,85,315,0,0,0,0,0,0,0,0,0,0,0,207,0,10
1717008,Pindorama do Tocantins,0,63,0,0,0,0,0,0,0,13,0,0,0,38,0,0,0,0,0,489,29,0,363,0,0,0,164,0,0,0,0,0,0,0,0,0,0,3,123,0,0
1709807,Ipueiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,85,28,139,0,0,0,64,0,0,0,0,0,0,0,0,0,0,14,43,0,0
1720655,Silvanópolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,531,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,184,0,0
1703701,Brejinho de Nazaré,0,78,0,4,0,0,0,0,0,79,0,0,0,56,0,0,0,0,0,359,23,0,539,0,7,0,210,0,0,0,0,0,0,0,0,0,0,4,154,0,11
1718899,Santa Rita do Tocantins,0,17,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,87,167,0,141,0,0,0,78,0,0,0,0,0,0,0,0,0,0,15,20,0,0
1707553,Fátima,0,59,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,323,0,0,323,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,112,0,0
1715507,Oliveira de Fátima,0,0,0,0,0,0,0,0,0,11,0,0,0,41,0,0,0,0,0,0,0,137,302,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,58,0,0
1711902,Lagoa da Confusão,0,190,0,0,23,0,0,0,0,0,0,0,0,79,0,0,0,0,692,490,86,0,1029,0,83,110,384,24,0,0,0,0,0,0,0,0,0,11,289,0,42
1706100,Cristalândia,0,60,0,0,31,0,0,0,0,0,0,0,0,37,0,0,0,0,0,882,0,9,298,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,215,0,0
1715002,Nova Rosalândia,0,59,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,67,277,0,0,201,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,104,0,0
