cod_ibge,nome,mec_e,mec_m,mec_p,me_pe_e,me_pe_m,me_pe_p,mef_e,mef_m,mef_p,me_mf,me_m,me_mm,me_mp,mep_f,mep_e,mep_mu,mep_p,mee_f,mee_es,mee_mu,mee_p,mee_fe,mee_e,mee_m,mee_par
1715150,Novo Alegre,0,27,0,0,59,0,294,51,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,0,117,0,0,213,0,715,484,20,0,312,0,26,0,0,56,0,0,0,199,0,0,0,56,0
1705557,Combinado,0,26,0,0,133,0,457,344,0,0,190,0,0,0,0,0,0,0,31,0,0,0,0,0,0
1702000,Araguaçu,0,92,0,0,188,0,296,880,0,0,380,0,0,0,172,0,0,0,80,0,0,0,172,0,0
1711506,Jaú do Tocantins,0,25,0,0,74,0,0,619,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720978,Talismã,0,8,0,0,56,0,0,481,0,0,98,0,0,0,0,0,0,0,9,0,0,0,0,0,0
1702406,Arraias,0,129,15,0,310,30,1107,652,127,0,521,0,21,0,116,0,0,0,108,74,0,0,116,0,0
1720259,São Salvador do Tocantins,0,55,0,0,47,0,199,283,51,0,104,0,48,0,20,0,0,0,20,0,0,0,20,0,0
1700707,Alvorada,0,93,7,6,164,31,447,806,75,0,449,0,0,0,0,0,0,0,129,0,0,0,0,0,0
1720903,Taguatinga,0,0,0,0,326,35,1075,1551,49,0,476,0,0,0,0,0,0,0,140,0,0,0,0,0,0
1718840,Sandolândia,0,0,0,0,89,0,385,361,0,0,152,0,0,0,0,0,0,0,7,0,0,0,0,0,0
1716208,Paranã,0,112,0,0,251,0,1049,974,0,0,448,0,0,0,0,0,0,0,0,109,0,0,0,0,0
1707652,Figueirópolis,0,0,0,0,94,0,379,462,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1720937,Taipas do Tocantins,0,36,0,0,47,0,169,228,0,0,74,0,0,0,0,23,0,0,0,23,0,0,0,23,0
1720853,Sucupira,0,0,0,0,52,0,147,193,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705607,Conceição do Tocantins,0,64,0,0,74,0,377,527,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703867,Cariri do Tocantins,0,21,0,0,73,0,75,536,0,0,180,0,0,0,0,0,0,0,39,0,0,0,0,0,0
1708205,Formoso do Araguaia,0,0,0,0,334,30,910,2012,715,0,652,0,267,57,0,0,68,0,142,75,66,57,0,0,68
1716604,Peixe,0,87,0,0,230,0,398,1231,0,0,367,0,0,0,0,0,0,0,45,41,0,0,0,0,0
1709500,Gurupi,16,168,341,0,1379,1072,5262,4792,1741,115,2716,0,549,266,39,0,507,31,319,193,428,266,39,0,507
1718006,Porto Alegre do Tocantins,0,18,0,0,82,0,215,336,0,0,155,0,0,0,22,0,0,0,0,0,0,0,22,0,0
1720499,São Valério da Natividade,0,27,0,0,85,0,320,419,0,0,131,0,0,0,0,0,0,0,0,55,0,0,0,0,0
1705102,Chapada da Natividade,0,13,0,0,74,0,279,345,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1714203,Natividade,0,50,0,0,205,12,869,608,78,0,400,0,0,0,159,0,0,0,210,0,0,0,159,0,0
1718907,Santa Rosa do Tocantins,0,91,0,0,72,13,335,581,31,0,286,0,0,0,0,0,0,0,0,23,0,0,0,0,0
1700350,Aliança do Tocantins,1,102,0,10,133,0,419,456,0,0,228,0,0,0,0,0,0,0,115,0,0,0,0,0,0
1706258,Crixás do Tocantins,0,48,0,0,59,0,69,249,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1707306,Dueré,0,10,0,0,95,0,269,388,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700400,Almas,0,26,6,0,192,10,582,763,33,0,364,0,0,0,97,0,0,0,54,0,0,0,97,0,0
1717008,Pindorama do Tocantins,0,43,0,0,114,0,460,473,0,0,163,0,0,0,0,0,0,0,53,0,0,0,0,0,0
1709807,Ipueiras,0,0,0,0,67,0,91,245,0,0,81,0,0,0,0,0,0,0,33,0,0,0,0,0,0
1720655,Silvanópolis,0,14,0,0,168,0,374,584,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703701,Brejinho de Nazaré,0,57,0,0,177,0,287,583,0,0,176,0,0,0,0,0,0,0,116,0,0,0,0,0,0
