cod_ibge,nome,ta_ef_eur,ta_ef_eru,ta_ef_mur,ta_ef_mru,ta_ef_pur,ta_ef_pru,ta_em_eur,ta_em_eru,ta_em_mru,ta_em_pur,ta_em_fur,ta_em_fru
1715150,Novo Alegre,0.3,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,1.8,0,0.2,0,0,4.2,2.6,0,0,0,0,0
1705557,Combinado,1.4,0,0.4,0,0,0,3.5,0,0,0,0,0
1702000,Araguaçu,4.9,0,0.5,3.4,0,0,7.2,0,0,0,0,0
1711506,Jaú do Tocantins,0,0,2.9,0,0,0,8.1,0,0,0,0,0
1720978,Talismã,0,0,3.2,3.3,0,0,13.5,0,0,0,0,0
1702406,Arraias,1.7,1.7,0,2.1,0,0,6.5,2.3,0,0,0,0
1720259,São Salvador do Tocantins,6.5,4.6,0,0.9,0,0,8.7,1.8,0,0,0,0
1700707,Alvorada,2.2,0,0.5,0,0,0,5.1,0,0,0,0,0
1720903,Taguatinga,0.5,0,1.7,3.3,0,0,5.7,0,0,0,0,0
1718840,Sandolândia,4.9,9.3,1.4,0,0,0,2.6,9.5,0,0,0,0
1716208,Paranã,1.5,1,0,2.5,0,0,10.6,3.4,0,0,0,0
1707652,Figueirópolis,2.7,0,0,0,0,0,7,0,0,0,0,0
1720937,Taipas do Tocantins,6.3,0,0,0,0,0,4.1,0,0,0,0,0
1720853,Sucupira,0.7,0,0,0,0,0,1.7,0,0,0,0,0
1705607,Conceição do Tocantins,3.3,0,0.7,2.3,0,0,4.7,0,0,0,0,0
1703867,Cariri do Tocantins,3.4,0,2.2,0,0,0,7.3,0,0,0,0,0
1708205,Formoso do Araguaia,2.3,25.2,0.3,0,0,0,7.3,34.3,0,0,0,0
1716604,Peixe,1.1,0,1.1,1.5,0,0,10,7.3,0,0,0,0
1709500,Gurupi,0.4,0,1.6,0.5,0,0,8.6,0,0,0.5,0,0
1718006,Porto Alegre do Tocantins,5.1,0,0,2.6,0,0,6.8,0,0,0,0,0
1720499,São Valério da Natividade,0,0,0,1.7,0,0,3.3,0,0,0,0,0
1705102,Chapada da Natividade,4.6,0,0.4,3.1,0,0,3.5,0,0,0,0,0
1714203,Natividade,1.5,0,2.2,2.3,0,0,9.7,0,0,0,0,0
1718907,Santa Rosa do Tocantins,0,0,3,2.3,0,0,7.9,0,0,0,0,0
1700350,Aliança do Tocantins,0.4,0,0,0,0,0,5.4,0,0,0,0,0
1706258,Crixás do Tocantins,2.6,0,0.6,3.2,0,0,9.7,0,0,0,0,0
1707306,Dueré,2.8,0,0.6,0,0,0,3.5,0,0,0,0,0
1700400,Almas,1.7,1.6,0.1,0,0,0,8.3,3.2,0,0,0,0
1717008,Pindorama do Tocantins,5.7,0,0,0,0,0,4,0,0,0,0,0
1709807,Ipueiras,0,0,0.7,4.6,0,0,4.8,0,0,0,0,0
1720655,Silvanópolis,2.6,0,1.4,0,0,0,8.1,0,0,0,0,0
1703701,Brejinho de Nazaré,0.4,0,0.4,5.6,0,0,0,0,0,0,0,0
1718899,Santa Rita do Tocantins,3.9,0,0,3.2,0,0,3.2,0,0,0,0,0
1707553,Fátima,4.1,0,1.5,0,0,0,7.9,0,0,0,0,0
1715507,Oliveira de Fátima,0,0,1.7,0,0,0,7,0,0,0,0,0
1711902,Lagoa da Confusão,1.4,15,1.3,1.1,0,0,12,34.3,7.7,0,0,0
1706100,Cristalândia,0.5,0,0.9,0,0,0,10.1,0,0,0,0,0
1715002,Nova Rosalândia,0.6,0,0,0,0,0,8.4,0,0,0,0,0
1717909,Ponte Alta do Tocantins,0.8,0,3.2,10.9,0,0,12.3,0,0,0,0,0
1718451,Pugmil,1.3,0,2.3,0,0,0,8.7,0,0,0,0,0
1713601,Monte do Carmo,0.3,5.1,1.5,5.4,0,0,1.7,6.4,0,0,0,0
1719004,Santa Tereza do Tocantins,6.9,0,0,0.9,0,0,2.6,0,0,0,0,0
1711951,Lagoa do Tocantins,4.2,0,0,3.1,0,0,2,0,0,0,0,0
1716109,Paraíso do Tocantins,0.7,0,0.1,0,0,0,8.7,0,0,0,4.1,0
1718204,Porto Nacional,1.3,1,1.4,1.5,0,0,8.2,5.7,0,0,1.6,0
