cod_ibge,nome,ta_ef_eur,ta_ef_eru,ta_ef_mur,ta_ef_mru,ta_ef_pur,ta_em_eur,ta_em_eru,ta_em_mru,ta_em_pur,ta_em_fur,ta_em_fru
1715150,Novo Alegre,0,0,0,0,0,0,0,0,0,0,0
1715754,Palmeirópolis,4.1,0,0.2,0,0,5.5,0,0,0,0,0
1705557,Combinado,0,0,0,0,0,4.2,0,0,0,0,0
1702000,Araguaçu,3.1,0,0,1.8,0,5.1,0,0,0,0,0
1711506,Jaú do Tocantins,0,0,1.8,0,0,10.5,0,0,0,0,0
1720978,Talismã,0,0,0,1.5,0,7.7,0,0,0,0,0
1702406,Arraias,0.7,0.9,0.3,2.2,0,7.6,0,0,0,0,0
1720259,São Salvador do Tocantins,4.8,1.2,0,0,0,6,3.5,0,0,0,0
1700707,Alvorada,4.8,0,0.6,0,0,7.7,0,0,0,0,0
1720903,Taguatinga,0.9,0,4.5,4,2,3,0,0,0,0,0
1718840,Sandolândia,4.2,0.7,2.1,3.8,0,5.5,5.3,0,0,0,0
1716208,Paranã,1.1,2.8,0.9,5.4,0,7.7,6.2,0,0,0,0
1707652,Figueirópolis,0.3,0,0,0,0,5.9,0,0,0,0,0
1720937,Taipas do Tocantins,3.1,0,0.9,0,0,1.4,0,0,0,0,0
1720853,Sucupira,2,0,0.5,0,0,0,0,0,0,0,0
1705607,Conceição do Tocantins,0.9,0,0.8,3.8,0,1.8,0,0,0,0,0
1703867,Cariri do Tocantins,8.1,0,1,0,0,7.6,0,0,0,0,0
1708205,Formoso do Araguaia,0.5,11.3,0.3,1.6,0,3.6,20.9,0,0,0,0
1716604,Peixe,0.2,0,0.7,1.9,0,5,0,0,0,0,0
1709500,Gurupi,0.5,0,1.2,1.9,0,5.9,0,0,0.4,7.5,0
1718006,Porto Alegre do Tocantins,3.3,0,0.9,0,0,3.2,0,0,0,0,0
1720499,São Valério da Natividade,0.6,0,0,1.5,0,2.2,0,0,0,0,0
1705102,Chapada da Natividade,7.1,0,0.6,0,0,4.2,0,0,0,0,0
1714203,Natividade,1.5,0,0.4,0,0,6.6,0,0,0,0,0
1718907,Santa Rosa do Tocantins,0,0,1.5,2.3,0,8.4,0,0,0,0,0
1700350,Aliança do Tocantins,0.7,0,0,0,0,4.5,0,0,0,0,0
1706258,Crixás do Tocantins,0,0,0.5,0,0,0,0,0,0,0,0
1707306,Dueré,2.8,0,1.1,0,0,4.2,0,0,0,0,0
1700400,Almas,2.8,18.2,0.4,0,0,12.9,1.3,0,0,0,0
