cod_ibge,nome,ta_ef_eur,ta_ef_eru,ta_ef_mur,ta_ef_mru,ta_ef_pur,ta_ef_pru,ta_em_eur,ta_em_eru,ta_em_mru,ta_em_pur,ta_me_pru,ta_em_fur,ta_em_fru
1715150,Novo Alegre,86,0,100,0,0,0,81.6,0,0,0,0,0,0
1715754,Palmeirópolis,83.7,0,98.7,0,0,95.8,89.2,0,0,0,100,0,0
1705557,Combinado,93.2,0,99.3,0,0,0,85.5,0,0,0,0,0,0
1702000,Araguaçu,91.6,0,95.2,94.9,0,0,83.2,0,0,0,0,0,0
1711506,Jaú do Tocantins,0,0,86.6,98.3,0,0,86.7,0,0,0,0,0,0
1720978,Talismã,0,0,88.1,95,0,0,73.9,0,0,0,0,0,0
1702406,Arraias,85.3,87,99.5,96.1,100,0,78.8,93.9,0,100,0,0,0
1720259,São Salvador do Tocantins,64.8,81.5,85.9,86.4,92.6,0,65.2,94.8,0,98.3,0,0,0
1700707,Alvorada,89.7,0,95.4,0,96.1,0,91,0,0,0,0,0,0
1720903,Taguatinga,85.8,0,89.5,83,100,0,79.4,0,0,0,0,0,0
1718840,Sandolândia,85.7,86,95.7,100,0,0,90.4,90.5,0,0,0,0,0
1716208,Paranã,81.3,93.2,97.4,93.2,0,0,74.9,93.2,0,0,0,0,0
1707652,Figueirópolis,90.9,0,97.1,0,0,0,81.5,0,0,0,0,0,0
1720937,Taipas do Tocantins,84.1,0,98.8,0,0,0,90.4,0,0,0,0,0,0
1720853,Sucupira,77.9,0,83.4,0,0,0,95,0,0,0,0,0,0
1705607,Conceição do Tocantins,74.5,0,99.3,81,0,0,89.4,0,0,0,0,0,0
1703867,Cariri do Tocantins,81.8,0,91.2,0,0,0,89.4,0,0,0,0,0,0
1708205,Formoso do Araguaia,88.2,64.2,93.1,98.4,97,98.5,83.4,59.7,0,93,99.6,0,0
1716604,Peixe,90.4,0,93.1,88,0,0,85.4,83.2,0,0,0,0,0
1709500,Gurupi,90.6,0,90.4,93.2,96.8,0,73.6,0,0,92.1,0,63.5,0
1718006,Porto Alegre do Tocantins,89.3,0,91.6,92.1,0,0,87.8,0,0,0,0,0,0
1720499,São Valério da Natividade,92.2,0,92,93.8,0,0,80.7,0,0,0,0,0,0
1705102,Chapada da Natividade,69.7,0,94,84.4,0,0,85.3,0,0,0,0,0,0
1714203,Natividade,89.5,0,91.5,94.3,100,0,79.7,0,0,0,0,0,0
1718907,Santa Rosa do Tocantins,87.1,0,88,93.9,0,0,73.4,0,0,0,0,0,0
1700350,Aliança do Tocantins,92.3,0,93.9,97.8,0,0,85.2,0,0,0,0,0,0
1706258,Crixás do Tocantins,81,0,92.7,96.8,0,0,87.5,0,0,0,0,0,0
1707306,Dueré,90.2,0,90.8,100,0,0,91.5,0,0,0,0,0,0
1700400,Almas,93.7,87.5,98.6,98.6,97.6,0,80.6,83.9,0,0,0,0,0
1717008,Pindorama do Tocantins,83.4,0,92.7,100,0,0,91.4,0,0,0,0,0,0
1709807,Ipueiras,84.9,0,96.5,88.5,0,0,88.7,0,0,0,0,0,0
1720655,Silvanópolis,93.6,0,93.3,90.9,0,0,85.3,0,0,0,0,0,0
1703701,Brejinho de Nazaré,90.1,0,90.4,94.4,0,0,91,0,0,0,0,0,0
1718899,Santa Rita do Tocantins,93.1,0,97.9,89.1,0,0,95.2,0,0,0,0,0,0
1707553,Fátima,86,0,88.4,0,0,0,85.6,0,0,0,0,0,0
1715507,Oliveira de Fátima,0,0,81.8,0,0,0,86,0,0,0,0,0,0
1711902,Lagoa da Confusão,91.7,79.7,95.7,98.9,98.5,0,79.6,62.6,92.3,0,0,0,0
1706100,Cristalândia,78,0,90.6,0,0,0,64.2,0,0,0,0,0,0
1715002,Nova Rosalândia,93.7,100,98.8,0,0,0,72,0,0,0,0,0,0
1717909,Ponte Alta do Tocantins,89.7,0,90.4,85,0,0,81.1,0,0,0,0,0,0
1718451,Pugmil,86.4,0,92.7,0,0,0,69.9,0,0,0,0,0,0
1713601,Monte do Carmo,94.3,84.6,96.6,77.9,0,0,83.5,88.7,0,0,0,0,0
1719004,Santa Tereza do Tocantins,76.7,0,96.1,88.2,0,0,90.2,0,0,0,0,0,0
1711951,Lagoa do Tocantins,89.2,0,97.1,93.9,0,0,96,0,0,0,0,0,0
1716109,Paraíso do Tocantins,85.2,0,95.6,96.8,98.7,0,70.6,0,0,93.8,0,69.4,0
1718204,Porto Nacional,90.3,87.8,95,91,98,0,81.9,86.4,0,92.4,0,79.4,0
1704600,Chapada de Areia,0,0,94.8,0,0,0,0,0,0,0,0,0,0
1721000,Palmas,88.7,94.8,94.9,94.9,96.4,0,75,0,0,88.1,0,72,0
1715101,Novo Acordo,84.5,0,88.2,96.3,0,0,86.4,0,0,0,0,0,0
1720150,São Félix do Tocantins,93.2,0,0,98.6,0,0,85.9,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,0,96.8,98.8,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,81.9,0,95.7,0,0,0,88,0,0,0,0,0,0
1703107,Barrolândia,81.8,0,89.7,0,0,0,91.1,0,0,0,0,0,0
1712009,Lajeado,91.3,0,89.6,92.5,0,0,87,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,87.9,0,98.4,93.8,0,0,67.3,0,0,0,0,0,0
1713205,Miracema do Tocantins,85.5,0,82.9,88.6,97.9,0,64,0,0,0,0,0,0
1707108,Divinópolis do Tocantins,96.3,0,98.1,0,0,0,85.9,0,0,0,0,0,0
1721109,Tocantínia,85.9,82.9,95.3,86.6,0,0,78.1,77.7,0,0,0,0,0
1718758,Rio Sono,94.2,95.1,0,95,0,0,86.3,94.6,0,0,0,0,0
1717503,Pium,90.9,0,88.9,94.5,0,0,81.3,0,0,0,0,0,0
1713304,Miranorte,89.8,0,85.4,81.6,98.2,0,84.3,0,0,0,0,0,0
1700251,Abreulândia,87.1,0,96.8,98.9,0,0,85.9,0,0,0,0,0,0
1703909,Caseara,88.9,0,98.5,95.1,0,0,87.5,0,0,0,0,0,0
1718709,Rio dos Bois,78.9,0,100,100,0,0,73.8,0,0,0,0,0,0
1716505,Pedro Afonso,89.4,95.3,96.9,100,98.9,0,92.5,100,0,100,0,0,0
1708254,Tabocão,93.6,0,94.4,0,0,0,94.9,0,0,0,0,0,0
1712405,Lizarda,92.6,93.7,93.4,84.4,0,0,91.6,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,85.4,0,99.5,97.5,0,0,81.8,0,0,0,0,0,0
1703305,Bom Jesus do Tocantins,96.7,0,99.1,89.7,0,0,96.7,0,0,0,0,0,0
1704105,Centenário,97.5,0,93.2,91.8,0,0,93.7,0,0,0,0,0,0
