cod_ibge_1,nome,abe,ta_ef_eru,ta_ef_eur,ta_ef_mru,ta_ef_mur,ta_ef_pru,ta_ef_pur,ta_em_eru,ta_em_eur,ta_em_fru,ta_em_fur,ta_em_mru,ta_em_pur
1715150,Novo Alegre,0,0,0,0,100,0,0,0,92.2,0,0,0,0
1715754,Palmeirópolis,0,0,0,0,94.9,100,0,0,77.2,0,100,0,0
1705557,Combinado,0,0,0,0,96.6,0,0,0,91.6,0,0,0,0
1702000,Araguaçu,0,0,0,96.4,95.9,0,0,0,82.7,0,0,0,0
1711506,Jaú do Tocantins,0,0,0,95.2,87.8,0,0,0,72.6,0,0,0,0
1720978,Talismã,0,0,0,94.2,92.2,0,0,0,79.3,0,0,0,0
1702406,Arraias,0,79.1,0,83.2,85.3,0,100,99.2,80.8,0,0,0,100
1720259,São Salvador do Tocantins,0,74.4,0,85.5,92.8,0,85.1,93,72,0,0,0,100
1700707,Alvorada,0,0,88.7,0,94.9,0,94.7,0,83.2,0,0,0,0
1720903,Taguatinga,0,0,0,70.3,78.4,0,98,0,80.1,0,0,0,0
1718840,Sandolândia,0,94.3,89.4,96.2,85.1,0,0,94.7,88.9,0,0,0,0
1716208,Paranã,0,89.7,0,84.8,86.9,0,0,93.8,87.2,0,0,0,0
1707652,Figueirópolis,0,0,0,0,98,0,0,0,81.1,0,0,0,0
1720937,Taipas do Tocantins,0,0,0,0,84.6,0,0,0,87,0,0,0,0
1720853,Sucupira,0,0,0,0,88.2,0,0,0,95.4,0,0,0,0
1705607,Conceição do Tocantins,0,0,61.9,88.5,82.6,0,0,0,83.3,0,0,0,0
1703867,Cariri do Tocantins,0,0,0,0,82.8,0,0,0,82.5,0,0,0,0
1708205,Formoso do Araguaia,0,82.4,88.4,97.3,94.2,94.5,99.3,68.7,79.4,0,94.1,0,94.6
1716604,Peixe,0,0,85.7,84.7,89.7,0,0,0,67.6,0,0,0,0
1709500,Gurupi,,0,0,89.2,92.8,0,98.2,0,79.3,86.8,0,0,92
1718006,Porto Alegre do Tocantins,0,0,0,100,88.4,0,0,0,87.1,0,0,0,0
1720499,São Valério da Natividade,0,0,0,0,93.1,0,0,0,0,0,0,0,0
1705102,Chapada da Natividade,0,0,0,92.9,90.1,0,0,0,83.9,0,0,0,0
1714203,Natividade,0,0,0,93.3,96.5,0,100,0,79.3,0,0,0,0
1718907,Santa Rosa do Tocantins,0,0,0,91.6,89.6,0,96.8,0,88.5,0,0,0,0
1700350,Aliança do Tocantins,0,0,0,0,93.2,0,0,0,83.8,0,0,0,0
1706258,Crixás do Tocantins,0,0,80.9,95.5,89.8,0,0,0,83.3,0,0,0,0
1707306,Dueré,0,0,90.6,0,86.1,0,0,0,92.6,0,0,0,0
1700400,Almas,0,81.8,0,96.2,94.6,0,96.9,97.3,78.8,0,0,0,0
1717008,Pindorama do Tocantins,0,0,0,96.9,96.8,0,0,0,90.1,0,0,0,0
1709807,Ipueiras,0,0,88,73.3,90.5,0,0,0,77.8,0,0,0,0
1720655,Silvanópolis,0,0,0,0,91.2,0,0,0,86.2,0,0,0,0
