cod_ibge,nome,cod_ibge_1_1,nome_1,ti_snf_eur,ti_stf_eru,ti_stf_mru,ti_stf_mur,ti_stf_pru,ti_stf_pur,ti_stm_eru,ti_stm_eur,ti_stm_fru,ti_stm_fur,ti_stm_mru,ti_stm_pru,ti_stm_pur
1715150,Novo Alegre,1715150,Novo Alegre,23.4,0,0,19.4,0,0,0,23.1,0,0,0,0,0
1715754,Palmeirópolis,1715754,PalmeirÃ³polis,22.9,0,0,10.9,8,0,0,34.9,0,0,0,0,0
1705557,Combinado,1705557,Combinado,16.5,0,0,8.7,0,0,0,18.1,0,0,0,0,0
1702000,Araguaçu,1702000,AraguaÃ§u,26.5,0,12,16.8,0,0,0,22.9,0,0,0,0,0
1711506,Jaú do Tocantins,1711506,JaÃº do Tocantins,0,0,13,22,0,0,0,27.3,0,0,0,0,0
1720978,Talismã,1720978,TalismÃ£,0,0,24,20.1,0,0,0,47.1,0,0,0,0,0
1702406,Arraias,1702406,Arraias,26,39,36,6.2,0,1,47,30.1,0,0,0,0,0
1720259,São Salvador do Tocantins,1720259,SÃ£o Salvador do Tocantins,44.8,36,23,22.5,0,41,37,40,0,0,0,0,18
1700707,Alvorada,1700707,Alvorada,13.4,0,0,14.2,0,4,0,30.7,0,0,0,0,0
1720903,Taguatinga,1720903,Taguatinga,29.3,0,43,26.9,0,0,0,36.7,0,0,0,0,0
1718840,Sandolândia,1718840,SandolÃ¢ndia,27.1,34,0,19.6,0,0,30,23.1,0,0,0,0,0
1716208,Paranã,1716208,ParanÃ£,30.3,36,41,16.3,0,0,44,57.7,0,0,0,0,0
1707652,Figueirópolis,1707652,FigueirÃ³polis,25.3,0,0,14.4,0,0,0,24.6,0,0,0,0,0
1720937,Taipas do Tocantins,1720937,Taipas do Tocantins,42.6,0,0,6.5,0,0,0,43.6,0,0,0,0,0
1720853,Sucupira,1720853,Sucupira,28.5,0,0,20.2,0,0,0,29.9,0,0,0,0,0
1705607,Conceição do Tocantins,1705607,ConceiÃ§Ã£o do Tocantins,45.3,0,37,7.7,0,0,0,44.4,0,0,0,0,0
1703867,Cariri do Tocantins,1703867,Cariri do Tocantins,32.9,0,0,29.2,0,0,0,44,0,0,0,0,0
1708205,Formoso do Araguaia,1708205,Formoso do Araguaia,21.5,61,32,17.5,13,3,65,25.6,0,0,0,20,4
1716604,Peixe,1716604,Peixe,28.3,0,26,17.3,0,0,46,31.6,0,0,0,0,0
1709500,Gurupi,1709500,Gurupi,15.8,0,28,23.3,0,6,0,27.1,0,18,0,0,6
1718006,Porto Alegre do Tocantins,1718006,Porto Alegre do Tocantins,39,0,28,12.8,0,0,0,34,0,0,0,0,0
1720499,São Valério da Natividade,1720499,SÃ£o ValÃ©rio da Natividade,9.4,0,24,19.6,0,0,0,24.8,0,0,0,0,0
