cod_ibge,nome,tr_efu_eur,tr_efu_eru,tr_efu_mur,tr_efu_mru,tr_efu_pur,tr_efu_pru,tr_eme_eur,tr_eme_eru,tr_eme_mru,tr_eme_pur,tr_eme_pru,tr_eme_fur,tr_eme_fru
1715150,Novo Alegre,13.7,0,0,0,0,0,18.4,0,0,0,0,0,0
1715754,Palmeirópolis,14.5,0,1.1,0,0,0,8.2,0,0,0,0,0,0
1705557,Combinado,5.4,0,0.3,0,0,0,11,0,0,0,0,0,0
1702000,Araguaçu,3.5,0,4.3,1.7,0,0,9.6,0,0,0,0,0,0
1711506,Jaú do Tocantins,0,0,10.5,1.7,0,0,5.2,0,0,0,0,0,0
1720978,Talismã,0,0,8.7,1.7,0,0,12.6,0,0,0,0,0,0
1702406,Arraias,13,11.3,0.5,1.8,0,0,14.7,3.8,0,0,0,0,0
1720259,São Salvador do Tocantins,28.7,13.9,14.1,12.7,7.4,0,26.1,3.4,0,1.7,0,0,0
1700707,Alvorada,8.1,0,4.1,0,3.9,0,3.9,0,0,0,0,0,0
1720903,Taguatinga,13.7,0,8.8,13.7,0,0,14.9,0,0,0,0,0,0
1718840,Sandolândia,9.4,4.7,2.9,0,0,0,7,0,0,0,0,0,0
1716208,Paranã,17.2,5.8,2.6,4.3,0,0,14.5,3.4,0,0,0,0,0
1707652,Figueirópolis,6.4,0,2.9,0,0,0,11.5,0,0,0,0,0,0
1720937,Taipas do Tocantins,9.6,0,1.2,0,0,0,5.5,0,0,0,0,0,0
1720853,Sucupira,21.4,0,16.6,0,0,0,3.3,0,0,0,0,0,0
1705607,Conceição do Tocantins,22.2,0,0,16.7,0,0,5.9,0,0,0,0,0,0
1703867,Cariri do Tocantins,14.8,0,6.6,0,0,0,3.3,0,0,0,0,0,0
1708205,Formoso do Araguaia,9.5,10.6,6.6,1.6,3,1.5,9.3,6,0,7,0.4,0,0
1716604,Peixe,8.5,0,5.8,10.5,0,0,4.6,9.5,0,0,0,0,0
1709500,Gurupi,9,0,8,6.3,3.2,0,17.8,0,0,7.4,0,36.5,0
1718006,Porto Alegre do Tocantins,5.6,0,8.4,5.3,0,0,5.4,0,0,0,0,0,0
1720499,São Valério da Natividade,7.8,0,8,4.5,0,0,16,0,0,0,0,0,0
1705102,Chapada da Natividade,25.7,0,5.6,12.5,0,0,11.2,0,0,0,0,0,0
1714203,Natividade,9,0,6.3,3.4,0,0,10.6,0,0,0,0,0,0
1718907,Santa Rosa do Tocantins,12.9,0,9,3.8,0,0,18.7,0,0,0,0,0,0
1700350,Aliança do Tocantins,7.3,0,6.1,2.2,0,0,9.4,0,0,0,0,0,0
1706258,Crixás do Tocantins,16.4,0,6.7,0,0,0,2.8,0,0,0,0,0,0
1707306,Dueré,7,0,8.6,0,0,0,5,0,0,0,0,0,0
1700400,Almas,4.6,10.9,1.3,1.4,2.4,0,11.1,12.9,0,0,0,0,0
1717008,Pindorama do Tocantins,10.9,0,7.3,0,0,0,4.6,0,0,0,0,0,0
1709807,Ipueiras,15.1,0,2.8,6.9,0,0,6.5,0,0,0,0,0,0
1720655,Silvanópolis,3.8,0,5.3,9.1,0,0,6.6,0,0,0,0,0,0
1703701,Brejinho de Nazaré,9.5,0,9.2,0,0,0,9,0,0,0,0,0,0
1718899,Santa Rita do Tocantins,3,0,2.1,7.7,0,0,1.6,0,0,0,0,0,0
1707553,Fátima,9.9,0,10.1,0,0,0,6.5,0,0,0,0,0,0
1715507,Oliveira de Fátima,0,0,16.5,0,0,0,7,0,0,0,0,0,0
1711902,Lagoa da Confusão,6.9,5.3,3,0,1.5,0,8.4,3.1,0,0,0,0,0
1706100,Cristalândia,21.5,0,8.5,0,0,0,25.7,0,0,0,0,0,0
1715002,Nova Rosalândia,5.7,0,1.2,0,0,0,19.6,0,0,0,0,0,0
1717909,Ponte Alta do Tocantins,9.5,0,6.4,4.1,0,0,6.6,0,0,0,0,0,0
1718451,Pugmil,12.3,0,5,0,0,0,21.4,0,0,0,0,0,0
1713601,Monte do Carmo,5.4,10.3,1.9,16.7,0,0,14.8,4.9,0,0,0,0,0
1719004,Santa Tereza do Tocantins,16.4,0,3.9,10.9,0,0,7.2,0,0,0,0,0,0
1711951,Lagoa do Tocantins,6.6,0,2.9,3,0,0,2,0,0,0,0,0,0
1716109,Paraíso do Tocantins,14.1,0,4.3,3.2,1.3,0,20.7,0,0,6.2,0,26.5,0
1718204,Porto Nacional,8.4,11.2,3.6,7.5,2,0,9.9,7.9,0,7.6,0,19,0
1704600,Chapada de Areia,0,0,3.5,0,0,0,0,0,0,0,0,0,0
1721000,Palmas,10,5.2,4.5,5,3.6,0,17.1,0,0,11.4,0,23.2,0
1715101,Novo Acordo,13.7,0,8.6,3.7,0,0,13.6,0,0,0,0,0,0
1720150,São Félix do Tocantins,6.2,0,0,1.4,0,0,6.4,0,0,0,0,0,0
1713700,Monte Santo do Tocantins,0,0,2.8,1.2,0,0,0,0,0,0,0,0,0
1701101,Aparecida do Rio Negro,13.1,0,3.1,0,0,0,6.3,0,0,0,0,0,0
1703107,Barrolândia,15,0,10.3,0,0,0,5.3,0,0,0,0,0,0
1712009,Lajeado,6.9,0,8.6,4.7,0,0,9.2,0,0,0,0,0,0
1712504,Marianópolis do Tocantins,11.1,0,1.6,5.4,0,0,17,0,0,0,0,0,0
1713205,Miracema do Tocantins,13.1,0,15.8,9,1.4,0,25.9,0,0,0,0,0,0
1707108,Divinópolis do Tocantins,3.7,0,1.9,0,0,0,9.5,0,0,0,0,0,0
1721109,Tocantínia,8.4,9.7,4.7,6.5,0,0,7,16,0,0,0,0,0
1718758,Rio Sono,4,3.7,0,2.8,0,0,7.4,2.7,0,0,0,0,0
1717503,Pium,7.7,0,6.1,4,0,0,10.5,0,0,0,0,0,0
1713304,Miranorte,9.8,0,12.8,17.5,1.8,0,15.7,0,0,0,0,0,0
1700251,Abreulândia,10,0,2.6,1.1,0,0,13.5,0,0,0,0,0,0
1703909,Caseara,10,0,1.2,4.9,0,0,8.7,0,0,0,0,0,0
1718709,Rio dos Bois,18.2,0,0,0,0,0,16.5,0,0,0,0,0,0
1716505,Pedro Afonso,10.2,3,3.1,0,1.1,0,2.6,0,0,0,0,0,0
1708254,Tabocão,6.4,0,5.6,0,0,0,3.6,0,0,0,0,0,0
1712405,Lizarda,5.3,3.6,5.5,7.8,0,0,5.6,0,0,0,0,0,0
1707207,Dois Irmãos do Tocantins,10.6,0,0.5,2.5,0,0,17.7,0,0,0,0,0,0
1703305,Bom Jesus do Tocantins,3,0,0.5,8.5,0,0,3.3,0,0,0,0,0,0
1704105,Centenário,2.5,0,4.7,4.9,0,0,2.4,0,0,0,0,0,0
1721257,Tupirama,9.8,0,0,0,0,0,0,0,0,0,0,0,0
1708304,Goianorte,9.6,5.1,2.6,0,0,0,5.6,0,0,0,0,0,0
1718881,Santa Maria do Tocantins,6.6,0,6.5,21.1,0,0,2.9,0,0,0,0,0,0
1716703,Colméia,8.7,7.1,5.3,10.2,0,0,10.3,6.1,0,0,0,0,0
1701903,Araguacema,5.5,0,3.2,3.2,0,0,7.5,0,0,0,0,0,0
1718501,Recursolândia,6.3,0,12.7,6.3,0,0,5.3,0,0,0,0,0,0
1718402,Presidente Kennedy,4.7,0,0.9,0,0,0,0,0,0,0,0,0,0
1706001,Couto de Magalhães,10.7,12.2,12.2,2.8,0,0,13.4,0,0,0,0,0,0
1711100,Itaporã do Tocantins,14.8,0,11.2,0,0,0,8.7,0,0,0,0,0,0
1710508,Itacajá,6.3,8.1,0.4,1.6,0,0,5.7,7.9,0,0,0,0,0
1703602,Brasilândia do Tocantins,15.3,0,1.7,0,0,0,4.6,0,0,0,0,0,0
1721307,Tupiratins,12.2,0,1.4,2.4,0,0,4.8,0,0,0,0,0,0
1716653,Pequizeiro,13,0,7.3,2,0,0,4,0,0,0,0,0,0
1711803,Juarina,12.1,0,4.6,0,0,0,3.6,0,0,0,0,0,0
1710904,Itapiratins,6.6,0,6.2,1.9,0,0,7.7,0,0,0,0,0,0
1703842,Campos Lindos,12,0,5.8,12.8,0,0,12.4,0,0,0,0,0,0
1705508,Colinas do Tocantins,7.6,0,5.8,0,0,0,15.5,0,10,3.3,0,0,0
1703206,Bernardo Sayão,0.6,0,3.8,5.7,0,0,3,0,0,0,0,0,0
1703057,Bandeirantes do Tocantins,12.4,0,4.5,1.1,0,0,5.9,0,0,0,0,0,0
1702307,Arapoema,10,0,5.3,0,0,0,4,0,0,0,0,0,0
1709005,Goiatins,13.1,7.8,2.4,6.6,0,0,3.3,4.6,0,0,0,0,0
1715705,Palmeirante,8.5,0,0,9.7,0,0,4.7,0,0,0,0,0,0
1714880,Nova Olinda,4.9,0,8.7,8.5,0.9,0,3.7,0,0,0,0,0,0
1703073,Barra do Ouro,16.6,16.9,1.9,4.2,0,0,8.3,15.6,0,0,0,0,0
1716307,Pau d'Arco,5,0,16.5,4.8,0,0,7.7,0,0,0,0,0,0
1707702,Filadélfia,13.2,0,3.9,14.2,0,0,7.6,0,0,0,0,0,0
1702109,Araguaína,14.2,0,1.4,0.4,3.1,0,22.2,0,0,4.1,0,11,0
1703883,Carmolândia,16.7,0,11.8,0,0,0,6.5,0,0,0,0,0,0
1703008,Babaçulândia,9,0,4.8,6.9,0,0,2.7,0,0,0,0,0,0
1718865,Santa Fé do Araguaia,7.7,7.3,9.4,7,0,0,9.6,0,0,0,0,0,0
1713957,Muricilândia,5.2,0,0.6,0,0,0,7.1,0,0,0,0,0,0
1701309,Aragominas,8.7,0,4.1,4.5,0,0,12,0,0,0,0,0,0
1722081,Wanderlândia,2.7,0,1.2,8,2.5,0,3.9,0,0,0,0,0,0
1706506,Darcinópolis,6.6,0,9.1,6.2,0,0,2.6,0,0,0,0,0,0
1702158,Araguanã,8.7,0,7.8,8.3,0,0,7.3,0,0,0,0,0,0
1713809,Palmeiras do Tocantins,8.8,0,8.3,6.6,0,0,9.5,0,0,0,0,0,0
1717206,Piraquê,12.8,0,9.3,9.5,0,0,1.9,0,0,0,0,0,0
1700301,Aguiarnópolis,11.2,0,8.2,8.3,0,0,14,0,0,0,0,0,0
1720002,Santa Terezinha do Tocantins,4.4,0,5.5,2.2,0,0,3.8,0,0,0,0,0,0
1718550,Riachinho,23,0,10.5,10.9,0,0,8.6,0,0,0,0,0,0
1722107,Xambioá,6.1,0,1.4,5.2,0,0,12.3,0,0,0,0,0,0
1701051,Angico,22.7,0,2.5,7.5,0,0,11.9,0,0,0,0,0,0
1714302,Nazaré,16,1,0,8.5,0,0,13.7,1.2,0,0,0,0,0
1712454,Luzinópolis,26.7,0,2.9,0,0,0,19.4,0,0,0,0,0,0
1721208,Tocantinópolis,15,13,7,6.8,1.3,0,23.2,5.9,0,0,0,0,0
1703826,Cachoeirinha,8.9,0,10.3,0,0,0,9,0,0,0,0,0,0
1701002,Ananás,13.8,1.8,0.9,2.5,0,0,15.4,0,0,0,0,0,0
1712801,Maurilândia do Tocantins,18.4,10,6.9,4,0,0,13.6,0,0,0,0,0,0
1720101,São Bento do Tocantins,24.2,17.4,11.8,5.2,0,0,16.3,3.9,0,0,0,0,0
1710706,Itaguatins,9.3,0,8.1,7.4,0,0,5.6,0,0,0,0,0,0
1702901,Axixá do Tocantins,13.6,0,7.9,2.3,0,0,11.1,0,0,0,0,0,0
1720804,Sítio Novo do Tocantins,13.2,14.2,6.3,9,0,0,18.8,5.5,0,0,0,0,0
1720200,São Miguel do Tocantins,26,35.8,16.9,7.2,0,0,9.3,22.1,0,0,0,0,0
1702554,Augustinópolis,16.9,9.1,3,2.4,9.1,0,16.3,0,0,0,0,0,0
1718303,Praia Norte,9.8,0,9.2,9.1,0,0,5.1,0,0,0,0,0,0
1702208,Araguatins,10.4,12.8,8.4,8.4,0,0,16.3,18,0,0,0,0,12.6
1703800,Buriti do Tocantins,12.1,6.5,3.9,2.5,0,0,7.7,8.7,0,0,0,0,0
1703891,Carrasco Bonito,12,8.5,15.1,8.1,0,0,21.7,6.1,0,0,0,0,0
1718808,Sampaio,9.7,0,1.9,4.9,0,0,6.7,0,0,0,0,0,0
1707405,Esperantina,15.1,17.6,13.6,11.5,0,0,4.9,10.3,0,0,0,0,0
1720309,São Sebastião do Tocantins,12,0,3.8,6.3,0,0,19.6,0,0,0,0,0,0
1712157,Lavandeira,9.5,0,0,0,0,0,1.5,0,0,0,0,0,0
1702703,Aurora do Tocantins,19.4,0,2.5,0,0,0,12.2,0,0,0,0,0,0
1717800,Ponte Alta do Bom Jesus,10.9,16.7,0,10.5,0,0,9.5,0,0,0,0,0,0
1715259,Novo Jardim,23.7,0,15.3,3.2,0,0,11.1,0,0,0,0,0,0
1707009,Dianópolis,17.4,3,5.2,7.1,0,0,19.2,0,0,0,0,0,0
1718659,Rio da Conceição,20.8,0,4.1,0,0,0,16.5,0,0,0,0,0,0
1712702,Mateiros,8.8,11.3,24.9,17.3,0,0,3.6,0,0,0,0,0,0
1709302,Guaraí,22.3,0,3.7,2.1,2.2,0,20.5,0,0,0,0,0,0
