cod_ibge,nome,tr_efu_eur,tr_efu_eru,tr_efu_mur,tr_efu_mru,tr_efu_pur,tr_efu_pru
1715150,Novo Alegre,9.8,10.2,0,15,10.9,0
1715754,Palmeirópolis,25,10.2,4.9,10.1,10.9,0
1705557,Combinado,4.8,25.8,3.4,0,0.6,0
1702000,Araguaçu,11.8,3.4,4.1,1.8,5.3,0
1711506,Jaú do Tocantins,0,8.7,10.4,4.8,1.8,0
1720978,Talismã,0,4.3,7.8,4.3,3.2,0
1702406,Arraias,9.7,20,14.4,14.6,0,0
1720259,São Salvador do Tocantins,33.9,24.4,7.2,14.5,3.2,0
1700707,Alvorada,6.5,0,4.5,3.8,5.3,0
1720903,Taguatinga,21.9,4.3,17.1,25.7,3.2,0
1718840,Sandolândia,6.4,5,12.8,0,3.1,0
1716208,Paranã,14.2,7.5,12.2,9.8,0,0
1707652,Figueirópolis,7.8,14.4,2,10.9,0,0
1720937,Taipas do Tocantins,21.9,4.3,14.5,25.7,3.2,0
1720853,Sucupira,16.7,4.3,11.3,9.5,3.2,0
1705607,Conceição do Tocantins,37.2,25.8,16.6,7.7,0.6,0
1703867,Cariri do Tocantins,9.5,7.5,16.2,14.9,1.4,0
1708205,Formoso do Araguaia,11.1,6.3,5.5,1.1,0.7,5.5
1716604,Peixe,14.1,15.4,9.6,13.4,0,0
1709500,Gurupi,10.1,11.2,6,8.9,1.8,0
1718006,Porto Alegre do Tocantins,10.3,4.5,10.7,0,0,0
1720499,São Valério da Natividade,0,4.3,0,1.5,3.2,0
1705102,Chapada da Natividade,24,25.8,9.3,7.1,1.4,0
1714203,Natividade,13.4,8.6,3.1,6.7,0,0
1718907,Santa Rosa do Tocantins,21.1,1,8.9,6.1,3.2,0
1700350,Aliança do Tocantins,6.2,0,6.8,25,0,0
1706258,Crixás do Tocantins,19.1,18.1,9.7,4.5,0.6,0
1707306,Dueré,6.6,4.3,12.8,6.5,0,0
1700400,Almas,5.5,0,5,3.8,3.1,0
1717008,Pindorama do Tocantins,10.6,15.4,2.9,3.1,0,0
1709807,Ipueiras,12,11.2,9.5,18.9,1.8,0
1720655,Silvanópolis,2.7,4.3,8.7,1.5,3.2,0
1703701,Brejinho de Nazaré,18.9,5.8,14.9,15.8,1.4,0
1718899,Santa Rita do Tocantins,2.5,1,4.1,13.6,3.2,0
1707553,Fátima,17.1,14.4,9.9,10.9,0,0
1715507,Oliveira de Fátima,0,10.2,19.1,16.7,10.9,0
1711902,Lagoa da Confusão,16.8,7.2,5.9,4.8,3.4,0
1706100,Cristalândia,29.8,18.1,2.3,7.4,0.6,0
1715002,Nova Rosalândia,11.8,10.2,3,15.3,10.9,0
1717909,Ponte Alta do Tocantins,19.5,4.5,3.5,7.8,0,0
1718451,Pugmil,7,16.3,10.1,7.3,3.1,0
1713601,Monte do Carmo,10.9,8.6,10.3,14.3,1,0
1719004,Santa Tereza do Tocantins,10.5,1,12.2,5.9,3.2,0
1711951,Lagoa do Tocantins,9.4,7.2,20.1,0,3.4,0
1716109,Paraíso do Tocantins,13.9,10.2,1.4,1.3,2.5,0
1718204,Porto Nacional,12.1,16.3,4.3,4.5,3.1,0
1704600,Chapada de Areia,0,25.8,6.7,7.1,1.4,0
1721000,Palmas,13.7,10.2,1.4,16.7,10.9,0
1715101,Novo Acordo,11.8,10.2,7.1,15,10.9,0
1720150,São Félix do Tocantins,11.7,22.6,0,0,3.2,0
1713700,Monte Santo do Tocantins,0,8.6,1.6,1.2,1,0
