cod_ibge,nome,nume_cid,pgai,tipo_cidd,regiao_num,territ_cid,utr,criacao,area,pop_1996,pop_2000,pop_2007,pop_2008,pop_2009,assoc_mun,reg_pm,art_pm,region_ibg,cod_region,pop_2010,ppa_2012_2,number,regionaliz,areaoficia,reg_tur,nova_regio,nova_reg_o,tot_p_res,hom_tot,mulh_tot,tot_urb,hom_urb,mulh_urb,tot_rur,hom_rur,mulh_rur
1715150,Novo Alegre,135-Novo Alegre,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1993,200,1981,2274,1801,1848,1802,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,2286,Dianópolis,139,Região Sudeste,200.105,Sem Região,Área-Programa Sudeste,X,2286,1180,1106,1699,859,840,587,321,266
1715754,Palmeirópolis,129-Palmerópolis,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1980,1704,7395,7068,8120,8366,8492,,4º BPM - Gurupi,4º BPM,Gurupi,17005,7342,Dianópolis,119,Região Sudeste,1703.936,Sem Região,Área-Programa Sul,IX,7339,3704,3635,5981,2959,3022,1358,745,613
1705557,Combinado,133-Combinado,Outros,Menor impacto re,XVII,Sudeste,Regiao Sudeste,1987,210,4915,4524,4878,5023,5070,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,4669,Dianópolis,138,Região Sudeste,209.613,Sem Região,Área-Programa Sudeste,X,4669,2374,2295,4000,2006,1994,669,368,301
1702000,Araguaçu,111-Araguaçu,Outros,Menor impacto re,XIV,,<Null>,1958,5168,9801,9346,8989,9244,9225,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Rio Formoso,17004,8789,Gurupi,107,Região Metropolitana de Gurupi,5167.886,Sem Região,Área-Programa  Sudoeste( Ilha do Bananal),VIII,8786,4511,4275,5882,2893,2989,2904,1618,1286
1711506,Jaú do Tocantins,118-Jaú do Tocantins,Outros,Menor impacto re,XIV,,<Null>,1993,2173,3437,3121,3789,3906,3983,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,3503,Gurupi,117,Região Metropolitana de Gurupi,2173.038,Sem Região,Área-Programa Sul,IX,3507,1815,1692,1310,629,681,2197,1186,1011
1720978,Talismã,122-Talismã,Outros,Menor impacto re,XIV,,<Null>,1997,2157,0,2306,2555,2632,2663,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,2562,Gurupi,116,Região Metropolitana de Gurupi,2156.892,Sem Região,Área-Programa Sul,IX,2562,1351,1211,1363,684,679,1199,667,532
1702406,Arraias,132-Arraias,Outros,Capital,XVII,Sudeste,Regiao Sudeste,1914,5787,11551,10984,10626,10928,10913,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,10643,Dianópolis,135,Região Sudeste,5786.844,Serras Gerais,Área-Programa Sudeste,X,10645,5393,5252,7371,3554,3817,3274,1839,1435
1720259,São Salvador do Tocantins,131-São Salvador do Tocantins,Outros,Menor impacto re,XVI,Sudeste,Regiao Sudeste,1993,1422,2229,2740,3012,3102,3136,,4º BPM - Gurupi,4º BPM,Gurupi,17005,2910,Dianópolis,118,Região Sudeste,1422.025,Sem Região,Área-Programa Sul,IX,2910,1486,1424,1588,795,793,1322,691,631
1700707,Alvorada,110-Alvorada,Outros,Menor impacto re,XIV,,<Null>,1963,1212,10219,8508,7976,8200,8161,AMSUL-Associação  dos Municipios do Sul,4º BPM - Gurupi,4º BPM,Gurupi,17005,8379,Gurupi,115,Região Metropolitana de Gurupi,1212.161,Sem Região,Área-Programa Sul,IX,8374,4252,4122,7765,3900,3865,609,352,257
1720903,Taguatinga,139-Taguatinga,Outros,Capital,XVIII,Sudeste,Regiao Sudeste,1868,2437,13711,13169,14110,14528,14655,Portal do Sudeste-Assoc. Municipios do Sudeste,1ª CIPM - Arraias,1ª CIPM,Dianópolis,17008,15048,Dianópolis,134,Região Sudeste,2437.386,Serras Gerais,Área-Programa Sudeste,X,15051,7884,7167,10627,5368,5259,4424,2516,1908
