cod_ibge,nome,bcg_n_2013,bcg_c_2013,dtp_n_2013,dtp_c_2013,pol_n_2013,pol_c_2013,feb_n_2013,feb_c_2013,bcg_n_2014,bcg_c_2014,bcg_n_2015,bcg_c_2015,dtp_n_2014,dtp_c_2014,dtp_n_2015,dtp_c_2015,pol_n_2014,pol_c_2014,pol_n_2015,pol_c_2015,feb_n_2014,feb_c_2014,feb_n_2015,feb_c_2015
1715150,Novo Alegre,38,135.71,30,107.14,29,103.57,28,100,21,105,24,104.35,24,120,28,121.74,26,130,27,117.39,21,105,22,95.65
1715754,Palmeirópolis,62,80.52,113,146.75,119,154.55,113,146.75,116,130.34,134,206.15,109,122.47,117,180,105,117.98,110,169.23,91,102.25,99,152.31
1705557,Combinado,87,140.32,76,122.58,76,122.58,86,138.71,95,146.15,115,157.53,102,156.92,93,127.4,104,160,87,119.18,67,103.08,77,105.48
1702000,Araguaçu,100,101.01,97,97.98,102,103.03,99,100,90,90,107,102.88,108,108,104,100,105,105,100,96.15,102,102,81,77.88
1711506,Jaú do Tocantins,23,51.11,45,100,46,102.22,38,84.44,30,96.77,30,90.91,30,96.77,45,136.36,34,109.68,44,133.33,35,112.9,38,115.15
1720978,Talismã,30,107.14,45,160.71,42,150,45,160.71,34,91.89,40,142.86,38,102.7,30,107.14,37,100,30,107.14,43,116.22,29,103.57
1702406,Arraias,235,122.4,199,103.65,252,131.25,259,134.9,200,111.73,190,101.6,192,107.26,170,90.91,193,107.82,171,91.44,217,121.23,115,61.5
1720259,São Salvador do Tocantins,37,88.1,33,78.57,27,64.29,31,73.81,25,86.21,18,64.29,38,131.03,31,110.71,38,131.03,28,100,39,134.48,25,89.29
1700707,Alvorada,95,72.52,151,115.27,137,104.58,127,96.95,104,91.23,127,125.74,143,125.44,111,109.9,141,123.68,111,109.9,119,104.39,80,79.21
1720903,Taguatinga,220,112.24,210,107.14,208,106.12,193,98.47,103,48.82,156,74.29,169,80.09,168,80,163,77.25,135,64.29,125,59.24,142,67.62
1718840,Sandolândia,40,71.43,48,85.71,59,105.36,48,85.71,55,125,36,92.31,49,111.36,38,97.44,49,111.36,34,87.18,44,100,32,82.05
1716208,Paranã,144,84.21,165,96.49,164,95.91,141,82.46,123,76.4,101,74.26,149,92.55,129,94.85,150,93.17,132,97.06,114,70.81,122,89.71
1707652,Figueirópolis,77,102.67,68,90.67,69,92,58,77.33,68,123.64,38,53.52,56,101.82,36,50.7,58,105.45,22,30.99,48,87.27,45,63.38
1720937,Taipas do Tocantins,27,67.5,42,105,41,102.5,26,65,27,93.1,33,86.84,28,96.55,27,71.05,30,103.45,25,65.79,29,100,27,71.05
1720853,Sucupira,19,73.08,28,107.69,29,111.54,23,88.46,22,95.65,19,95,26,113.04,27,135,26,113.04,20,100,25,108.7,15,75
1705607,Conceição do Tocantins,57,57,83,83,78,78,71,71,62,100,74,101.37,64,103.23,62,84.93,66,106.45,61,83.56,59,95.16,55,75.34
1703867,Cariri do Tocantins,46,104.55,57,129.55,57,129.55,55,125,60,115.38,50,100,66,126.92,51,102,62,119.23,52,104,54,103.85,39,78
1708205,Formoso do Araguaia,206,66.88,253,82.14,238,77.27,224,72.73,237,82.58,203,78.68,243,84.67,301,116.67,249,86.76,279,108.14,240,83.62,240,93.02
1716604,Peixe,74,48.05,116,75.32,122,79.22,95,61.69,72,62.61,117,95.12,71,61.74,108,87.8,70,60.87,111,90.24,65,56.52,97,78.86
1709500,Gurupi,1288,98.1,1259,95.89,1265,96.34,1271,96.8,1425,107.87,1847,147.05,1276,96.59,1144,91.08,1271,96.21,1186,94.43,1232,93.26,1020,81.21
1718006,Porto Alegre do Tocantins,28,56,54,108,52,104,51,102,36,81.82,40,90.91,38,86.36,48,109.09,38,86.36,41,93.18,35,79.55,41,93.18
1720499,São Valério da Natividade,68,104.62,66,101.54,66,101.54,74,113.85,52,100,65,95.59,52,100,67,98.53,61,117.31,65,95.59,56,107.69,60,88.24
1705102,Chapada da Natividade,53,98.15,49,90.74,49,90.74,63,116.67,42,97.67,52,104,50,116.28,39,78,51,118.6,39,78,48,111.63,41,82
1714203,Natividade,148,121.31,151,123.77,142,116.39,135,110.66,85,64.39,128,87.07,159,120.45,132,89.8,150,113.64,128,87.07,128,96.97,105,71.43
1718907,Santa Rosa do Tocantins,82,90.11,87,95.6,147,161.54,101,110.99,97,127.63,101,155.38,86,113.16,97,149.23,74,97.37,88,135.38,82,107.89,76,116.92
1700350,Aliança do Tocantins,67,72.04,96,103.23,99,106.45,101,108.6,109,125.29,64,80,111,127.59,82,102.5,107,122.99,74,92.5,93,106.9,70,87.5
1706258,Crixás do Tocantins,29,120.83,24,100,26,108.33,33,137.5,34,136,16,61.54,25,100,25,96.15,26,104,25,96.15,26,104,22,84.62
1707306,Dueré,64,91.43,67,95.71,53,75.71,54,77.14,40,54.79,51,87.93,50,68.49,69,118.97,48,65.75,71,122.41,58,79.45,50,86.21
1700400,Almas,86,57.33,150,100,143,95.33,136,90.67,147,108.89,100,77.52,102,75.56,114,88.37,102,75.56,106,82.17,93,68.89,75,58.14
1717008,Pindorama do Tocantins,56,77.78,76,105.56,81,112.5,77,106.94,80,112.68,69,146.81,84,118.31,66,140.43,87,122.54,65,138.3,72,101.41,62,131.91
1709807,Ipueiras,22,78.57,23,82.14,25,89.29,29,103.57,30,142.86,29,131.82,30,142.86,26,118.18,19,90.48,28,127.27,27,128.57,23,104.55
1720655,Silvanópolis,29,29,95,95,95,95,75,75,40,44.44,105,132.91,59,65.56,107,135.44,57,63.33,100,126.58,74,82.22,81,102.53
1703701,Brejinho de Nazaré,108,112.5,108,112.5,129,134.38,101,105.21,56,64.37,88,93.62,71,81.61,71,75.53,73,83.91,69,73.4,62,71.26,51,54.26
1718899,Santa Rita do Tocantins,26,118.18,27,122.73,35,159.09,29,131.82,35,109.38,35,159.09,33,103.13,31,140.91,36,112.5,30,136.36,32,100,29,131.82
1707553,Fátima,52,94.55,56,101.82,55,100,59,107.27,54,100,36,76.6,64,118.52,58,123.4,65,120.37,61,129.79,54,100,58,123.4
1715507,Oliveira de Fátima,26,144.44,23,127.78,23,127.78,18,100,17,113.33,5,21.74,21,140,24,104.35,21,140,24,104.35,22,146.67,21,91.3
1711902,Lagoa da Confusão,142,65.14,185,84.86,200,91.74,147,67.43,158,81.44,214,101.9,261,134.54,216,102.86,255,131.44,212,100.95,258,132.99,162,77.14
1706100,Cristalândia,107,104.9,127,124.51,130,127.45,135,132.35,114,120,94,106.82,122,128.42,100,113.64,114,120,92,104.55,87,91.58,91,103.41
1715002,Nova Rosalândia,26,46.43,55,98.21,54,96.43,49,87.5,51,100,69,123.21,59,115.69,68,121.43,55,107.84,69,123.21,46,90.2,47,83.93
1717909,Ponte Alta do Tocantins,139,101.46,124,90.51,121,88.32,123,89.78,212,168.25,131,110.08,182,144.44,123,103.36,124,98.41,112,94.12,146,115.87,127,106.72
1718451,Pugmil,36,100,42,116.67,53,147.22,39,108.33,39,97.5,34,109.68,42,105,41,132.26,44,110,40,129.03,42,105,35,112.9
1713601,Monte do Carmo,130,126.21,105,101.94,112,108.74,124,120.39,106,84.8,87,78.38,87,69.6,108,97.3,90,72,108,97.3,87,69.6,84,75.68
1719004,Santa Tereza do Tocantins,62,119.23,49,94.23,50,96.15,63,121.15,62,131.91,68,107.94,70,148.94,46,73.02,63,134.04,45,71.43,51,108.51,36,57.14
1711951,Lagoa do Tocantins,69,93.24,75,101.35,78,105.41,77,104.05,62,96.88,73,101.39,62,96.88,50,69.44,62,96.88,51,70.83,59,92.19,44,61.11
1716109,Paraíso do Tocantins,865,110.19,855,108.92,853,108.66,776,98.85,723,85.66,607,76.26,787,93.25,686,86.18,828,98.1,679,85.3,745,88.27,538,67.59
1718204,Porto Nacional,854,86.44,969,98.08,943,95.45,834,84.41,876,93.99,1361,145.1,938,100.64,950,101.28,931,99.89,889,94.78,861,92.38,795,84.75
1704600,Chapada de Areia,22,88,19,76,19,76,27,108,20,95.24,26,152.94,20,95.24,19,111.76,21,100,18,105.88,23,109.52,14,82.35
1721000,Palmas,3340,71.49,4245,90.86,3933,84.18,3991,85.42,5072,107.62,5083,105.3,4405,93.46,5031,104.23,3845,81.58,5372,111.29,4442,94.25,4812,99.69
1715101,Novo Acordo,74,119.35,85,137.1,96,154.84,86,138.71,37,48.68,84,106.33,53,69.74,59,74.68,46,60.53,57,72.15,44,57.89,69,87.34
1720150,São Félix do Tocantins,17,45.95,20,54.05,34,91.89,26,70.27,29,111.54,15,57.69,31,119.23,26,100,28,107.69,21,80.77,26,100,15,57.69
1713700,Monte Santo do Tocantins,29,96.67,27,90,31,103.33,36,120,30,125,5,25,24,100,37,185,23,95.83,36,180,24,100,32,160
1701101,Aparecida do Rio Negro,67,103.08,77,118.46,79,121.54,82,126.15,85,104.94,68,103.03,101,124.69,74,112.12,101,124.69,74,112.12,100,123.46,67,101.52
1703107,Barrolândia,68,104.62,78,120,80,123.08,79,121.54,81,96.43,71,95.95,81,96.43,77,104.05,81,96.43,76,102.7,86,102.38,76,102.7
1712009,Lajeado,53,100,53,100,54,101.89,57,107.55,60,103.45,34,70.83,74,127.59,56,116.67,78,134.48,55,114.58,70,120.69,56,116.67
1712504,Marianópolis do Tocantins,58,90.63,68,106.25,76,118.75,78,121.88,32,56.14,29,61.7,56,98.25,57,121.28,57,100,56,119.15,47,82.46,44,93.62
1713205,Miracema do Tocantins,328,93.98,320,91.69,333,95.42,299,85.67,408,130.77,347,100.58,413,132.37,291,84.35,394,126.28,285,82.61,343,109.94,238,68.99
1707108,Divinópolis do Tocantins,79,65.83,110,91.67,120,100,91,75.83,171,155.45,247,249.49,127,115.45,161,162.63,128,116.36,157,158.59,130,118.18,134,135.35
1721109,Tocantínia,125,65.79,200,105.26,195,102.63,148,77.89,166,90.71,77,37.02,180,98.36,184,88.46,180,98.36,190,91.35,154,84.15,101,48.56
1718758,Rio Sono,66,103.13,66,103.13,65,101.56,67,104.69,65,94.2,67,101.52,76,110.14,57,86.36,70,101.45,58,87.88,60,86.96,59,89.39
1717503,Pium,62,61.39,77,76.24,67,66.34,102,100.99,67,65.05,103,128.75,77,74.76,96,120,67,65.05,129,161.25,71,68.93,89,111.25
1713304,Miranorte,146,89.57,213,130.67,214,131.29,183,112.27,189,91.75,207,112.5,199,96.6,137,74.46,215,104.37,117,63.59,210,101.94,99,53.8
1700251,Abreulândia,33,100,32,96.97,35,106.06,29,87.88,28,103.7,14,37.84,31,114.81,42,113.51,29,107.41,44,118.92,29,107.41,35,94.59
1703909,Caseara,68,89.47,80,105.26,78,102.63,77,101.32,37,45.12,59,80.82,87,106.1,72,98.63,89,108.54,77,105.48,79,96.34,51,69.86
1718709,Rio dos Bois,30,85.71,37,105.71,42,120,39,111.43,30,93.75,20,64.52,74,231.25,30,96.77,69,215.63,27,87.1,53,165.63,38,122.58
