cod_ibge,nome,visce_2007,tegum_2007,visce_2008,tegum_2008,visce_2009,tegum_2009,visce_2010,tegum_2010,visce_2011,tegum_2011,visce_2012,tegum_2012,visce_2013,tegum_2013,visce_2014,tegum_2014,visce_2015,tegum_2015,visce_2016,tegum_2016,visce_2017,tegum_2017,visce_2018,tegum_2018
1715150,Novo Alegre,2,2,0,4,0,1,0,3,0,6,0,5,0,1,0,3,0,1,0,1,0,3,0,0
1715754,Palmeirópolis,3,3,0,3,0,6,0,5,0,3,0,5,0,10,0,7,0,8,0,0,0,2,0,0
1705557,Combinado,2,2,1,0,0,5,0,2,0,1,0,4,0,3,0,0,0,3,0,3,0,3,0,1
1702000,Araguaçu,7,7,0,7,0,9,0,16,0,7,0,6,0,3,0,4,0,11,0,2,0,2,0,2
1711506,Jaú do Tocantins,3,3,0,9,1,1,0,1,0,3,0,3,0,2,0,2,0,0,0,1,0,1,0,0
1720978,Talismã,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1702406,Arraias,1,1,0,0,0,0,1,1,0,1,0,0,1,2,0,2,0,1,2,0,2,1,0,0
1720259,São Salvador do Tocantins,0,0,0,1,0,2,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0
1700707,Alvorada,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,0,0,1
1720903,Taguatinga,10,10,0,8,0,5,0,7,0,8,0,7,0,6,0,8,0,9,0,7,2,6,0,5
1718840,Sandolândia,15,15,0,4,0,4,0,6,0,3,0,4,0,2,0,8,0,12,0,2,0,5,0,3
1716208,Paranã,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2
1707652,Figueirópolis,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1
1720937,Taipas do Tocantins,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1720853,Sucupira,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1705607,Conceição do Tocantins,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1703867,Cariri do Tocantins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1708205,Formoso do Araguaia,8,8,0,3,0,1,0,1,0,1,1,4,0,8,0,3,0,4,0,2,0,1,0,0
1716604,Peixe,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,0,0,0,3,0,0
1709500,Gurupi,11,11,1,10,0,11,4,8,1,12,1,20,10,11,10,12,5,11,3,4,26,4,13,1
1718006,Porto Alegre do Tocantins,2,2,0,1,0,6,0,5,0,3,0,2,0,4,0,2,0,2,0,0,0,2,0,0
1720499,São Valério da Natividade,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1705102,Chapada da Natividade,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1714203,Natividade,0,0,2,0,3,0,0,5,0,2,0,1,0,1,0,2,0,2,0,0,1,1,0,0
1718907,Santa Rosa do Tocantins,3,3,0,0,0,1,0,2,0,3,0,1,0,0,0,3,0,2,0,0,0,1,0,0
1700350,Aliança do Tocantins,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1
1706258,Crixás do Tocantins,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
1707306,Dueré,2,2,0,1,0,1,0,3,0,1,0,1,0,0,0,4,0,0,0,0,0,1,0,0
1700400,Almas,3,3,0,1,0,6,0,3,0,1,0,2,0,0,0,5,0,4,0,1,0,1,0,1
1717008,Pindorama do Tocantins,3,3,0,0,0,10,0,10,0,10,1,2,0,5,0,5,0,3,0,1,0,2,0,0
1709807,Ipueiras,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1720655,Silvanópolis,1,1,0,3,0,0,1,0,0,1,0,2,1,4,0,2,0,5,0,1,0,2,0,1
1703701,Brejinho de Nazaré,1,1,0,0,0,2,0,0,0,1,1,0,0,1,1,3,0,2,0,3,0,5,0,0
1718899,Santa Rita do Tocantins,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
