cod_ibge,nome,dengue_07,dengue_08,dengue_09,dengue_10,dengue_11,dengue_12,dengue_13,dengue_14,dengue_15,dengue_16
1715150,Novo Alegre,2,0,1,19,1,0,32,2,13,33
1715754,Palmeirópolis,66,230,5,180,12,17,149,37,107,16
1705557,Combinado,2,16,1,21,4,1,4,1,0,2
1702000,Araguaçu,100,42,174,397,340,264,377,323,54,146
1711506,Jaú do Tocantins,1,2,2,120,5,119,16,0,34,3
1720978,Talismã,36,1,1,8,0,5,69,72,2,1
1702406,Arraias,2,7,36,164,9,5,75,20,49,27
1720259,São Salvador do Tocantins,188,88,2,77,3,18,79,6,4,10
1700707,Alvorada,2,2,0,8,2,2,2,1,5,13
1720903,Taguatinga,249,0,199,329,23,19,29,7,27,17
1718840,Sandolândia,1,14,7,84,0,1,63,30,2,2
1716208,Paranã,95,9,9,5,118,3,11,23,85,11
1707652,Figueirópolis,41,45,0,37,4,37,31,0,5,0
1720937,Taipas do Tocantins,1,4,1,37,1,0,20,0,0,0
1720853,Sucupira,54,12,2,2,2,3,24,1,1,1
1705607,Conceição do Tocantins,25,3,2,0,7,1,21,1,1,8
1703867,Cariri do Tocantins,8,1,1,1,1,6,12,14,0,6
1708205,Formoso do Araguaia,348,26,1,23,80,100,518,150,107,314
1716604,Peixe,97,11,1,18,8,42,56,19,7,6
1709500,Gurupi,834,192,31,330,375,612,777,50,76,217
1718006,Porto Alegre do Tocantins,4,4,2,31,3,1,9,0,2,0
1720499,São Valério da Natividade,2,0,3,2,0,1,14,0,17,33
1705102,Chapada da Natividade,19,10,3,0,3,9,7,2,6,3
1714203,Natividade,119,97,2,65,4,13,25,1,12,13
1718907,Santa Rosa do Tocantins,29,233,2,192,31,10,25,0,0,5
1700350,Aliança do Tocantins,3,6,5,15,4,0,1,0,4,10
1706258,Crixás do Tocantins,30,16,1,1,27,2,10,0,0,7
1707306,Dueré,163,50,17,42,52,50,64,0,20,0
1700400,Almas,153,27,0,81,6,5,19,0,2,23
1717008,Pindorama do Tocantins,3,68,2,13,8,3,14,0,3,40
1709807,Ipueiras,2,2,1,5,24,0,0,0,5,6
1720655,Silvanópolis,118,7,9,58,132,32,3,3,13,69
1703701,Brejinho de Nazaré,1,4,1,6,0,1,0,0,20,15
1718899,Santa Rita do Tocantins,7,19,1,1,1,9,0,0,0,0
1707553,Fátima,23,29,2,13,5,3,12,5,2,0
1715507,Oliveira de Fátima,0,3,2,2,0,0,0,1,0,2
1711902,Lagoa da Confusão,7,5,1,1,2,3,5,18,110,399
1706100,Cristalândia,43,19,0,32,5,22,94,1,14,77
1715002,Nova Rosalândia,8,23,14,1,0,16,7,1,10,20
1717909,Ponte Alta do Tocantins,18,11,5,92,9,40,12,8,13,47
1718451,Pugmil,3,22,6,21,6,13,9,6,12,2
1713601,Monte do Carmo,11,40,61,33,4,10,3,0,5,6
1719004,Santa Tereza do Tocantins,6,4,2,25,35,6,2,0,0,1
1711951,Lagoa do Tocantins,2,0,3,7,0,0,4,3,12,16
1716109,Paraíso do Tocantins,391,619,77,575,298,398,105,177,239,143
1718204,Porto Nacional,383,172,291,814,108,128,101,64,149,73
1704600,Chapada de Areia,11,1,13,4,0,4,9,2,3,3
1721000,Palmas,5287,2591,1484,2742,5042,4976,3289,1283,4445,2053
1715101,Novo Acordo,2,5,3,134,11,59,3,0,7,4
1720150,São Félix do Tocantins,5,1,1,1,0,2,0,0,0,0
1713700,Monte Santo do Tocantins,14,15,4,19,0,11,0,0,6,6
1701101,Aparecida do Rio Negro,5,46,39,21,17,7,15,2,69,73
1703107,Barrolândia,11,29,12,6,0,128,8,9,10,11
1712009,Lajeado,99,45,8,22,6,36,49,0,6,2
1712504,Marianópolis do Tocantins,79,77,5,0,11,28,2,2,48,0
1713205,Miracema do Tocantins,61,199,40,42,43,310,224,111,138,204
1707108,Divinópolis do Tocantins,21,22,3,31,16,235,46,27,103,87
1721109,Tocantínia,49,117,11,28,29,144,206,13,9,46
1718758,Rio Sono,1,8,2,2,0,3,0,5,15,1
1717503,Pium,4,88,4,237,18,28,70,45,96,173
1713304,Miranorte,27,60,89,94,125,92,73,59,28,69
1700251,Abreulândia,39,143,18,1,2,31,4,14,56,1
1703909,Caseara,3,9,4,1,1,3,9,1,0,0
1718709,Rio dos Bois,50,15,5,0,14,16,1,2,4,13
1716505,Pedro Afonso,19,35,12,21,6,108,37,13,36,36
1708254,Tabocão,6,6,4,0,10,5,4,1,9,20
1712405,Lizarda,11,4,3,20,0,10,0,0,0,12
1707207,Dois Irmãos do Tocantins,16,30,11,14,6,12,13,9,23,77
1703305,Bom Jesus do Tocantins,3,7,3,3,0,11,0,0,16,16
1704105,Centenário,0,23,10,18,20,1,0,0,2,0
1721257,Tupirama,1,1,5,0,1,13,1,5,4,8
1708304,Goianorte,7,11,28,23,14,15,7,4,10,25
1718881,Santa Maria do Tocantins,17,7,42,24,3,34,13,0,7,18
1716703,Colméia,61,51,7,3,6,16,16,3,2,1
1701903,Araguacema,20,19,17,4,1,11,74,6,8,23
1718501,Recursolândia,45,2,2,6,0,0,2,0,1,16
1718402,Presidente Kennedy,4,19,8,0,29,4,1,2,3,7
1706001,Couto de Magalhães,1,47,5,1,3,4,1,1,9,1
1711100,Itaporã do Tocantins,2,8,2,4,5,10,27,3,9,20
1710508,Itacajá,5,4,19,12,53,2,28,22,1,22
1703602,Brasilândia do Tocantins,4,3,2,52,14,20,0,1,1,2
1721307,Tupiratins,2,2,3,0,2,7,0,0,0,0
1716653,Pequizeiro,28,36,24,2,1,2,9,0,2,0
1711803,Juarina,1,2,5,26,1,1,0,0,0,0
1710904,Itapiratins,0,38,9,7,12,1,2,1,2,7
1703842,Campos Lindos,280,62,49,54,48,2,3,3,0,0
1705508,Colinas do Tocantins,127,92,142,265,250,288,75,46,47,12
1703206,Bernardo Sayão,17,7,23,30,2,5,2,3,0,2
1703057,Bandeirantes do Tocantins,12,5,14,0,0,6,2,3,0,4
1702307,Arapoema,7,13,40,86,4,22,12,6,5,3
1709005,Goiatins,23,118,8,2,19,5,1,14,10,2
1715705,Palmeirante,2,2,1,0,0,5,0,0,0,1
1714880,Nova Olinda,18,71,1,23,4,14,5,2,7,32
1703073,Barra do Ouro,24,75,8,0,7,2,2,0,0,0
1716307,Pau d'Arco,1,2,5,2,1,4,10,0,7,1
1707702,Filadélfia,11,13,0,9,48,5,5,0,0,1
1702109,Araguaína,732,1763,254,156,579,1940,563,528,923,1021
1703883,Carmolândia,1,5,1,1,0,2,0,1,8,22
1703008,Babaçulândia,43,20,1,0,1,4,30,2,0,24
1718865,Santa Fé do Araguaia,5,8,0,0,16,5,0,7,2,8
1713957,Muricilândia,8,5,2,6,1,9,2,5,21,177
1701309,Aragominas,27,27,2,6,23,16,0,2,14,36
1722081,Wanderlândia,11,89,17,3,0,1,3,1,4,2
1706506,Darcinópolis,3,9,2,0,15,1,6,1,1,1
1702158,Araguanã,88,67,3,0,68,10,1,4,9,19
1713809,Palmeiras do Tocantins,4,0,1,0,1,12,31,1,0,5
1717206,Piraquê,4,5,0,1,4,3,2,0,1,6
1700301,Aguiarnópolis,42,49,5,31,80,14,11,9,1,11
1720002,Santa Terezinha do Tocantins,4,24,1,4,7,3,5,2,0,3
1718550,Riachinho,71,70,1,1,16,18,3,0,17,2
1722107,Xambioá,46,91,11,0,8,17,21,2,4,16
1701051,Angico,7,20,0,1,0,22,4,0,0,0
1714302,Nazaré,8,12,0,0,0,0,0,0,0,109
1712454,Luzinópolis,3,25,0,0,9,4,7,0,0,2
1721208,Tocantinópolis,566,209,177,99,302,290,149,80,117,314
1703826,Cachoeirinha,1,60,6,1,89,13,13,1,0,18
1701002,Ananás,131,228,13,2,9,0,3,2,9,47
1712801,Maurilândia do Tocantins,16,19,1,15,11,2,23,5,3,35
1720101,São Bento do Tocantins,22,41,0,4,16,12,5,1,2,20
1710706,Itaguatins,40,22,47,16,21,7,6,6,3,20
1702901,Axixá do Tocantins,8,44,9,6,25,3,0,1,4,0
1720804,Sítio Novo do Tocantins,29,54,15,19,63,42,10,12,13,39
1720200,São Miguel do Tocantins,57,65,25,9,3,3,7,2,18,51
1702554,Augustinópolis,106,163,89,18,47,40,27,12,30,69
1718303,Praia Norte,16,32,6,5,12,11,30,0,0,61
1702208,Araguatins,64,58,5,4,64,129,33,23,34,53
1703800,Buriti do Tocantins,45,14,2,2,23,30,0,0,10,35
1703891,Carrasco Bonito,19,37,12,1,6,1,1,0,0,11
1718808,Sampaio,46,43,27,10,22,4,3,1,2,6
1707405,Esperantina,22,28,4,0,1,4,0,0,1,4
1720309,São Sebastião do Tocantins,152,18,9,12,6,22,14,0,0,0
1712157,Lavandeira,3,1,42,125,7,2,0,11,1,0
1702703,Aurora do Tocantins,2,1,2,29,0,0,2,0,0,18
1717800,Ponte Alta do Bom Jesus,12,9,5,85,1,0,11,0,5,5
1715259,Novo Jardim,12,3,15,0,0,0,5,1,0,30
1707009,Dianópolis,143,19,2,113,34,41,129,33,138,413
1718659,Rio da Conceição,0,2,1,0,0,0,10,0,4,18
1712702,Mateiros,1,5,0,25,1,0,0,0,0,1
1709302,Guaraí,41,90,96,14,71,70,50,61,31,67
